#{"t_start": 1748562398.6624064, "env_id": "Maze-v0"}
r,l,t
-365.0,16,3.626889
-171.0,11,3.769503
-295.0,14,3.974688
-113.0,11,4.137201
-177.0,12,4.302018
-182.0,13,4.494173
-166.0,10,4.632909
-220.0,14,4.806379
-181.0,13,4.935603
-323.0,17,5.153031
-248.0,14,5.304938
-80.0,10,5.449431
-245.0,14,5.628476
-239.0,13,5.758861
-44.0,10,5.875487
-163.0,12,6.031452
-103.0,10,6.120834
-107.0,11,6.231699
-221.0,15,6.425168
-109.0,11,6.61166
-109.0,11,6.762451
-39.0,10,6.901014
-260.0,13,7.035226
-328.0,18,7.247372
-211.0,13,7.394376
-150.0,13,7.571771
-212.0,14,7.763922
-255.0,15,7.898745
-361.0,19,8.115307
-150.0,13,8.245795
-120.0,12,8.377481
-178.0,12,8.498964
-187.0,14,8.62258
-263.0,14,8.740765
-140.0,12,8.856928
-244.0,13,9.03743
-143.0,11,9.138404
-79.0,11,9.247551
-147.0,12,9.359417
-154.0,13,9.512455
-178.0,12,9.658288
-144.0,12,9.811418
-110.0,12,9.93057
-146.0,12,10.05462
-82.0,10,10.140242
-150.0,11,10.234236
-174.0,12,10.345363
-182.0,12,10.501809
-111.0,11,10.639444
-188.0,14,10.803063
-46.0,10,10.901965
-244.0,16,11.088731
-247.0,14,11.296668
-81.0,11,11.437226
-115.0,12,11.561276
-356.0,18,11.814435
-144.0,12,11.982383
-252.0,15,12.149477
-117.0,12,12.351143
-150.0,13,12.535774
-76.0,11,12.660579
-80.0,11,12.797489
-147.0,12,12.938117
-48.0,10,13.073788
-180.0,12,13.226471
-109.0,11,13.332405
-249.0,15,13.468831
-149.0,13,13.58853
-149.0,12,13.703419
-106.0,10,13.798085
-47.0,10,13.911006
-44.0,10,14.007831
-116.0,12,14.180276
-118.0,12,14.322093
-78.0,10,14.414561
-46.0,10,14.54455
-182.0,14,14.697909
-120.0,12,14.861481
-48.0,10,14.978195
-118.0,12,15.156654
-118.0,12,15.317078
-119.0,12,15.449046
-80.0,10,15.544301
-115.0,12,15.673193
-46.0,10,15.780851
-146.0,12,15.904608
-79.0,11,16.005129
-153.0,13,16.131762
-44.0,10,16.246867
-118.0,12,16.389489
-179.0,14,16.549924
-85.0,11,16.644924
-116.0,12,16.754812
-47.0,10,16.859655
-76.0,10,16.958999
-145.0,13,17.103609
-50.0,10,17.216648
-116.0,12,17.359901
-202.0,13,17.554398
-113.0,11,17.697046
-150.0,12,17.818107
-197.0,14,17.931413
-184.0,14,18.066756
-220.0,14,18.259536
-82.0,11,18.38157
-58.0,10,18.501844
-223.0,15,18.690273
-186.0,14,18.829642
-76.0,10,18.928065
-153.0,13,19.110276
-118.0,12,19.291435
-150.0,12,19.395589
-72.0,11,19.533165
-46.0,10,19.618064
-48.0,10,19.752375
-122.0,12,19.85145
-116.0,12,19.98791
-155.0,13,20.137177
-114.0,12,20.241236
-48.0,10,20.333093
-188.0,14,20.463573
-46.0,10,20.555636
-77.0,10,20.687635
-152.0,13,20.831677
-144.0,11,20.956841
-149.0,13,21.096796
-153.0,13,21.236534
-117.0,12,21.378107
-75.0,11,21.519274
-151.0,13,21.669342
-120.0,12,21.842162
-116.0,12,21.961082
-43.0,10,22.073062
-253.0,16,22.254117
-109.0,11,22.379286
-50.0,10,22.502226
-41.0,10,22.585983
-45.0,10,22.693143
-188.0,14,22.83667
-219.0,15,22.99988
-83.0,11,23.162924
-116.0,12,23.279844
-107.0,11,23.390183
-76.0,10,23.527008
-79.0,11,23.664653
-117.0,12,23.802441
-116.0,12,23.915351
-145.0,12,24.043159
-79.0,11,24.139618
-127.0,12,24.278047
-166.0,12,24.457618
-145.0,13,24.571657
-148.0,13,24.758856
-113.0,12,24.897299
-116.0,12,25.050778
-45.0,10,25.139329
-147.0,13,25.268842
-222.0,15,25.464819
-111.0,12,25.642428
-116.0,12,25.807919
-77.0,11,25.955298
-221.0,15,26.090451
-80.0,11,26.230746
-247.0,15,26.448264
-188.0,14,26.640811
-39.0,10,26.795841
-39.0,10,26.937896
-149.0,13,27.117537
-45.0,10,27.231964
-44.0,10,27.357679
-127.0,11,27.513078
-180.0,14,27.683418
-118.0,12,27.812374
-80.0,11,27.938473
-538.0,24,28.191861
-112.0,12,28.337028
-190.0,14,28.492152
-140.0,13,28.664184
-111.0,12,28.799227
-139.0,12,28.945361
-186.0,14,29.147723
-217.0,15,29.291246
-219.0,15,29.456842
-177.0,13,29.567721
-221.0,15,29.767982
-148.0,12,29.923285
-184.0,14,30.056957
-150.0,12,30.232618
-77.0,11,30.316872
-131.0,12,30.456334
-46.0,10,30.595495
-112.0,12,30.817218
-118.0,12,30.953412
-152.0,13,31.07878
-253.0,16,31.219367
-100.0,11,31.356328
-398.0,20,31.633424
-113.0,11,31.805803
-146.0,13,31.983494
-116.0,12,32.129113
-114.0,12,32.265448
-82.0,11,32.417705
-46.0,10,32.542634
-82.0,11,32.703971
-258.0,16,32.920826
-100.0,11,33.080024
-152.0,13,33.189389
-217.0,15,33.381369
-93.0,11,33.559648
-152.0,13,33.720424
-118.0,12,33.882528
-71.0,11,34.053084
-151.0,13,34.224496
-153.0,13,34.401973
-75.0,10,34.501417
-151.0,13,34.644489
-81.0,11,34.785044
-83.0,11,34.910152
-116.0,12,35.084107
-85.0,11,35.226434
-219.0,15,35.413085
-47.0,10,35.549448
-253.0,16,35.767619
-184.0,14,35.929031
-83.0,11,36.09254
-114.0,12,36.237675
-318.0,18,36.461181
-256.0,16,36.657786
-152.0,13,36.806057
-77.0,11,36.942706
-118.0,12,37.064991
-223.0,15,37.209407
-152.0,13,37.388746
-147.0,13,37.513241
-187.0,14,37.710809
-46.0,10,37.824393
-117.0,12,37.936012
-118.0,12,38.110205
-158.0,13,38.270746
-79.0,10,38.394492
-37.0,10,38.529937
-48.0,10,38.652753
