timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
10000,834,11.974820143884893,-115.41,-inf,125.04828906059265
20000,1688,11.841232227488153,-101.84,-115.41,122.30731797218323
30000,2553,11.750881316098708,-101.33,-101.84,121.37874746322632
40000,3400,11.764117647058823,-117.33,-101.33,119.48802375793457
50000,4227,11.826827537260469,-125.36,-101.33,123.19348788261414
60000,5051,11.877054048703227,-130.86,-101.33,124.71725678443909
70000,5921,11.821820638405674,-103.94,-101.33,115.2847728729248
80000,6804,11.75705467372134,-89.59,-101.33,122.69419169425964
90000,7694,11.695996880686248,-94.23,-89.59,123.58582258224487
100000,8595,11.633973240255962,-81.17,-89.59,127.9337694644928
110000,9493,11.586642789423786,-87.48,-81.17,119.33498215675354
120000,10398,11.540584727832275,-83.29,-81.17,116.83922576904297
130000,11301,11.50322980267233,-76.32,-81.17,118.560861825943
140000,12201,11.473895582329318,-84.32,-76.32,115.1116144657135
150000,13107,11.443884946974899,-82.79,-76.32,117.5542516708374
160000,14018,11.413611071479526,-80.69,-76.32,112.57805299758911
170000,14931,11.385506663987677,-77.69,-76.32,120.15014362335205
180000,15834,11.36737400530504,-82.64,-76.32,118.58694553375244
190000,16737,11.352094162633685,-80.5,-76.32,120.43174815177917
200000,17642,11.336413105090125,-87.2,-76.32,122.6032440662384
210000,18555,11.317326866073834,-83.58,-76.32,113.90592670440674
220000,19468,11.300595849599343,-78.8,-76.32,118.36445498466492
230000,20373,11.289353556177293,-96.47,-76.32,116.19591116905212
240000,21282,11.276712714970397,-83.94,-76.32,119.49358868598938
250000,22192,11.265275775054073,-95.71,-76.32,113.22383832931519
260000,23098,11.256342540479695,-83.99,-76.32,119.51993322372437
270000,23999,11.250093753906413,-90.26,-76.32,123.0950391292572
280000,24914,11.238620855743758,-77.23,-76.32,119.71048855781555
290000,25830,11.227177700348433,-80.5,-76.32,120.00298953056335
300000,26737,11.22036877734974,-83.29,-76.32,117.35824680328369
310000,27651,11.211095439586272,-84.74,-76.32,117.61164689064026
