#{"t_start": 1748642894.1168349, "env_id": "Maze-v0"}
r,l,t
-50.0,40,1.429697
-40.0,35,1.498965
-36.0,34,1.576465
-64.0,44,1.666169
-36.0,32,1.74008
-40.0,35,1.819633
-36.0,34,1.896154
-58.0,43,1.990835
-48.0,39,2.067244
-62.0,45,2.166405
-48.0,39,2.260355
-48.0,37,2.344843
-32.0,29,2.435736
-37.0,34,2.534624
-30.0,30,2.640052
-36.0,34,2.747953
-53.0,41,2.86369
-64.0,45,2.978845
-48.0,38,3.069859
-33.0,29,3.148121
-54.0,41,3.266856
-40.0,34,3.378833
-30.0,31,3.476119
-27.0,23,3.542944
-34.0,33,3.63534
-47.0,41,3.760813
-58.0,44,3.849544
-51.0,40,4.397173
-37.0,36,4.504195
-46.0,34,4.584615
-46.0,37,4.681641
-36.0,33,4.752585
-50.0,39,4.85363
-36.0,34,4.95645
-60.0,45,5.074594
-56.0,42,5.213326
-30.0,30,5.298473
-50.0,38,5.398669
-55.0,39,5.491762
-32.0,32,5.568911
-23.0,30,5.651233
-16.0,25,5.718668
-62.0,42,5.806759
-55.0,40,5.902224
-40.0,34,5.971276
-23.0,25,6.022638
-52.0,40,6.096231
-64.0,46,6.175636
-30.0,30,6.231078
-72.0,49,6.325161
-30.0,29,6.397055
-38.0,33,6.498492
-17.0,24,6.57963
-82.0,55,6.720706
-30.0,29,6.812682
-46.0,38,6.901755
-34.0,33,8.637896
-32.0,30,8.702117
-44.0,35,8.792536
-55.0,40,8.904182
-26.0,25,8.971954
-18.0,26,9.041654
-28.0,29,9.125784
-40.0,33,9.232677
-47.0,38,9.356614
-36.0,32,9.442761
-42.0,34,9.555915
-50.0,40,9.681267
-42.0,35,9.765487
-36.0,35,9.844772
-34.0,29,9.907418
-22.0,24,9.955854
-48.0,38,10.02943
-28.0,30,10.127851
-40.0,35,10.263342
-15.0,24,10.352736
-43.0,36,10.46484
-22.0,27,10.536845
-32.0,32,10.605865
-44.0,35,10.672114
-25.0,30,10.75263
-14.0,22,10.822974
-40.0,35,10.883411
-62.0,48,10.964489
-37.0,35,11.042913
-17.0,26,11.12832
-39.0,39,11.217023
-25.0,30,11.278354
-24.0,27,11.333222
-24.0,26,11.414629
-42.0,34,11.496116
-33.0,31,11.5836
-12.0,17,11.63069
-35.0,32,11.723199
-18.0,24,11.782331
-38.0,34,11.875829
-18.0,27,11.945392
-30.0,29,12.00977
-30.0,28,12.072073
-7.0,8,12.097767
-35.0,31,12.17974
-31.0,31,12.277372
-50.0,39,12.387146
-12.0,25,12.475853
-62.0,45,12.599742
-38.0,34,12.685822
-24.0,28,12.757324
-18.0,24,12.825286
-36.0,33,12.902005
-22.0,27,12.969189
-25.0,26,13.0221
-20.0,26,13.081589
-59.0,42,13.171795
-38.0,34,13.241755
-32.0,32,13.304085
-38.0,33,13.37846
-42.0,38,13.480491
-24.0,23,13.533315
-47.0,36,13.611753
-32.0,32,13.717257
-56.0,46,13.805602
-29.0,30,15.424746
-26.0,29,15.487586
-28.0,27,15.55286
-30.0,29,15.642124
-32.0,33,15.713242
-36.0,33,15.846931
-28.0,30,15.972327
-26.0,29,16.062742
-49.0,38,16.171001
-34.0,35,16.237384
-24.0,28,16.325514
-34.0,32,16.415591
-40.0,34,16.503003
-31.0,30,16.56815
-28.0,30,16.644767
-40.0,34,16.731501
-28.0,29,16.80031
-34.0,31,16.869354
-35.0,28,16.936877
-25.0,27,17.050318
-16.0,25,17.132807
-23.0,26,17.208211
-14.0,23,17.258137
-30.0,31,17.321207
-34.0,34,17.429788
-41.0,35,17.510352
-55.0,39,17.66195
-40.0,36,17.750975
-14.0,24,17.815855
-26.0,27,17.889825
-24.0,29,17.978513
-31.0,29,18.04971
-31.0,32,18.138572
-24.0,28,18.216251
-36.0,34,18.2997
-39.0,34,18.386589
-31.0,29,18.45061
-32.0,31,18.518304
-15.0,25,18.575761
-26.0,28,18.640572
-26.0,28,18.698889
-55.0,39,18.783063
-23.0,26,18.883073
-31.0,32,19.004575
-29.0,31,19.08288
-40.0,37,19.177433
-40.0,37,19.273441
-29.0,32,19.362369
-46.0,40,19.505265
-24.0,28,19.613279
-33.0,31,19.742721
-29.0,27,19.820997
-33.0,30,19.91131
-19.0,26,19.998632
-22.0,26,20.078548
-29.0,27,20.180394
-28.0,30,20.243847
-36.0,33,20.312675
-38.0,37,20.415656
-22.0,26,20.482636
-39.0,35,20.571416
-28.0,31,20.642494
-23.0,30,20.720213
-34.0,31,20.784457
-46.0,40,20.878828
-26.0,29,20.946305
-16.0,25,21.005829
-22.0,26,22.581403
-20.0,26,22.640625
-30.0,29,22.704898
-44.0,34,22.803301
-20.0,25,22.854001
-27.0,28,22.953234
-38.0,36,23.063023
-34.0,31,23.125626
-38.0,34,23.203173
-22.0,29,23.282794
-20.0,24,23.348846
-16.0,23,23.398958
-30.0,29,23.470336
-24.0,27,23.557088
-28.0,30,23.642879
-29.0,29,23.722056
0.0,12,23.749954
-26.0,29,23.811755
-45.0,37,23.93895
-18.0,26,24.011137
-22.0,28,24.094149
-22.0,27,24.185501
-13.0,22,24.275058
-28.0,31,24.364093
-16.0,23,24.422695
-23.0,28,24.498096
-18.0,26,24.567921
-8.0,11,24.596465
-32.0,34,24.67164
-30.0,31,24.737197
-36.0,31,24.810367
-22.0,24,24.899431
-35.0,33,24.996127
-33.0,31,25.065852
-33.0,32,25.142443
-32.0,34,25.213342
-25.0,27,25.31019
-21.0,24,25.42308
-10.0,17,25.482982
-14.0,25,25.562092
-38.0,35,25.642187
-24.0,29,25.721775
-30.0,29,25.781701
-30.0,31,25.850316
-30.0,32,25.933425
-5.0,19,25.988039
-18.0,27,26.045703
-16.0,26,26.100842
-44.0,36,26.185671
-26.0,29,26.24535
-26.0,28,26.304987
-32.0,32,26.379319
-16.0,25,26.463667
-23.0,27,26.540849
-34.0,34,26.667707
-28.0,31,26.770276
-22.0,26,26.859596
-32.0,28,26.94539
-20.0,26,27.029757
-20.0,28,27.10696
-21.0,25,27.189656
-20.0,26,27.270148
-26.0,31,27.355872
-18.0,25,27.411083
-22.0,27,27.471366
-43.0,37,27.55389
-9.0,22,27.618729
-9.0,22,27.670348
-32.0,29,27.739096
-6.0,20,27.80019
-26.0,29,27.874233
-38.0,33,27.954507
-9.0,16,27.993991
-27.0,30,28.076591
-10.0,22,29.555342
-28.0,31,29.619262
-12.0,22,29.677451
-16.0,24,29.744526
-24.0,29,29.820855
-19.0,24,29.880858
-11.0,21,29.939068
-37.0,34,30.01274
-32.0,34,30.094969
1.0,18,30.151919
-22.0,28,30.214491
-29.0,32,30.273289
-23.0,27,30.33963
-25.0,29,30.399942
-29.0,27,30.464559
-11.0,19,30.515634
-32.0,32,30.594036
-4.0,11,30.625738
-8.0,21,30.678632
-22.0,26,30.738245
-23.0,26,30.814485
-37.0,33,30.905676
-16.0,24,30.96229
-40.0,35,31.045353
-26.0,28,31.106873
-10.0,21,31.158215
-16.0,24,31.210205
-20.0,28,31.272297
-15.0,23,31.328337
-24.0,28,31.391551
-43.0,35,31.474538
-6.0,16,31.510742
-22.0,26,31.570615
-20.0,25,31.621323
-21.0,25,31.671819
-25.0,25,31.728118
-28.0,29,31.800143
-8.0,21,31.845854
-30.0,32,31.944531
-19.0,25,32.015354
-26.0,30,32.077487
-33.0,31,32.152963
-29.0,29,32.235028
-30.0,30,32.310827
-26.0,31,32.373867
-22.0,24,32.433036
-33.0,30,32.489682
-25.0,26,32.5556
-15.0,21,32.604318
-10.0,22,32.652805
-24.0,29,32.722115
-25.0,26,32.810467
-20.0,25,32.881896
-21.0,27,32.934551
-14.0,23,32.982831
-10.0,21,33.026257
-25.0,27,33.099655
-10.0,22,33.170457
-20.0,25,33.231646
-3.0,21,33.280423
-34.0,34,33.350609
-15.0,24,33.400942
-22.0,28,33.492703
-19.0,24,33.547976
-26.0,29,33.614403
-8.0,10,33.642594
-22.0,27,33.694592
-16.0,22,33.75053
-34.0,32,33.837849
-26.0,30,33.908849
-20.0,27,33.977114
-22.0,25,34.035858
-10.0,22,34.105304
-19.0,24,34.170852
-9.0,23,34.228656
-22.0,28,34.330685
-24.0,30,34.400347
-18.0,24,34.466924
-9.0,23,34.530186
-12.0,23,36.087376
-15.0,13,36.116902
-32.0,32,36.184242
-26.0,29,36.251337
-10.0,22,36.311552
-11.0,23,36.369567
-15.0,27,36.435282
-25.0,27,36.497443
-20.0,27,36.55686
-14.0,25,36.609749
-15.0,24,36.667842
-20.0,26,36.727537
-32.0,33,36.803268
-10.0,23,36.890689
-30.0,28,36.966172
-23.0,24,37.050565
-8.0,22,37.099534
-31.0,29,37.160422
-16.0,25,37.234869
-27.0,28,37.295553
-19.0,27,37.374149
-28.0,31,37.451416
-28.0,27,37.515384
-20.0,27,37.567901
-31.0,34,37.673491
-24.0,28,37.74155
-48.0,37,37.818228
-34.0,34,37.88492
-15.0,22,37.959854
-17.0,24,38.040876
-17.0,23,38.112505
-31.0,31,38.180369
-4.0,20,38.223701
-13.0,24,38.304988
-18.0,23,38.388678
-33.0,31,38.481165
-32.0,31,38.566107
-35.0,34,38.654522
-20.0,27,38.730322
-14.0,25,38.800658
-26.0,31,38.872066
-7.0,22,38.926497
-16.0,21,38.980985
-14.0,25,39.042329
-17.0,25,39.098959
-16.0,22,39.148597
-9.0,24,39.207775
-42.0,26,39.265706
-24.0,26,39.326449
-24.0,24,39.380214
-8.0,21,39.428488
-16.0,28,39.494717
-18.0,26,39.544565
-20.0,27,39.596728
-24.0,26,39.656571
-16.0,24,39.707937
-28.0,29,39.77205
-27.0,29,39.829719
-15.0,25,39.897124
-28.0,30,39.96247
-33.0,34,40.031416
-16.0,26,40.08101
-8.0,21,40.124772
-20.0,26,40.187173
-25.0,27,40.325561
-24.0,25,40.436812
-25.0,28,40.525451
-28.0,29,40.599867
-32.0,33,40.668485
7.0,7,40.688184
-13.0,22,40.749156
-15.0,22,40.805989
-28.0,31,40.875575
-22.0,29,40.944489
-35.0,31,41.009996
-22.0,25,41.07877
-22.0,26,41.145152
-20.0,25,41.207543
-26.0,31,42.66313
-20.0,27,42.727448
-20.0,26,42.784953
-16.0,25,42.840538
-14.0,25,42.893114
-22.0,28,42.94626
-25.0,28,43.010245
-25.0,26,43.066912
-30.0,30,43.128114
-27.0,30,43.20417
-14.0,25,43.272553
-18.0,25,43.35459
-24.0,30,43.430679
-20.0,26,43.494798
-18.0,25,43.566457
-10.0,21,43.634097
-14.0,25,43.700336
-18.0,25,43.771682
-17.0,23,43.835243
-16.0,26,43.895972
-28.0,30,43.966857
-14.0,24,44.028682
-21.0,26,44.104334
-15.0,23,44.162774
-23.0,26,44.225193
-22.0,28,44.283945
-24.0,27,44.339459
-22.0,24,44.414309
-26.0,31,44.482343
-14.0,23,44.536836
-18.0,25,44.602319
-14.0,21,44.665879
-21.0,25,44.733811
-10.0,20,44.785542
-20.0,28,44.84983
-18.0,23,44.904713
-36.0,35,44.978443
-15.0,24,45.037241
-21.0,27,45.123065
-32.0,33,45.186782
-18.0,25,45.248712
-24.0,27,45.311334
