timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,45,21.933333333333334,-76.2,-inf,9.210900783538818
2000,94,21.19148936170213,-82.27659574468085,-76.2,5.670447111129761
3000,140,21.307142857142857,-79.22,-76.2,10.997191190719604
4000,186,21.456989247311828,-78.49,-76.2,6.00464653968811
5000,229,21.724890829694324,-61.01,-76.2,9.859874963760376
6000,272,22.00735294117647,-51.34,-61.01,5.850053071975708
7000,318,21.9874213836478,-47.38,-51.34,9.894244194030762
8000,362,22.085635359116022,-45.05,-47.38,6.3128767013549805
9000,407,22.061425061425062,-41.42,-45.05,10.33521580696106
10000,455,21.95824175824176,-34.44,-41.42,6.07315731048584
11000,501,21.936127744510976,-33.72,-34.44,10.636253118515015
12000,546,21.96153846153846,-33.18,-33.72,6.116814851760864
13000,589,22.057724957555177,-34.15,-33.18,9.781634330749512
14000,636,21.98427672955975,-31.16,-33.18,5.780429840087891
15000,674,22.224035608308604,-37.14,-31.16,9.926442623138428
16000,711,22.468354430379748,-41.67,-31.16,6.417945861816406
17000,751,22.623169107856192,-36.87,-31.16,10.473261594772339
18000,789,22.804816223067174,-29.96,-31.16,5.822027683258057
19000,829,22.909529553679132,-28.95,-29.96,11.081379890441895
20000,875,22.835428571428572,-28.54,-28.95,5.951825857162476
21000,923,22.7453954496208,-24.26,-28.54,9.912757873535156
22000,969,22.697626418988648,-22.97,-24.26,6.205369710922241
23000,1015,22.64926108374384,-24.05,-22.97,10.011686563491821
24000,1064,22.543233082706767,-24.36,-22.97,5.862805366516113
25000,1114,22.435368043087973,-22.57,-22.97,9.941527843475342
26000,1164,22.335051546391753,-20.23,-22.57,5.850161075592041
27000,1215,22.210699588477365,-21.06,-20.23,10.15133810043335
28000,1269,22.055161544523248,-21.44,-20.23,7.159587144851685
29000,1326,21.867269984917044,-23.36,-20.23,11.501739025115967
30000,1384,21.670520231213874,-22.98,-20.23,6.031689167022705
31000,1441,21.50034698126301,-22.84,-20.23,10.013919115066528
32000,1495,21.3933110367893,-21.25,-20.23,6.690519571304321
33000,1551,21.27530625402966,-20.61,-20.23,11.415953636169434
34000,1606,21.16376089663761,-20.65,-20.23,6.0118632316589355
35000,1661,21.07164358819988,-22.04,-20.23,10.964568853378296
36000,1714,20.995915985997666,-19.98,-20.23,6.286787033081055
