#{"t_start": 1748594570.4737244, "env_id": "Maze-v0"}
r,l,t
-18.0,14,2.957393
-20.0,15,3.072347
-18.0,14,3.16655
-46.0,33,3.363515
-30.0,20,3.478858
-28.0,19,3.58057
-26.0,18,3.685196
-14.0,12,3.765483
-16.0,13,3.849656
-32.0,21,3.980974
-32.0,21,4.093791
-32.0,21,4.210762
-26.0,18,4.304448
-34.0,22,4.439683
-40.0,25,4.572471
-22.0,16,4.67069
-34.0,22,4.824407
-28.0,24,4.952487
-34.0,27,5.095297
-28.0,24,5.23178
-30.0,20,5.34921
-18.0,14,5.431216
-26.0,18,5.544738
-32.0,26,5.675308
-36.0,28,5.837398
-30.0,20,5.96049
-34.0,22,6.095988
-22.0,16,6.167279
-32.0,26,6.293652
-46.0,28,6.464901
-26.0,23,6.583239
-14.0,17,6.70017
-30.0,25,6.853921
-34.0,22,6.994274
-22.0,16,7.071476
-24.0,22,7.205813
-28.0,24,7.332549
-24.0,22,7.471459
-20.0,15,7.583096
-14.0,12,7.66025
-20.0,20,7.794387
-22.0,21,7.914052
-34.0,22,8.054698
-35.0,27,8.224523
-26.0,18,8.341025
-16.0,13,8.432282
-26.0,18,8.533187
-20.0,15,8.628377
-32.0,21,8.736111
-28.0,19,8.84629
-26.0,18,8.940789
-42.0,26,9.063861
-46.0,28,9.213369
-36.0,23,9.340536
-30.0,20,9.469149
-28.0,19,9.574003
-26.0,23,9.685034
-20.0,15,9.757821
-38.0,24,9.881775
-18.0,19,10.003841
-30.0,20,10.119505
-24.0,17,10.209725
-14.0,17,10.292376
-42.0,26,10.441777
-30.0,25,10.56399
-34.0,27,10.743889
-30.0,20,10.866878
-34.0,22,10.989554
-18.0,19,11.111807
-10.0,15,11.200898
-34.0,22,11.339711
-22.0,21,11.433615
-28.0,24,11.540612
-48.0,29,11.676104
-22.0,16,11.772231
-22.0,16,11.885581
-34.0,22,12.014082
-28.0,19,12.121091
-24.0,17,12.213475
-32.0,21,12.327245
-22.0,16,12.413793
-44.0,27,12.530556
-24.0,17,12.625526
-20.0,15,12.717896
-16.0,18,12.835982
-30.0,20,12.956694
-30.0,20,13.103405
-28.0,19,13.183325
-24.0,22,13.289134
-44.0,27,13.451433
-26.0,18,13.539759
-24.0,22,13.67458
-18.0,19,13.789341
-28.0,19,13.896906
-24.0,22,14.038679
-36.0,28,14.216415
-26.0,18,14.289963
-28.0,19,14.400493
-26.0,18,14.520833
-30.0,20,14.638788
-36.0,23,19.583223
-28.0,24,19.71521
-24.0,22,19.829699
-14.0,17,19.92098
-32.0,26,20.068194
-22.0,21,20.181356
-16.0,13,20.250926
-30.0,20,20.370194
-24.0,17,20.4848
-16.0,13,20.55391
-16.0,18,20.663924
-14.0,17,20.758416
-14.0,12,20.810628
-35.0,27,20.959682
-26.0,18,21.059627
-16.0,13,21.136255
-34.0,22,21.27689
-14.0,17,21.371739
-34.0,22,21.493026
-38.0,24,21.651523
-24.0,17,21.758742
-28.0,19,21.859823
-36.0,23,21.963216
-28.0,19,22.043416
-20.0,15,22.121892
-16.0,13,22.217206
-28.0,19,22.308115
-26.0,18,22.397563
-46.0,28,22.539187
-22.0,16,22.616461
-26.0,18,22.711215
-22.0,21,22.833704
-24.0,22,22.954963
-22.0,16,23.034128
-12.0,16,23.119129
-24.0,22,23.216216
-18.0,14,23.288438
-16.0,18,23.400337
-10.0,15,23.482864
-24.0,17,23.576847
-22.0,16,23.667834
-28.0,24,23.826649
-30.0,20,23.933066
-28.0,24,24.042876
-26.0,18,24.138357
-24.0,17,24.230392
-34.0,22,24.365611
-24.0,17,24.454056
-22.0,16,24.539156
-12.0,16,24.635822
-26.0,18,24.743958
-22.0,16,24.82549
-24.0,22,24.947337
-38.0,24,25.071713
-26.0,18,25.178744
-26.0,18,25.254033
-30.0,20,25.375738
-22.0,16,25.462645
-26.0,18,25.546164
-26.0,18,25.626595
-22.0,21,25.741166
-38.0,24,25.856983
-24.0,22,25.98647
-18.0,14,26.059364
-22.0,16,26.150572
-28.0,19,26.231412
-16.0,13,26.288121
-22.0,16,26.372125
-14.0,17,26.45833
-40.0,25,26.564166
-14.0,12,26.626866
-22.0,16,26.722385
-22.0,16,26.806417
-18.0,14,26.892768
-16.0,18,27.010157
-38.0,24,27.160496
-28.0,19,27.268146
-24.0,17,27.36027
-26.0,18,27.449705
-14.0,12,27.50554
-24.0,17,27.580962
-14.0,17,27.671875
-24.0,17,27.776443
-22.0,16,27.878144
-16.0,18,27.957716
-22.0,16,28.032613
-18.0,14,28.100411
-14.0,12,28.158511
-28.0,19,28.258351
-26.0,18,28.351841
-24.0,17,28.442984
-30.0,20,28.546807
-18.0,14,28.643192
-24.0,17,28.73246
-22.0,16,28.831033
-22.0,16,28.913892
-16.0,18,29.014416
-22.0,16,29.086284
-18.0,14,29.153358
-18.0,19,29.267911
-30.0,20,29.381782
-20.0,15,29.477462
-14.0,12,29.548315
-16.0,13,29.622756
-28.0,19,29.731751
-22.0,16,29.812303
-16.0,13,29.902679
-34.0,22,30.01351
-22.0,16,30.143174
-34.0,22,30.245357
-24.0,17,30.353853
-14.0,17,30.456086
-42.0,26,30.60377
-36.0,23,35.110971
-16.0,13,35.185651
-26.0,18,35.272206
-22.0,16,35.358987
-28.0,19,35.464463
-12.0,11,35.527904
-22.0,21,35.616129
-36.0,23,35.758766
-18.0,14,35.822443
-26.0,18,35.915099
-14.0,17,35.991891
-14.0,12,36.079107
-20.0,20,36.175432
-18.0,14,36.261468
-18.0,19,36.364767
-28.0,19,36.491204
-20.0,15,36.573182
-18.0,14,36.660829
-30.0,20,36.76712
-22.0,16,36.858526
-20.0,15,36.957021
-16.0,18,37.053008
-18.0,14,37.122519
-20.0,15,37.212445
-20.0,15,37.296638
-12.0,11,37.364756
-16.0,13,37.440607
-22.0,16,37.538464
-26.0,18,37.626009
-26.0,18,37.745842
-18.0,14,37.840512
-16.0,13,37.91683
-22.0,16,38.005753
-18.0,14,38.09319
-14.0,12,38.159934
-22.0,16,38.245439
-8.0,14,38.322575
-26.0,18,38.433783
-18.0,14,38.503093
-22.0,16,38.58377
-16.0,18,38.689666
-16.0,18,38.78312
-12.0,16,38.853466
-18.0,14,38.944544
-22.0,16,39.034966
-26.0,18,39.14464
-20.0,15,39.225837
-20.0,15,39.324825
-16.0,13,39.403216
-14.0,12,39.463742
-18.0,19,39.560078
-4.0,12,39.63391
-18.0,14,39.732808
-16.0,13,39.805517
-10.0,15,39.889405
-8.0,14,39.986457
-6.0,13,40.06466
-24.0,17,40.163536
-16.0,13,40.264402
-18.0,14,40.342064
-18.0,19,40.45381
-20.0,15,40.546637
-14.0,12,40.603947
-22.0,16,40.688898
-20.0,15,40.767155
-24.0,17,40.857138
-18.0,14,40.938789
-20.0,15,41.028786
-14.0,17,41.118827
-20.0,15,41.21053
-16.0,18,41.330111
-20.0,15,41.399266
-16.0,13,41.477896
-24.0,17,41.580762
-14.0,12,41.637215
-16.0,18,41.720661
-12.0,16,41.804034
-16.0,13,41.875016
-24.0,17,41.956885
-24.0,17,42.063631
-26.0,18,42.148137
-22.0,16,42.218339
-28.0,19,42.315735
-22.0,16,42.409052
-22.0,16,42.508395
-22.0,16,42.622932
-12.0,16,42.701981
-20.0,20,42.810515
-30.0,20,42.915183
-14.0,17,43.008819
-22.0,16,43.077007
-22.0,16,43.153798
-16.0,13,43.242411
-18.0,19,43.370486
-24.0,17,43.451146
-22.0,16,43.537144
-12.0,11,43.599363
-16.0,13,43.677742
-24.0,17,43.76664
-20.0,15,43.857125
-26.0,18,43.943308
-18.0,14,44.027712
-20.0,15,44.126608
-18.0,14,44.205625
-14.0,12,44.292191
-22.0,16,44.38124
-24.0,17,44.484698
-20.0,20,44.600081
-20.0,15,44.68236
-18.0,14,44.749301
-20.0,15,44.844073
-20.0,15,44.926641
-16.0,18,45.02336
-18.0,14,45.087498
-16.0,13,45.172161
-18.0,14,45.245201
-22.0,21,45.36546
-16.0,13,45.433251
-26.0,18,45.547406
-14.0,12,45.61679
-22.0,16,45.716796
-12.0,16,45.827626
-18.0,14,45.888464
-22.0,16,45.956058
-12.0,16,46.040704
-16.0,13,46.097891
-16.0,13,46.172884
-18.0,14,46.233285
-20.0,15,46.298745
-20.0,15,46.373858
-20.0,15,46.454058
-22.0,16,50.840526
-6.0,13,50.917363
-16.0,13,50.996027
-26.0,18,51.093358
-12.0,11,51.148001
-10.0,15,51.228077
-16.0,13,51.301099
-20.0,15,51.388639
-16.0,18,51.494474
-4.0,12,51.564607
-22.0,16,51.66303
-10.0,15,51.762031
-16.0,13,51.848446
-18.0,14,51.929508
-14.0,12,51.983831
-14.0,17,52.083364
-10.0,15,52.184983
-18.0,14,52.264354
-8.0,14,52.345467
-18.0,14,52.409308
-14.0,17,52.489307
-18.0,14,52.574013
-18.0,14,52.678303
-16.0,13,52.75809
-12.0,11,52.834389
-18.0,19,52.918322
-14.0,17,52.994615
-14.0,12,53.047691
-18.0,14,53.125231
-4.0,12,53.187441
-16.0,13,53.273341
-6.0,13,53.334166
-8.0,14,53.400896
-10.0,15,53.485658
-14.0,17,53.605289
-16.0,13,53.675197
-18.0,14,53.73311
-16.0,13,53.823257
-16.0,13,53.886023
-20.0,15,53.979767
-18.0,14,54.057982
-16.0,13,54.122167
-16.0,13,54.185658
-16.0,13,54.265106
-22.0,16,54.341726
-22.0,16,54.427789
-8.0,14,54.516882
-20.0,15,54.612651
-18.0,14,54.686741
-18.0,14,54.771158
-26.0,18,54.856583
-12.0,16,54.949088
-16.0,13,55.016257
-20.0,15,55.082664
-14.0,12,55.135431
-14.0,17,55.231411
-16.0,13,55.30015
-12.0,11,55.350762
-14.0,12,55.408599
-16.0,13,55.47512
-20.0,15,55.581839
-14.0,12,55.658941
-22.0,16,55.737487
-12.0,11,55.814131
-18.0,14,55.908984
-18.0,14,56.0033
-22.0,16,56.092205
-12.0,16,56.177837
-16.0,13,56.251141
-14.0,12,56.323448
-24.0,17,56.420542
-8.0,14,56.509271
-12.0,16,56.600079
-12.0,16,56.697788
-6.0,13,56.77883
-16.0,13,56.851652
-22.0,16,56.939548
-18.0,14,57.007982
-10.0,15,57.078946
-10.0,15,57.170858
-20.0,15,57.265829
-16.0,13,57.343628
