timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,49,20.20408163265306,-27.163265306122447,-inf,8.781434297561646
2000,97,20.47422680412371,-27.762886597938145,-27.163265306122447,5.564566612243652
3000,150,19.9,-26.23,-27.163265306122447,10.340738296508789
4000,208,19.16826923076923,-23.37,-26.23,5.389511823654175
5000,271,18.44649446494465,-20.54,-23.37,10.06523847579956
6000,334,17.92814371257485,-18.72,-20.54,5.6088831424713135
7000,404,17.297029702970296,-16.72,-18.72,9.751254320144653
8000,476,16.80672268907563,-15.26,-16.72,5.866852760314941
9000,551,16.323049001814883,-13.58,-15.26,9.867499113082886
10000,623,16.03370786516854,-13.1,-13.58,6.112043857574463
11000,698,15.74785100286533,-11.0,-13.1,10.693908929824829
12000,772,15.532383419689118,-10.2,-11.0,5.969501495361328
13000,846,15.36643026004728,-9.86,-10.2,10.475284099578857
14000,920,15.207608695652175,-9.18,-9.86,6.456780433654785
15000,995,15.06532663316583,-7.74,-9.18,10.326162576675415
16000,1069,14.961646398503275,-7.82,-7.74,6.275453805923462
17000,1142,14.8861646234676,-8.08,-7.74,10.501715660095215
18000,1214,14.819604612850082,-8.38,-7.74,6.301419734954834
19000,1286,14.770606531881803,-8.2,-7.74,10.523418426513672
20000,1358,14.726067746686303,-7.9,-7.74,6.255719423294067
21000,1432,14.660614525139664,-7.24,-7.74,10.277958393096924
22000,1508,14.586206896551724,-6.38,-7.24,6.275952339172363
23000,1583,14.524952621604548,-6.5,-6.38,10.63123893737793
24000,1661,14.448524984948826,-5.94,-6.38,6.198282957077026
25000,1739,14.370327774583094,-5.48,-5.94,10.583837032318115
26000,1819,14.293018141836173,-5.1,-5.48,6.263505697250366
27000,1899,14.212743549236441,-4.82,-5.1,10.606595516204834
28000,1982,14.126639757820383,-4.56,-4.82,6.064974546432495
29000,2064,14.045058139534884,-4.36,-4.56,10.742440700531006
30000,2148,13.965549348230912,-4.2,-4.36,6.511202812194824
31000,2231,13.89376961004034,-4.36,-4.2,10.705996751785278
32000,2313,13.830090791180286,-4.16,-4.2,6.276823043823242
33000,2396,13.769198664440735,-4.2,-4.16,10.592683553695679
34000,2479,13.713190802743041,-4.16,-4.16,6.368540048599243
35000,2560,13.671875,-4.76,-4.16,10.664597034454346
36000,2625,13.714285714285714,-9.86,-4.16,6.273008823394775
37000,2689,13.75529936779472,-11.76,-4.16,10.385145425796509
38000,2755,13.790925589836661,-10.82,-4.16,6.164091110229492
39000,2824,13.80771954674221,-9.6,-4.16,10.430691003799438
40000,2895,13.814162348877375,-9.02,-4.16,6.320741176605225
41000,2966,13.820971004720162,-8.78,-4.16,10.573381423950195
42000,3035,13.834266886326194,-8.86,-4.16,6.3819966316223145
43000,3106,13.843206696716033,-8.5,-4.16,6.370819568634033
44000,3176,13.85044080604534,-8.36,-4.16,10.56100082397461
45000,3247,13.856174930705267,-8.24,-4.16,6.3827736377716064
46000,3319,13.85778849050919,-7.94,-4.16,10.37654709815979
47000,3391,13.859038631672073,-8.0,-4.16,6.407179117202759
48000,3466,13.846220427005193,-6.98,-4.16,10.721579551696777
49000,3541,13.83620446201638,-6.76,-4.16,6.2277703285217285
50000,3620,13.810220994475138,-5.62,-4.16,10.57187271118164
51000,3699,13.786158421194918,-5.32,-4.16,6.230740785598755
52000,3782,13.748810153358011,-4.82,-4.16,10.147847890853882
53000,3865,13.711254851228977,-4.48,-4.16,5.949666500091553
54000,3948,13.675278622087133,-4.0,-4.16,10.288484334945679
55000,4032,13.640376984126984,-4.0,-4.0,6.072254180908203
56000,4117,13.601165897498179,-5.96,-4.0,10.223383665084839
57000,4202,13.56330318895764,-6.16,-4.0,5.960670471191406
58000,4287,13.527874970842081,-6.02,-4.0,10.213155508041382
59000,4371,13.49645390070922,-5.04,-4.0,5.985494375228882
60000,4455,13.467340067340068,-4.48,-4.0,10.099251985549927
61000,4538,13.44050242397532,-4.0,-4.0,5.948893785476685
62000,4612,13.441240242844753,-6.2,-4.0,10.524182319641113
63000,4679,13.46356058986963,-9.98,-4.0,6.162894248962402
64000,4750,13.473263157894737,-8.74,-4.0,10.451367616653442
65000,4826,13.4680895151264,-6.52,-4.0,6.265453577041626
66000,4904,13.456362153344209,-5.62,-4.0,10.456443071365356
67000,4986,13.436622543120738,-4.54,-4.0,6.093177080154419
68000,5069,13.414874728743342,-4.24,-4.0,10.133648872375488
69000,5152,13.391886645962733,-4.08,-4.0,6.105381488800049
70000,5235,13.36981852913085,-4.0,-4.0,10.402924060821533
71000,5319,13.348185749200978,-4.0,-4.0,6.108090162277222
72000,5397,13.340374282008524,-5.26,-4.0,10.354153871536255
73000,5463,13.360058575874062,-9.18,-4.0,5.888611793518066
74000,5534,13.371160101192627,-8.9,-4.0,10.496454954147339
75000,5612,13.362794012829651,-5.38,-4.0,5.880492687225342
76000,5691,13.352837814092426,-5.32,-4.0,10.27918028831482
77000,5774,13.333910633875997,-4.12,-4.0,5.766613721847534
78000,5857,13.315519890729043,-4.06,-4.0,10.371958255767822
79000,5941,13.296919710486451,-4.0,-4.0,6.0673768520355225
80000,6024,13.279050464807437,-4.0,-4.0,10.103484869003296
81000,6107,13.261666939577534,-4.0,-4.0,5.928293704986572
82000,6191,13.244548538200613,-4.0,-4.0,10.20092487335205
83000,6274,13.228084156837744,-4.0,-4.0,5.854886293411255
84000,6357,13.212049708982224,-4.0,-4.0,10.434460401535034
85000,6441,13.196242819437975,-4.0,-4.0,5.95512843132019
86000,6524,13.181023911710607,-4.0,-4.0,5.914813280105591
87000,6607,13.166187377024368,-4.0,-4.0,10.082449436187744
88000,6691,13.151546853982962,-4.0,-4.0,6.059915542602539
89000,6774,13.137437260112193,-4.0,-4.0,10.068330526351929
90000,6857,13.123669243109232,-4.0,-4.0,5.8124754428863525
91000,6919,13.151177915883798,-9.2,-4.0,9.878854036331177
92000,6978,13.183576956147894,-13.98,-4.0,5.430116653442383
93000,7039,13.211393663872709,-13.26,-4.0,9.857072830200195
94000,7101,13.237008871989861,-12.4,-4.0,5.77766752243042
95000,7163,13.261063800083765,-12.1,-4.0,10.15594220161438
96000,7226,13.284251314696927,-11.82,-4.0,5.6904096603393555
97000,7292,13.301837630279758,-10.88,-4.0,10.062098026275635
98000,7358,13.317069855939113,-10.0,-4.0,5.758289337158203
99000,7436,13.312937062937063,-6.76,-4.0,10.199457168579102
100000,7517,13.301982173739523,-4.54,-4.0,5.747941970825195
