#{"t_start": 1748598610.4538083, "env_id": "Maze-v0"}
r,l,t
-37.0,27,4.208591
-30.0,20,4.346577
-28.0,18,4.466546
-25.0,25,4.611482
-35.0,25,4.746235
-31.0,21,4.862132
-21.0,21,4.957701
-17.0,17,5.05742
-25.0,15,5.149007
-24.0,24,5.27423
-16.0,16,5.346097
-27.0,17,5.425286
-30.0,20,5.521662
-23.0,23,5.657719
-29.0,19,5.765014
-31.0,21,5.860646
-36.0,26,5.992434
-26.0,16,6.079278
-20.0,20,6.171218
-31.0,21,6.282344
-19.0,19,6.392327
-22.0,12,6.46662
-20.0,19,6.580745
-17.0,17,6.652648
-21.0,21,6.768804
-20.0,20,6.872141
-25.0,15,6.96419
-21.0,21,7.062729
-27.0,17,7.165535
-20.0,20,7.262128
-29.0,19,7.356979
-36.0,26,7.507892
-27.0,26,7.647656
-31.0,21,7.738156
-36.0,26,7.880438
-30.0,30,8.037033
-24.0,24,8.162915
-22.0,22,8.267518
-21.0,21,8.403917
-17.0,17,8.506868
-31.0,21,8.603589
-29.0,19,8.697845
-18.0,18,8.796409
-22.0,22,8.931677
-25.0,15,9.012715
-19.0,19,9.134136
-30.0,20,9.23748
-30.0,20,9.351611
-30.0,20,9.467238
-26.0,16,9.560679
-23.0,23,9.669717
-31.0,21,9.772046
-35.0,25,9.889065
-35.0,25,9.98816
-28.0,18,10.080084
-27.0,17,10.165631
-28.0,18,10.261319
-30.0,20,10.338878
-23.0,23,10.516155
-29.0,19,10.640968
-31.0,21,10.773718
-28.0,28,10.959062
-30.0,20,11.071562
-25.0,25,11.269989
-27.0,17,11.358918
-31.0,31,11.507219
-19.0,19,11.587735
-12.0,12,11.642395
-30.0,20,11.731768
-25.0,25,11.86847
-23.0,23,11.985133
-28.0,18,12.094232
-26.0,26,12.221474
-24.0,14,12.283217
-38.0,28,12.411542
-23.0,23,12.5614
-29.0,19,12.644671
-27.0,17,12.732407
-42.0,32,12.918864
-20.0,20,13.00479
-23.0,13,13.081686
-21.0,21,13.200894
-23.0,23,13.337126
-27.0,17,13.410864
-20.0,20,13.522911
-22.0,22,13.616672
-20.0,20,13.739928
-30.0,20,13.828507
-36.0,26,13.983377
-28.0,18,14.058519
-28.0,18,14.150024
-32.0,22,14.265929
-25.0,25,14.428288
-27.0,17,14.502018
-26.0,16,14.591428
-35.0,25,14.724403
-36.0,26,14.866183
-26.0,26,15.005792
-26.0,16,19.822827
-25.0,15,19.888662
-20.0,20,19.998821
-28.0,18,20.11085
-15.0,15,20.203407
-22.0,22,20.302023
-31.0,21,20.409775
-30.0,20,20.515249
-17.0,17,20.630493
-25.0,15,20.708494
-18.0,18,20.786907
-22.0,22,20.878938
-21.0,20,20.978506
-26.0,16,21.088392
-28.0,18,21.177639
-27.0,27,21.305272
-18.0,18,21.390436
-28.0,18,21.48253
-34.0,24,21.605333
-23.0,23,21.708658
-30.0,20,21.815928
-21.0,21,21.925792
-30.0,20,22.015613
-29.0,19,22.1111
-26.0,16,22.189681
-23.0,23,22.289937
-25.0,15,22.364082
-16.0,16,22.474057
-25.0,25,22.612456
-32.0,22,22.742997
-31.0,21,22.829377
-29.0,29,23.030843
-28.0,18,23.117417
-28.0,18,23.202873
-25.0,15,23.285984
-21.0,21,23.384595
-24.0,24,23.522863
-27.0,17,23.599323
-30.0,20,23.693221
-31.0,21,23.786543
-27.0,17,23.869284
-25.0,15,23.956246
-23.0,13,24.015325
-18.0,18,24.101405
-23.0,13,24.177756
-26.0,26,24.310875
-21.0,21,24.425671
-32.0,22,24.553469
-32.0,22,24.676681
-30.0,20,24.79501
-29.0,19,24.877764
-20.0,20,24.972872
-32.0,22,25.081729
-29.0,19,25.200125
-19.0,19,25.307198
-26.0,16,25.394851
-34.0,24,25.564939
-17.0,17,25.650272
-27.0,27,25.769749
-20.0,20,25.900046
-29.0,19,26.007565
-30.0,20,26.104786
-30.0,30,26.262482
-17.0,17,26.367262
-22.0,22,26.510783
-27.0,17,26.602952
-21.0,21,26.720116
-44.0,34,26.904208
-23.0,13,26.969742
-29.0,19,27.077863
-19.0,19,27.174106
-31.0,21,27.320285
-31.0,21,27.446736
-17.0,17,27.542864
-25.0,15,27.630558
-16.0,16,27.717586
-18.0,18,27.798251
-19.0,19,27.901068
-23.0,23,28.013585
-27.0,17,28.105048
-27.0,17,28.193033
-22.0,22,28.30237
-22.0,22,28.421816
-22.0,22,28.555524
-28.0,18,28.667577
-27.0,17,28.769732
-27.0,17,28.878947
-28.0,18,28.980489
-27.0,17,29.089581
-26.0,26,29.224516
-29.0,19,29.321875
-16.0,16,29.417055
-27.0,17,29.514137
-27.0,17,29.642704
-24.0,14,29.7125
-30.0,20,29.806239
-29.0,19,29.897946
-26.0,16,29.979998
-28.0,18,30.086463
-31.0,21,30.18306
-30.0,20,30.314552
-29.0,29,30.463778
-21.0,21,30.605027
-28.0,18,30.714761
-24.0,24,30.827927
-27.0,17,35.057592
-28.0,18,35.141896
-23.0,23,35.258367
-22.0,22,35.400687
-18.0,18,35.490402
-18.0,18,35.601938
-34.0,24,35.705131
-27.0,17,35.798228
-32.0,22,35.919463
-33.0,23,36.051095
-24.0,14,36.131985
-21.0,21,36.234955
-18.0,18,36.328264
-27.0,17,36.396922
-25.0,15,36.488082
-30.0,20,36.592536
-18.0,18,36.690122
-28.0,18,36.774434
-32.0,22,36.899972
-17.0,17,37.005066
-18.0,18,37.083384
-19.0,19,37.216579
-28.0,18,37.321031
-30.0,20,37.434582
-17.0,17,37.521245
-18.0,18,37.610921
-28.0,18,37.731549
-27.0,27,37.881834
-19.0,19,37.993423
-29.0,19,38.112186
-26.0,16,38.197737
-27.0,17,38.291443
-18.0,18,38.37132
-23.0,13,38.438289
-20.0,20,38.546406
-29.0,19,38.649629
-18.0,18,38.741756
-21.0,21,38.847675
-23.0,13,38.914108
-25.0,15,38.992935
-28.0,18,39.088905
-17.0,17,39.195546
-28.0,18,39.301076
-24.0,24,39.4324
-16.0,16,39.530629
-19.0,19,39.652709
-27.0,27,39.801861
-20.0,20,39.915542
-26.0,16,40.00812
-25.0,15,40.069683
-16.0,16,40.150513
-28.0,18,40.244972
-23.0,23,40.387159
-20.0,20,40.513695
-37.0,27,40.63786
-26.0,16,40.710698
-18.0,18,40.78843
-25.0,15,40.883173
-25.0,15,40.965767
-18.0,18,41.043421
-24.0,14,41.107275
-18.0,18,41.228547
-27.0,17,41.299579
-23.0,23,41.432611
-37.0,27,41.567783
-20.0,20,41.674999
-17.0,17,41.769642
-15.0,15,41.851808
-31.0,21,41.953794
-18.0,18,42.042655
-19.0,19,42.140917
-25.0,15,42.208859
-23.0,23,42.342327
-17.0,17,42.444849
-19.0,19,42.550558
-18.0,18,42.638591
-29.0,19,42.745672
-27.0,17,42.856508
-22.0,12,42.915508
-20.0,20,43.016594
-26.0,16,43.112732
-25.0,15,43.207477
-16.0,16,43.290658
-34.0,24,43.407899
-25.0,25,43.550973
-21.0,21,43.660149
-20.0,20,43.768484
-26.0,16,43.838279
-18.0,18,43.959871
-27.0,17,44.04858
-24.0,24,44.166917
-18.0,18,44.244696
-16.0,16,44.338236
-26.0,16,44.444524
-24.0,14,44.515228
-25.0,15,44.603844
-24.0,14,44.664051
-27.0,17,44.736027
-26.0,16,44.83586
-26.0,26,44.994503
-33.0,23,45.130992
-20.0,20,45.216337
-21.0,21,45.325165
-14.0,14,45.386316
-25.0,25,45.518067
-27.0,17,45.594909
-18.0,18,45.689539
-23.0,23,45.804137
-21.0,21,45.895689
-16.0,16,50.023333
-16.0,16,50.091952
-24.0,14,50.156179
-22.0,22,50.2511
-19.0,19,50.348903
-20.0,20,50.448453
-22.0,22,50.562574
-16.0,16,50.668541
-16.0,16,50.780752
-12.0,12,50.865235
-21.0,21,50.992983
-27.0,17,51.09744
-17.0,17,51.184834
-20.0,20,51.278208
-25.0,15,51.394121
-24.0,14,51.454731
-18.0,18,51.544588
-17.0,17,51.631566
-23.0,13,51.702258
-21.0,21,51.823317
-19.0,19,51.920742
-18.0,18,52.007134
-31.0,21,52.10367
-26.0,16,52.212358
-21.0,21,52.344314
-14.0,14,52.433955
-21.0,21,52.563933
-16.0,16,52.645121
-33.0,23,52.78919
-18.0,18,52.871331
-22.0,12,52.945736
-16.0,16,53.029579
-29.0,19,53.162137
-18.0,18,53.270261
-16.0,16,53.350387
-18.0,18,53.44088
-15.0,15,53.520241
-18.0,18,53.628189
-26.0,16,53.719495
-16.0,16,53.807909
-18.0,18,53.896109
-17.0,17,53.99828
-25.0,15,54.081523
-25.0,15,54.170908
-22.0,22,54.311496
-28.0,18,54.385252
-27.0,17,54.478158
-16.0,16,54.585428
-18.0,18,54.688843
-26.0,16,54.785846
-23.0,23,54.931806
-20.0,20,55.04515
-17.0,17,55.159342
-27.0,17,55.250724
-30.0,20,55.35301
-19.0,19,55.441485
-28.0,18,55.571213
-25.0,15,55.648247
-21.0,21,55.779809
-16.0,16,55.890044
-19.0,19,56.006308
-17.0,17,56.099546
-16.0,16,56.203211
-26.0,16,56.29316
-16.0,16,56.385587
-26.0,16,56.489016
-25.0,15,56.566532
-23.0,23,56.706828
-20.0,20,56.817944
-18.0,18,56.903747
-17.0,17,56.984139
-18.0,18,57.104925
-24.0,14,57.175883
-26.0,16,57.272084
-19.0,19,57.378958
-24.0,14,57.46343
-18.0,18,57.554219
-22.0,22,57.681377
-15.0,15,57.776522
-28.0,18,57.87661
-26.0,16,57.959506
-17.0,17,58.05546
-17.0,17,58.151036
-18.0,18,58.235043
-21.0,21,58.3436
-21.0,21,58.456642
-18.0,18,58.543769
-22.0,22,58.666878
-20.0,20,58.778615
-24.0,14,58.860209
-21.0,21,58.978643
-18.0,18,59.058829
-25.0,15,59.146149
-24.0,14,59.236861
-23.0,23,59.396163
-27.0,17,59.502584
-28.0,18,59.604164
-21.0,21,59.729331
-18.0,18,59.812655
-20.0,20,59.930415
-24.0,14,59.996892
-18.0,18,60.103215
-23.0,13,60.165184
-31.0,21,60.274936
-15.0,15,60.341431
-28.0,18,60.443613
-31.0,21,60.572734
-17.0,17,60.64766
-16.0,16,60.749953
-14.0,14,60.841997
-16.0,16,60.935483
-18.0,18,61.020195
-27.0,17,61.12825
-26.0,16,61.199953
-23.0,23,61.298193
-20.0,20,61.388352
-18.0,18,65.807377
-22.0,12,65.89301
-25.0,15,66.021915
-27.0,17,66.185395
-22.0,12,66.264566
-15.0,15,66.328483
-22.0,22,66.462258
-15.0,15,66.526713
-24.0,14,66.598186
-17.0,17,66.70166
-18.0,18,66.777984
-17.0,17,66.906311
-16.0,16,67.046798
-27.0,17,67.175373
-21.0,21,67.330176
-17.0,17,67.471059
-26.0,16,67.596637
-14.0,14,67.720937
-27.0,17,67.815253
-25.0,15,67.875603
-25.0,15,67.978104
-14.0,14,68.078508
-28.0,18,68.154255
-17.0,17,68.246129
-18.0,18,68.34311
-18.0,18,68.41748
-17.0,17,68.525099
-25.0,15,68.607024
-16.0,16,68.68861
-26.0,16,68.794789
-19.0,19,68.89314
-26.0,16,68.977895
-28.0,18,69.07357
-16.0,16,69.141315
-25.0,15,69.221447
-30.0,20,69.32829
-17.0,17,69.411955
-23.0,23,69.602493
-16.0,16,69.724576
-26.0,16,69.840896
-18.0,18,69.975279
-24.0,14,70.06618
-15.0,15,70.172899
-15.0,15,70.279719
-18.0,18,70.390155
-18.0,18,70.469345
-21.0,21,70.587201
-18.0,18,70.672381
-24.0,14,70.735112
-17.0,17,70.84191
-16.0,16,70.925958
-23.0,13,71.002198
-22.0,22,71.17957
-16.0,16,71.32402
-23.0,23,71.514399
-14.0,14,71.63947
-15.0,15,71.770563
-30.0,20,71.923253
-23.0,23,72.022289
-12.0,12,72.082748
-17.0,17,72.165953
-16.0,16,72.269899
-15.0,15,72.357039
-27.0,17,72.458011
-16.0,16,72.570493
-27.0,17,72.693477
-22.0,12,72.755184
-18.0,18,72.842134
-12.0,12,72.919106
-15.0,15,73.004385
-20.0,20,73.111942
-15.0,15,73.213667
-25.0,15,73.34598
-21.0,21,73.50712
-16.0,16,73.636329
-26.0,16,73.792751
-26.0,16,73.905513
-21.0,21,74.084254
-23.0,13,74.138444
-20.0,20,74.246011
-19.0,19,74.360897
-23.0,13,74.421911
-16.0,16,74.500192
-16.0,16,74.58516
-20.0,20,74.71382
-22.0,22,74.826224
-17.0,17,74.915162
-24.0,14,74.99131
-26.0,16,75.11376
-26.0,16,75.22288
-24.0,14,75.330861
-16.0,16,75.451685
-14.0,14,75.520406
-23.0,13,75.584307
-15.0,15,75.652374
-17.0,17,75.752259
-16.0,16,75.844549
-25.0,25,75.99146
-22.0,22,76.088314
-18.0,18,76.167451
-26.0,16,76.268902
-15.0,15,76.348284
-14.0,14,76.435191
-23.0,23,76.561958
-24.0,14,76.638125
-16.0,16,76.726362
-16.0,16,76.79626
-17.0,17,76.895862
-26.0,16,77.017852
-15.0,15,77.162339
-17.0,17,77.295419
-17.0,17,77.429791
-28.0,18,77.574289
-15.0,15,77.68666
-22.0,12,77.765268
-20.0,20,77.84581
-15.0,15,77.911653
-20.0,20,77.999923
-18.0,18,78.101826
-15.0,15,78.212399
-18.0,18,78.314387
-17.0,17,78.421394
-16.0,16,78.515632
-17.0,17,82.694704
-24.0,14,82.782217
-17.0,17,82.870818
-13.0,13,82.938307
-12.0,12,83.020086
-17.0,17,83.120559
-12.0,12,83.210279
-27.0,17,83.314045
-25.0,15,83.398497
-14.0,14,83.466105
-14.0,14,83.534684
-16.0,16,83.629251
-21.0,21,83.75302
-17.0,17,83.84434
-18.0,18,83.937155
-18.0,18,84.019278
-16.0,16,84.151976
-15.0,15,84.268316
-17.0,17,84.385482
-29.0,19,84.530708
-15.0,15,84.641821
-18.0,18,84.818473
-16.0,16,84.966738
-26.0,16,85.051895
-16.0,16,85.117387
-16.0,16,85.227892
-15.0,15,85.290983
-26.0,16,85.355682
-27.0,17,85.455434
-22.0,12,85.518871
-14.0,14,85.598584
-22.0,12,85.66719
-15.0,15,85.741047
-12.0,12,85.795397
-17.0,17,85.884393
