timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,51,19.15686274509804,-23.41176470588235,-inf,8.773070335388184
2000,103,19.33009708737864,-23.48,-23.41176470588235,6.267983675003052
3000,157,18.97452229299363,-21.36,-23.41176470588235,10.738523960113525
4000,216,18.48611111111111,-19.85,-21.36,6.187397003173828
5000,278,17.9568345323741,-17.22,-19.85,10.60312271118164
6000,344,17.436046511627907,-14.72,-17.22,6.437352657318115
7000,413,16.927360774818403,-12.67,-14.72,10.479247331619263
8000,482,16.57883817427386,-12.88,-12.67,6.484804630279541
9000,557,16.156193895870736,-11.5,-12.67,10.707907676696777
10000,631,15.84310618066561,-10.53,-11.5,6.398256540298462
11000,708,15.531073446327683,-10.73,-10.53,10.773762702941895
12000,784,15.298469387755102,-10.77,-10.53,6.267542600631714
13000,862,15.067285382830626,-9.38,-10.53,10.538938045501709
14000,941,14.868225292242295,-8.09,-9.38,6.397619724273682
15000,1022,14.667318982387476,-8.59,-8.09,10.893608808517456
16000,1103,14.495920217588395,-8.62,-8.09,6.345872163772583
17000,1184,14.353885135135135,-8.98,-8.09,10.985782146453857
18000,1266,14.217219589257503,-8.95,-8.09,6.587950944900513
19000,1350,14.07037037037037,-6.96,-8.09,10.625847816467285
20000,1432,13.960195530726256,-6.79,-6.96,6.432285785675049
21000,1516,13.846306068601583,-6.37,-6.79,10.27536392211914
22000,1600,13.74875,-7.59,-6.37,6.02001166343689
23000,1681,13.677572873289709,-7.35,-6.37,10.190945386886597
24000,1765,13.597167138810198,-7.07,-6.37,6.071727514266968
25000,1846,13.536294691224269,-7.75,-6.37,10.011183977127075
26000,1930,13.467357512953368,-7.97,-6.37,5.90751576423645
27000,2014,13.404170804369414,-9.11,-6.37,10.068225860595703
28000,2099,13.335397808480229,-6.89,-6.37,5.736938238143921
29000,2184,13.276556776556777,-7.67,-6.37,9.974743604660034
30000,2268,13.22442680776014,-8.79,-6.37,5.68986964225769
31000,2351,13.182475542322416,-8.04,-6.37,9.885024547576904
32000,2437,13.129257283545343,-7.12,-6.37,5.815862655639648
33000,2520,13.091666666666667,-7.68,-6.37,10.024844408035278
34000,2606,13.045663852647737,-7.87,-6.37,5.79181170463562
35000,2692,12.99851411589896,-7.1,-6.37,9.960588693618774
36000,2777,12.962909614692114,-7.09,-6.37,5.7612199783325195
37000,2861,12.931142957008039,-7.95,-6.37,9.835674524307251
38000,2946,12.896809232858113,-7.46,-6.37,5.755644798278809
39000,3029,12.87190491911522,-7.9,-6.37,10.069125175476074
40000,3115,12.837560192616372,-5.93,-6.37,5.936756134033203
41000,3197,12.820143884892087,-7.44,-5.93,10.012739419937134
42000,3282,12.79707495429616,-7.01,-5.93,5.878727674484253
43000,3366,12.773024361259655,-7.36,-5.93,5.853677749633789
44000,3453,12.739357080799305,-6.03,-5.93,10.047430515289307
45000,3537,12.720384506644049,-7.24,-5.93,5.956174612045288
46000,3624,12.690673289183223,-7.41,-5.93,10.111146450042725
47000,3707,12.6752090639331,-7.63,-5.93,5.918039321899414
48000,3794,12.650237216657882,-6.29,-5.93,10.216202735900879
49000,3879,12.631863882443929,-7.41,-5.93,5.952834129333496
50000,3963,12.616452182689882,-7.02,-5.93,10.144198894500732
51000,4050,12.592098765432098,-7.67,-5.93,6.020396947860718
52000,4133,12.580691991289621,-7.53,-5.93,10.486979961395264
53000,4218,12.562825983878616,-6.48,-5.93,6.1668102741241455
54000,4305,12.542857142857143,-7.28,-5.93,10.320960521697998
55000,4391,12.5251651104532,-6.8,-5.93,6.310117244720459
56000,4474,12.516763522574877,-7.39,-5.93,10.265143156051636
