#{"t_start": 1748599542.8027062, "env_id": "Maze-v0"}
r,l,t
-23.0,23,3.452831
-12.0,12,3.534443
-27.0,27,3.704107
-23.0,23,3.834039
-23.0,23,3.966122
-35.0,25,4.118058
-24.0,24,4.244774
-25.0,15,4.357234
-19.0,19,4.502703
-31.0,21,4.611746
-18.0,18,4.742355
-18.0,18,4.846916
-18.0,18,4.9635
-26.0,26,5.119566
-25.0,25,5.285853
-19.0,19,5.373181
-21.0,21,5.472345
-26.0,16,5.57347
-17.0,17,5.703434
-18.0,18,5.79385
-25.0,25,5.914902
-26.0,18,6.023646
-28.0,18,6.132182
-21.0,21,6.238748
-15.0,15,6.325674
-19.0,19,6.453953
-19.0,19,6.566794
-26.0,16,6.669144
-26.0,26,6.805571
-33.0,23,6.915761
-18.0,18,7.009757
-29.0,19,7.108873
-22.0,22,7.231181
-23.0,23,7.355764
-21.0,21,7.463335
-21.0,21,7.578504
-24.0,14,7.645296
-20.0,20,7.758324
-24.0,24,7.880257
-18.0,18,7.998492
-17.0,17,8.093048
-21.0,21,8.205384
-19.0,19,8.313675
-26.0,16,8.396507
-18.0,18,8.482903
-17.0,17,8.571451
-33.0,33,8.785592
-27.0,27,8.930237
-16.0,16,9.02448
-19.0,21,9.197163
-21.0,21,9.339495
-21.0,21,9.438373
-21.0,21,9.553872
-13.0,13,9.636607
-19.0,19,9.761981
-18.0,18,9.908887
-24.0,24,10.049965
-20.0,20,10.219485
-15.0,15,10.328645
-22.0,22,10.503514
-18.0,18,10.629361
-20.0,20,10.758142
-15.0,15,10.838521
-21.0,21,10.954616
-14.0,16,11.031937
-21.0,21,11.144926
-28.0,18,11.239802
-18.0,18,11.355908
-26.0,16,11.472352
-31.0,21,11.605318
-16.0,16,11.706046
-15.0,17,11.851505
-27.0,27,12.011529
-23.0,23,12.101438
-17.0,17,12.202444
-23.0,23,12.330761
-28.0,18,12.453552
-32.0,22,12.648051
-18.0,18,12.767359
-21.0,21,12.923188
-20.0,20,13.078971
-25.0,25,13.263376
-19.0,18,13.345528
-17.0,17,13.415576
-19.0,19,13.555918
-21.0,21,13.725387
-15.0,15,13.798982
-25.0,25,13.920711
-30.0,20,14.02249
-17.0,17,14.120802
-17.0,17,14.201157
-18.0,18,14.286031
-17.0,17,14.366647
-22.0,22,14.521121
-19.0,19,14.611704
-25.0,25,14.734505
-22.0,12,14.817456
-29.0,19,14.932123
-14.0,14,15.009412
-18.0,20,15.149655
-24.0,24,15.264998
-17.0,17,15.363215
-14.0,14,15.4643
-25.0,15,15.565525
-21.0,21,20.274748
-16.0,16,20.357407
-21.0,21,20.482453
-21.0,21,20.605431
-19.0,19,20.715452
-27.0,27,20.858958
-21.0,21,20.955281
-16.0,16,21.044194
-18.0,18,21.125623
-20.0,20,21.221253
-21.0,21,21.313948
-18.0,18,21.415983
-21.0,21,21.533306
-16.0,16,21.622956
-12.0,12,21.68228
-15.0,15,21.771431
