timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
10000,245,40.69795918367347,-390.7,-inf,19.16606616973877
20000,493,40.503042596348884,-253.2,-390.7,18.67480993270874
30000,733,40.903137789904505,-236.2,-253.2,18.348769187927246
40000,966,41.40372670807454,-225.7,-236.2,18.871549606323242
50000,1196,41.78846153846154,-227.4,-225.7,18.79025626182556
60000,1426,42.05049088359046,-223.2,-225.7,18.803189277648926
70000,1654,42.31559854897219,-233.8,-223.2,19.487991333007812
80000,1886,42.40562036055143,-224.3,-223.2,19.554476022720337
90000,2115,42.55224586288416,-233.4,-223.2,21.82941961288452
100000,2346,42.62276214833759,-225.2,-223.2,23.435344696044922
110000,2577,42.67986030267753,-234.4,-223.2,22.764202117919922
120000,2811,42.675204553539665,-229.8,-223.2,24.30907368659973
130000,3049,42.63594621187274,-213.3,-223.2,20.877679586410522
140000,3290,42.54620060790273,-220.2,-213.3,27.753456830978394
150000,3527,42.52083924014743,-235.5,-213.3,20.810402870178223
160000,3768,42.457271762208066,-227.5,-213.3,20.126192092895508
