#{"t_start": 1748631461.8455503, "env_id": "Maze-v0"}
r,l,t
-28.0,23,2.327199
-22.0,20,2.366444
-22.0,17,2.401881
-4.0,12,2.429745
-24.0,21,2.466019
-20.0,18,2.498036
-21.0,15,2.526644
-24.0,20,2.564864
-30.0,25,2.608501
-20.0,20,2.644163
-9.0,15,2.677059
-18.0,19,2.709779
-26.0,22,2.752369
-36.0,26,2.805036
-22.0,19,2.843079
-34.0,25,2.888211
-26.0,20,2.930352
-24.0,25,2.978243
-20.0,18,3.011407
-32.0,23,3.054295
-16.0,18,3.090051
-60.0,38,3.158144
-7.0,14,3.187081
-32.0,26,3.24437
-8.0,13,3.272058
-16.0,17,3.303876
-28.0,23,3.34768
-10.0,14,3.376034
-34.0,26,3.419081
-10.0,14,3.446651
-12.0,16,3.48209
-26.0,20,3.520972
-22.0,21,3.586896
-18.0,18,3.623877
-22.0,19,3.660816
-28.0,24,3.703022
-48.0,32,3.758382
-26.0,21,3.793802
-22.0,20,3.839845
-16.0,18,3.874118
-20.0,19,3.908439
-14.0,15,3.94111
-27.0,24,3.998059
-42.0,31,4.058774
-10.0,15,4.094889
-40.0,30,4.145086
-13.0,17,4.181598
-23.0,23,4.228723
-16.0,17,4.675291
-21.0,23,4.71914
-28.0,24,4.760777
-30.0,23,4.809399
-50.0,31,4.868705
-28.0,24,4.915404
-17.0,20,4.957844
-18.0,18,4.992105
-10.0,14,5.024356
-22.0,19,5.064979
-32.0,25,5.11247
-10.0,13,5.140321
-24.0,21,5.176804
-30.0,23,5.220777
-34.0,26,5.263078
-16.0,17,5.29467
-22.0,20,5.329581
-11.0,16,5.363002
-6.0,9,5.383212
-18.0,16,5.416903
-20.0,19,5.458805
-22.0,20,5.495364
-14.0,16,5.526497
-12.0,14,5.556975
-14.0,13,5.582664
-10.0,12,5.614933
-4.0,12,5.650548
-24.0,24,5.700588
-12.0,16,5.734026
-30.0,24,5.779693
-44.0,31,5.834414
-26.0,22,5.875796
-24.0,21,5.916754
-16.0,16,5.94974
-18.0,18,5.986913
-17.0,20,6.027021
-28.0,22,6.069786
-14.0,16,6.104727
-20.0,19,6.137886
-14.0,16,6.172228
-22.0,20,6.207299
-16.0,17,6.24258
-14.0,15,6.26881
-22.0,21,6.311248
-24.0,22,6.354858
-14.0,15,6.383314
-18.0,18,6.417841
-24.0,21,6.457379
-43.0,30,6.508531
-24.0,20,6.544682
-26.0,21,6.584334
-10.0,15,6.614915
-16.0,16,6.658804
-20.0,18,6.695835
-31.0,25,8.069659
-14.0,17,8.1002
-20.0,18,8.136906
-6.0,11,8.160543
-16.0,16,8.190773
-18.0,17,8.220688
-21.0,16,8.255246
-16.0,17,8.287969
-17.0,19,8.322323
-14.0,16,8.351027
-8.0,14,8.380554
-24.0,18,8.418854
-14.0,17,8.460378
-14.0,17,8.495801
-28.0,24,8.534918
-20.0,19,8.570206
-20.0,19,8.610577
-13.0,14,8.639101
-14.0,16,8.67249
-20.0,19,8.708175
-20.0,22,8.751968
-6.0,11,8.778019
-16.0,16,8.808473
-26.0,22,8.850211
-26.0,19,8.887678
-6.0,12,8.910372
-28.0,23,8.955223
-20.0,20,8.997084
-30.0,24,9.042569
-20.0,18,9.079679
-5.0,11,9.104228
-19.0,16,9.134383
-12.0,15,9.163249
-21.0,17,9.200881
-18.0,20,9.240892
-6.0,12,9.265637
-8.0,13,9.293811
-26.0,23,9.336606
-11.0,16,9.369235
-14.0,15,9.397339
-13.0,18,9.433239
-20.0,20,9.471306
-21.0,16,9.506165
-6.0,13,9.530507
-16.0,17,9.56166
-18.0,18,9.5996
-8.0,13,9.629334
-10.0,14,9.658035
-19.0,19,9.70168
-26.0,22,9.741175
-26.0,22,9.797122
-34.0,26,9.845466
-21.0,23,9.899334
-8.0,13,9.926878
-8.0,17,9.965701
-18.0,19,10.026468
-16.0,17,10.062638
-8.0,14,10.094698
-15.0,19,10.137262
-16.0,17,10.17649
-20.0,19,10.215368
-6.0,12,10.246263
-18.0,17,10.284206
-14.0,17,10.314806
-14.0,16,10.351072
-15.0,18,10.39086
-16.0,18,10.428706
-38.0,28,10.47846
-20.0,17,10.507845
-32.0,26,10.554357
-24.0,20,10.625604
-24.0,21,10.670127
-17.0,20,10.7097
-15.0,18,10.745804
-25.0,23,10.789546
-16.0,18,10.824638
-25.0,21,10.861984
-12.0,15,10.889253
-18.0,18,10.922293
-18.0,17,10.957773
-8.0,14,10.986487
-22.0,20,11.021842
-13.0,15,11.050204
-11.0,16,11.081395
-22.0,18,11.120853
-18.0,18,11.155294
-3.0,15,11.188256
-12.0,15,11.219878
-22.0,21,11.258576
-16.0,18,11.291754
-10.0,14,11.321969
-14.0,16,11.351647
-27.0,25,11.397423
-14.0,16,11.430432
-12.0,16,11.465716
-16.0,18,11.502642
-14.0,17,11.537085
-8.0,14,11.568361
-10.0,14,11.59773
-7.0,15,11.62819
-11.0,8,11.645356
-20.0,20,11.681347
-12.0,14,11.710622
-12.0,16,11.7433
-14.0,16,11.776545
-28.0,23,11.823641
-7.0,18,11.868061
-24.0,23,11.91874
-12.0,15,11.953651
-16.0,17,11.991457
-10.0,14,12.024545
-6.0,17,12.060026
-14.0,17,12.110339
-18.0,18,12.149372
-6.0,13,12.173492
-10.0,13,12.2001
-17.0,19,12.242224
