timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,48,20.604166666666668,-23.166666666666668,-inf,4.245127201080322
2000,100,19.94,-21.95,-23.166666666666668,2.3671786785125732
3000,157,19.063694267515924,-18.41,-21.95,3.350270986557007
4000,214,18.66355140186916,-16.46,-18.41,2.084775686264038
5000,278,17.946043165467625,-13.47,-16.46,3.395061731338501
6000,344,17.412790697674417,-11.94,-13.47,2.065809726715088
7000,415,16.843373493975903,-9.41,-11.94,3.463690757751465
8000,489,16.349693251533743,-7.47,-9.41,2.141171932220459
9000,565,15.920353982300885,-7.32,-7.47,3.447993755340576
10000,639,15.63849765258216,-7.51,-7.32,2.1359522342681885
11000,720,15.259722222222223,-5.75,-7.32,3.4730265140533447
12000,802,14.955112219451372,-5.15,-5.75,2.1980838775634766
13000,881,14.751418842224744,-5.55,-5.15,3.471174716949463
14000,964,14.517634854771785,-4.54,-5.15,2.2071850299835205
15000,1047,14.318051575931232,-4.14,-4.54,3.464702606201172
16000,1131,14.143236074270558,-4.19,-4.14,2.2479138374328613
17000,1216,13.977796052631579,-3.67,-4.14,3.5712976455688477
18000,1300,13.84,-3.88,-3.67,2.2598371505737305
19000,1384,13.726156069364162,-4.15,-3.67,3.506091356277466
20000,1467,13.628493524199046,-4.01,-3.67,2.219017744064331
21000,1551,13.536428110896196,-4.0,-3.67,3.539641857147217
22000,1633,13.471524800979791,-4.95,-3.67,2.2043440341949463
23000,1717,13.38905066977286,-4.08,-3.67,3.561121702194214
24000,1802,13.31354051054384,-3.54,-3.67,2.2248640060424805
25000,1885,13.258885941644563,-4.17,-3.54,3.471461296081543
26000,1969,13.199593702386998,-3.98,-3.54,2.1871769428253174
27000,2054,13.14508276533593,-3.53,-3.54,3.427018404006958
28000,2138,13.091674462114126,-3.47,-3.53,2.211089849472046
29000,2223,13.043634727845253,-3.65,-3.47,3.5045840740203857
30000,2308,12.996533795493933,-3.59,-3.47,2.2227630615234375
31000,2392,12.959030100334449,-3.7,-3.47,3.4789445400238037
32000,2479,12.90843081887858,-2.93,-3.47,2.264907121658325
