timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,16,59.8125,-65.0,-inf,4.173832893371582
2000,32,61.78125,-67.46875,-65.0,3.205672025680542
3000,47,63.212765957446805,-67.93617021276596,-65.0,4.083164691925049
4000,62,64.35483870967742,-69.04838709677419,-65.0,2.8399770259857178
5000,73,67.57534246575342,-72.10958904109589,-65.0,3.976846933364868
6000,86,69.12790697674419,-73.55813953488372,-65.0,2.8784403800964355
7000,99,70.06060606060606,-73.92929292929293,-65.0,4.270111083984375
8000,112,71.0625,-75.4,-65.0,2.872231960296631
9000,124,72.0241935483871,-78.19,-65.0,3.9578726291656494
10000,137,72.62773722627738,-79.48,-65.0,2.8283908367156982
11000,148,74.08783783783784,-83.07,-65.0,4.37658429145813
12000,160,74.88125,-84.93,-65.0,2.970839738845825
13000,171,75.91228070175438,-85.77,-65.0,4.13850998878479
14000,183,76.08196721311475,-85.79,-65.0,2.774075508117676
15000,195,76.6923076923077,-86.17,-65.0,4.114405155181885
16000,206,77.39320388349515,-88.27,-65.0,2.7659506797790527
17000,218,77.75688073394495,-88.16,-65.0,4.445618391036987
18000,230,78.16521739130435,-88.69,-65.0,3.0578360557556152
19000,242,78.44628099173553,-88.5,-65.0,4.089858531951904
20000,254,78.71259842519684,-87.25,-65.0,2.8566555976867676
21000,264,79.31818181818181,-87.49,-65.0,4.178897142410278
22000,275,79.9309090909091,-88.55,-65.0,2.759406566619873
23000,285,80.66666666666667,-90.47,-65.0,3.9166388511657715
24000,295,81.12203389830509,-91.4,-65.0,2.7356863021850586
25000,306,81.68300653594771,-92.4,-65.0,4.1246702671051025
26000,315,82.33015873015873,-94.11,-65.0,2.6710565090179443
27000,328,82.23170731707317,-93.02,-65.0,4.328110933303833
28000,337,82.92878338278932,-95.51,-65.0,3.1621830463409424
