#{"t_start": 1748637379.4252467, "env_id": "Maze-v0"}
r,l,t
0.0,1,1.921275
-18.0,10,1.936136
-19.0,10,1.948335
-18.0,10,1.960309
-18.0,10,1.971944
-18.0,10,1.987365
-16.0,10,1.999403
-19.0,10,2.011139
-18.0,10,2.022394
-18.0,10,2.033619
-19.0,10,2.043969
0.0,1,2.045779
-18.0,10,2.055563
0.0,1,2.057045
-19.0,10,2.066606
-18.0,10,2.076229
0.0,1,2.077898
-19.0,10,2.087521
0.0,1,2.088945
-19.0,10,2.098444
-18.0,10,2.108137
-17.0,10,2.118176
-19.0,10,2.128003
-19.0,10,2.138012
-17.0,10,2.148435
-18.0,10,2.159899
-19.0,10,2.172757
-19.0,10,2.186357
-19.0,10,2.199637
0.0,1,2.201494
-17.0,10,2.214405
-18.0,10,2.228553
-19.0,10,2.243748
-18.0,10,2.254143
-19.0,10,2.265231
-16.0,10,2.275469
-18.0,10,2.285281
-19.0,10,2.296319
-18.0,10,2.306179
-18.0,10,2.316152
-19.0,10,2.325991
-19.0,10,2.335769
-17.0,10,2.345732
-19.0,10,2.355908
-19.0,10,2.365854
-18.0,10,2.375784
-19.0,10,2.385584
-19.0,10,2.395416
-19.0,10,2.405538
-19.0,10,2.415381
0.0,1,2.416812
0.0,1,2.418105
-19.0,10,2.428137
-18.0,10,2.438352
-16.0,10,2.448927
-19.0,10,2.459136
-17.0,10,2.47121
-19.0,10,2.4915
-16.0,10,2.510128
-10.0,10,2.528149
-18.0,10,2.543565
-15.0,10,2.554213
-17.0,10,2.565183
-19.0,10,2.574905
0.0,1,2.5763
-18.0,10,2.586277
-18.0,10,2.596177
-16.0,10,2.606337
-19.0,10,2.616864
-19.0,10,2.626487
-18.0,10,2.636365
-19.0,10,2.645988
-19.0,10,2.655581
0.0,1,2.656971
-19.0,10,2.666606
-18.0,10,2.676176
-19.0,10,2.685877
-19.0,10,2.695746
-18.0,10,2.705341
-18.0,10,2.71499
-19.0,10,2.724749
-18.0,10,2.744701
-17.0,10,2.758536
-19.0,10,2.768343
-18.0,10,2.778505
-15.0,10,2.78828
-18.0,10,2.798007
-19.0,10,2.807831
-19.0,10,2.817543
-19.0,10,2.827419
-19.0,10,2.838086
-19.0,10,2.848013
-19.0,10,2.857798
-19.0,10,2.867581
-19.0,10,2.877027
-19.0,10,2.886562
-19.0,10,2.89602
0.0,1,2.897541
0.0,1,2.898643
-16.0,10,2.908011
-18.0,10,2.917835
-19.0,10,2.927303
-17.0,10,2.938374
-17.0,10,2.948565
-18.0,10,2.958061
-19.0,10,2.968314
-19.0,10,2.979433
-19.0,10,2.992165
-19.0,10,3.002128
-17.0,10,3.011836
-19.0,10,3.636672
-18.0,10,3.647632
-18.0,10,3.657652
-19.0,10,3.667593
-19.0,10,3.677436
-19.0,10,3.687629
-18.0,10,3.7026
-17.0,10,3.716289
-17.0,10,3.731035
-18.0,10,3.745455
-17.0,10,3.758367
-18.0,10,3.76841
-19.0,10,3.778167
-16.0,10,3.788383
-19.0,10,3.798502
0.0,1,3.800189
-19.0,10,3.809819
-19.0,10,3.819861
-18.0,10,3.829767
-17.0,10,3.839773
-17.0,10,3.850064
-19.0,10,3.85976
-17.0,10,3.869459
-18.0,10,3.879836
-18.0,10,3.889427
-18.0,10,3.899217
-19.0,10,3.90903
-17.0,10,3.918598
-18.0,10,3.928201
-19.0,10,3.937698
-19.0,10,3.947382
-18.0,10,3.957611
-19.0,10,3.967782
-19.0,10,3.978859
-18.0,10,3.990083
-18.0,10,4.000746
-19.0,10,4.011404
-17.0,10,4.021205
-18.0,10,4.030965
-19.0,10,4.042212
-19.0,10,4.051936
-18.0,10,4.061448
-18.0,10,4.071917
-18.0,10,4.083235
-19.0,10,4.093364
-19.0,10,4.103477
-17.0,10,4.113459
-19.0,10,4.123471
-19.0,10,4.133543
0.0,1,4.134866
-19.0,10,4.144219
-18.0,10,4.154799
-19.0,10,4.164552
-16.0,10,4.174035
-19.0,10,4.183856
-19.0,10,4.193848
-18.0,10,4.203391
-18.0,10,4.213957
-17.0,10,4.224732
-19.0,10,4.236589
-19.0,10,4.24824
-17.0,10,4.258372
-18.0,10,4.26859
-16.0,10,4.278652
-19.0,10,4.288175
-14.0,10,4.297799
-19.0,10,4.307369
-18.0,10,4.316956
-19.0,10,4.327344
-18.0,10,4.337008
-17.0,10,4.346774
-13.0,10,4.356425
-19.0,10,4.365903
-18.0,10,4.375581
-18.0,10,4.385179
-16.0,10,4.394711
-19.0,10,4.404904
-18.0,10,4.414491
-15.0,10,4.424643
0.0,1,4.425999
-14.0,10,4.435731
-19.0,10,4.445374
-19.0,10,4.4551
-19.0,10,4.465185
-19.0,10,4.474874
-18.0,10,4.488884
-18.0,10,4.501663
-15.0,10,4.514508
-17.0,10,4.525291
0.0,1,4.526668
-19.0,10,4.535888
-19.0,10,4.545765
-19.0,10,4.555185
-18.0,10,4.564806
-18.0,10,4.574286
-19.0,10,4.583926
-16.0,10,4.593694
-19.0,10,4.603281
-17.0,10,4.613089
-19.0,10,4.622629
-19.0,10,4.632504
-16.0,10,4.643091
0.0,1,4.64463
-19.0,10,4.655514
-18.0,10,4.665639
-19.0,10,4.690922
-19.0,10,4.701855
-14.0,10,4.711832
-17.0,10,4.72231
-18.0,10,4.736636
-19.0,10,6.029384
-15.0,10,6.0393
-19.0,10,6.0488
-19.0,10,6.058343
-19.0,10,6.0679
-18.0,10,6.077332
-15.0,10,6.08691
-19.0,10,6.096426
-19.0,10,6.106418
-19.0,10,6.118689
-17.0,10,6.128564
-19.0,10,6.138258
0.0,1,6.139604
-19.0,10,6.149317
-19.0,10,6.158897
-19.0,10,6.169021
-19.0,10,6.178866
0.0,1,6.180285
-17.0,10,6.189597
-19.0,10,6.199107
-17.0,10,6.208702
-19.0,10,6.21865
-18.0,10,6.22935
-19.0,10,6.242597
-15.0,10,6.252463
-19.0,10,6.262243
-18.0,10,6.271785
-19.0,10,6.281573
0.0,1,6.282973
-18.0,10,6.29246
-18.0,10,6.302183
-14.0,10,6.312445
-19.0,10,6.322186
-19.0,10,6.331732
-19.0,10,6.341321
-17.0,10,6.350823
-18.0,10,6.360651
-19.0,10,6.370445
-18.0,10,6.379998
-19.0,10,6.389453
-19.0,10,6.399411
-19.0,10,6.408895
-14.0,10,6.418632
-19.0,10,6.428139
-19.0,10,6.437761
-18.0,10,6.448201
-19.0,10,6.45781
-18.0,10,6.467303
-19.0,10,6.477081
0.0,1,6.478501
-19.0,10,6.492126
-19.0,10,6.502196
-19.0,10,6.511846
-19.0,10,6.521474
-18.0,10,6.531009
-18.0,10,6.540546
-19.0,10,6.551495
-18.0,10,6.561168
-19.0,10,6.571017
-17.0,10,6.580871
-17.0,10,6.590567
-19.0,10,6.600116
-18.0,10,6.611077
-18.0,10,6.622719
-16.0,10,6.632482
-19.0,10,6.642025
-15.0,10,6.652286
-19.0,10,6.662085
-19.0,10,6.671783
-19.0,10,6.681443
-18.0,10,6.691728
-16.0,10,6.701893
-18.0,10,6.711771
-19.0,10,6.721396
-19.0,10,6.730856
-18.0,10,6.743953
-19.0,10,6.753837
-18.0,10,6.763527
-19.0,10,6.773137
-17.0,10,6.782833
0.0,1,6.784275
-19.0,10,6.793709
-18.0,10,6.803376
-19.0,10,6.813786
-19.0,10,6.823925
-17.0,10,6.833614
-19.0,10,6.843272
-16.0,10,6.853088
-18.0,10,6.86368
-19.0,10,6.873868
-17.0,10,6.883751
0.0,1,6.885109
-18.0,10,6.894562
-18.0,10,6.904084
-19.0,10,6.913597
-19.0,10,6.923144
-18.0,10,6.932787
-16.0,10,6.942555
-17.0,10,6.952742
-17.0,10,6.962564
-15.0,10,6.979878
-19.0,10,6.993775
-19.0,10,7.0042
-19.0,10,7.013824
-17.0,10,7.023713
-19.0,10,7.033368
-19.0,10,7.043157
-18.0,10,7.053136
-18.0,10,7.063019
-16.0,10,7.073131
-19.0,10,7.083245
-16.0,10,7.09304
-18.0,10,7.102778
-17.0,10,7.112895
-17.0,10,7.12325
-18.0,10,7.132857
-19.0,10,7.142605
-18.0,10,7.157052
-19.0,10,7.166832
-16.0,10,7.176608
-18.0,10,7.186763
-17.0,10,7.196522
-16.0,10,7.206514
-17.0,10,7.216439
0.0,1,7.218539
-19.0,10,7.227768
-19.0,10,7.240149
-17.0,10,7.251198
-19.0,10,7.261828
-19.0,10,7.271873
-19.0,10,7.281652
-18.0,10,7.291557
-18.0,10,7.301243
0.0,1,7.302919
-19.0,10,7.312723
-19.0,10,7.322298
-19.0,10,7.332045
-17.0,10,7.34156
-17.0,10,7.351208
-15.0,10,7.361071
-17.0,10,7.37111
-19.0,10,7.380773
-17.0,10,7.390316
-19.0,10,7.400463
-16.0,10,7.410312
-15.0,10,7.420163
