timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,110,9.018181818181818,-16.16,-inf,3.018899917602539
2000,215,9.288372093023256,-17.06,-16.16,1.6350796222686768
3000,320,9.353125,-17.03,-16.16,2.2873787879943848
4000,425,9.407058823529411,-17.08,-16.16,1.0312304496765137
5000,532,9.390977443609023,-16.58,-16.16,2.2922074794769287
6000,635,9.44724409448819,-17.29,-16.16,1.0100421905517578
7000,738,9.475609756097562,-17.31,-16.16,2.2888827323913574
8000,842,9.497624703087887,-16.96,-16.16,1.045586347579956
9000,949,9.478398314014752,-16.33,-16.16,2.5554418563842773
10000,1056,9.463068181818182,-16.33,-16.16,1.143437147140503
11000,1160,9.480172413793104,-17.54,-16.16,2.516355037689209
12000,1263,9.501187648456057,-17.44,-16.16,1.0523631572723389
13000,1367,9.506217995610827,-15.78,-16.16,2.31056809425354
14000,1476,9.481707317073171,-15.49,-15.78,1.1803395748138428
15000,1581,9.481973434535105,-16.07,-15.49,2.464576244354248
16000,1688,9.477488151658768,-15.63,-15.49,1.1657052040100098
17000,1792,9.482700892857142,-15.19,-15.49,2.60848331451416
18000,1898,9.48314014752371,-15.24,-15.19,1.1189675331115723
19000,2001,9.49175412293853,-15.24,-15.19,2.6934163570404053
20000,2111,9.47134059687352,-13.32,-15.19,1.1537554264068604
21000,2218,9.464382326420198,-13.4,-13.32,2.5494422912597656
22000,2326,9.458297506448838,-13.17,-13.32,1.1225433349609375
23000,2426,9.480626545754328,-14.54,-13.17,2.4729113578796387
24000,2533,9.474141334386104,-13.88,-13.17,1.1488871574401855
25000,2634,9.490888382687928,-14.9,-13.17,2.4200780391693115
26000,2741,9.484494709959868,-13.21,-13.17,1.0532984733581543
27000,2849,9.475605475605475,-13.03,-13.17,2.7171378135681152
28000,2953,9.478835082966475,-14.09,-13.03,1.3537929058074951
29000,3057,9.484789008832188,-13.68,-13.03,2.5786097049713135
30000,3162,9.487666034155598,-13.59,-13.03,1.1623516082763672
31000,3268,9.48500611995104,-12.65,-13.03,2.6350584030151367
32000,3371,9.490062296054584,-12.84,-12.65,1.2287266254425049
33000,3479,9.485196895659673,-13.22,-12.65,2.768648386001587
34000,3582,9.489949748743719,-13.52,-12.65,1.1322135925292969
35000,3686,9.494574064026045,-13.27,-12.65,2.6483700275421143
36000,3789,9.501187648456057,-12.91,-12.65,1.1015241146087646
37000,3894,9.500770416024654,-13.37,-12.65,2.7002172470092773
38000,4001,9.496125968507872,-12.32,-12.65,1.3231637477874756
39000,4107,9.493791088385683,-13.72,-12.32,2.7524616718292236
