#{"t_start": 1748467024.7885597, "env_id": "Maze-v0"}
r,l,t
-114.0,26,1.341597
-162.0,26,1.373265
-144.0,26,1.407594
-135.0,24,1.435552
-88.0,19,1.456024
-153.0,24,1.483971
-177.0,30,1.515225
-137.0,23,1.539051
-153.0,27,1.566492
-115.0,21,1.589124
-154.0,25,1.613542
-135.0,23,1.639011
-167.0,29,1.669214
-159.0,26,1.696214
-139.0,27,1.725008
-133.0,22,1.750329
-145.0,24,1.777275
-144.0,27,1.812166
-123.0,24,1.838647
-140.0,23,1.863275
-113.0,22,1.892585
-109.0,19,1.914695
-160.0,27,1.946556
-97.0,22,1.96917
-170.0,26,1.998289
-125.0,22,2.022736
-182.0,29,2.053711
-176.0,29,2.085207
-135.0,24,2.113493
-143.0,25,2.141495
-120.0,23,2.168705
-147.0,28,2.199883
-95.0,26,2.24101
-154.0,27,2.278979
-140.0,23,2.308094
-138.0,21,2.330455
-110.0,23,2.356187
-160.0,25,2.385354
-177.0,27,2.415783
-108.0,20,2.438833
-126.0,23,2.46681
-137.0,25,2.503193
-123.0,28,2.540274
-170.0,26,2.56612
-133.0,24,2.593133
-153.0,26,2.621561
-135.0,24,2.646393
-148.0,22,2.671223
-127.0,22,2.697842
-158.0,28,2.732847
-96.0,20,2.75527
-126.0,21,2.778432
-169.0,28,2.806819
-132.0,21,2.828043
-109.0,21,2.853409
-131.0,22,2.876859
-159.0,24,2.903424
-128.0,22,2.927119
-201.0,30,2.960115
-142.0,24,2.988573
-118.0,21,3.012889
-129.0,23,3.040451
-102.0,20,3.065658
-105.0,20,3.089006
-177.0,30,3.119925
-119.0,23,3.143321
-120.0,23,3.169905
-160.0,30,3.202502
-132.0,28,3.236093
-145.0,24,3.265628
-129.0,24,3.297805
-154.0,27,3.33402
-131.0,20,3.358489
-122.0,23,3.384282
-112.0,28,3.423736
-163.0,27,3.454867
-159.0,24,3.484788
-114.0,22,3.51462
-118.0,21,3.53783
-111.0,18,3.556261
-122.0,25,3.587684
-170.0,28,3.618007
-110.0,22,3.644361
-103.0,21,3.670354
-197.0,32,5.361464
-140.0,23,5.387505
-87.0,20,5.417765
-148.0,25,5.444578
-121.0,21,5.472796
-117.0,23,5.502493
-118.0,22,5.526133
-148.0,25,5.556026
-181.0,28,5.584017
-103.0,23,5.621
-179.0,31,5.660869
-129.0,29,5.697142
-145.0,24,5.723066
-124.0,24,5.755661
-174.0,27,5.782423
-157.0,25,5.809945
-115.0,21,5.837013
-135.0,26,5.868224
-121.0,21,5.892169
-123.0,18,5.913925
-120.0,21,5.934741
-123.0,23,5.961256
-170.0,26,5.988969
-130.0,22,6.017458
-135.0,23,6.044562
