timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
10000,238,41.91596638655462,-1804.33,-inf,17.669559717178345
20000,472,42.29025423728814,-1462.48,-1804.33,16.463586807250977
30000,705,42.50780141843972,-1456.62,-1462.48,16.36313509941101
40000,938,42.624733475479744,-1441.04,-1456.62,16.43625569343567
50000,1169,42.74080410607357,-1354.57,-1441.04,17.016605854034424
60000,1402,42.787446504992865,-1397.54,-1354.57,17.353219509124756
70000,1634,42.826805385556916,-1391.06,-1354.57,16.9355251789093
80000,1873,42.695141484249866,-1383.55,-1354.57,16.338536739349365
90000,2111,42.61676930364756,-1418.05,-1354.57,15.371786832809448
100000,2349,42.56364410387399,-1330.28,-1354.57,16.832569122314453
110000,2585,42.55280464216634,-1324.05,-1330.28,16.66795778274536
120000,2824,42.485481586402265,-1340.97,-1324.05,16.34695291519165
130000,3060,42.472875816993465,-1336.38,-1324.05,16.23964500427246
140000,3297,42.4540491355778,-1370.93,-1324.05,16.13555932044983
150000,3532,42.46460928652321,-1370.74,-1324.05,17.803669929504395
160000,3770,42.43607427055703,-1429.64,-1324.05,17.078922748565674
170000,4007,42.425006239081604,-1314.34,-1324.05,17.762866497039795
180000,4246,42.39189825718323,-1366.1,-1314.34,17.289371252059937
190000,4482,42.38219544846051,-1384.43,-1314.34,17.98941731452942
200000,4722,42.350910631088524,-1293.11,-1314.34,17.29913353919983
210000,4959,42.340592861464,-1393.73,-1293.11,17.771523237228394
220000,5198,42.31877645248172,-1307.97,-1293.11,18.915422201156616
230000,5438,42.28797351967635,-1315.67,-1293.11,17.132285594940186
240000,5677,42.26968469261934,-1321.46,-1293.11,16.189305543899536
250000,5916,42.253042596348884,-1368.27,-1293.11,16.283754587173462
260000,6157,42.223647880461264,-1345.68,-1293.11,15.774340391159058
270000,6394,42.224741945573975,-1358.55,-1293.11,16.898672103881836
280000,6632,42.21833534378769,-1323.39,-1293.11,16.705111265182495
290000,6872,42.19863213038417,-1290.32,-1293.11,18.1130850315094
300000,7110,42.19043600562588,-1313.62,-1290.32,17.052326440811157
310000,7351,42.16705210175486,-1299.89,-1290.32,16.775300979614258
320000,7588,42.170795993674226,-1339.04,-1290.32,16.37144112586975
330000,7824,42.17497443762781,-1335.65,-1290.32,16.039364337921143
340000,8058,42.189749317448495,-1383.96,-1290.32,16.257997035980225
350000,8293,42.20077173519836,-1357.9,-1290.32,17.126816034317017
360000,8525,42.22392961876833,-1358.19,-1290.32,19.274176597595215
370000,8762,42.225519287833826,-1347.85,-1290.32,16.903643131256104
380000,8996,42.23988439306358,-1344.37,-1290.32,16.723205089569092
390000,9230,42.252112676056335,-1382.18,-1290.32,16.38736367225647
400000,9462,42.2715070809554,-1392.07,-1290.32,15.817852020263672
410000,9696,42.28207508250825,-1353.37,-1290.32,15.571203231811523
420000,9929,42.30013092960016,-1350.33,-1290.32,15.5092933177948
430000,10162,42.312832119661486,-1321.47,-1290.32,14.346116781234741
440000,10394,42.32865114489128,-1340.57,-1290.32,15.63535737991333
450000,10624,42.35504518072289,-1402.92,-1290.32,15.598537921905518
460000,10856,42.372697126013264,-1392.59,-1290.32,15.552472591400146
470000,11088,42.38780663780664,-1379.15,-1290.32,15.688327074050903
480000,11320,42.39955830388693,-1372.76,-1290.32,16.552868366241455
490000,11554,42.40903583174658,-1378.2,-1290.32,15.87345004081726
500000,11786,42.419735279144746,-1313.71,-1290.32,16.074466943740845
510000,12020,42.42695507487521,-1368.72,-1290.32,16.22576093673706
520000,12251,42.44486164394743,-1347.8,-1290.32,15.508042573928833
530000,12486,42.44585936248598,-1327.25,-1290.32,16.782204627990723
540000,12719,42.45349477160154,-1356.34,-1290.32,16.089787483215332
550000,12948,42.47528575841829,-1358.5,-1290.32,15.6818106174469
560000,13179,42.490856665907884,-1438.2,-1290.32,15.59009075164795
570000,13408,42.51096360381862,-1351.17,-1290.32,16.4139187335968
580000,13635,42.53590025669234,-1371.89,-1290.32,16.819139003753662
590000,13863,42.55680588617182,-1389.2,-1290.32,17.16701889038086
600000,14088,42.58730834752981,-1414.64,-1290.32,15.497346639633179
