#{"t_start": 1748639345.9799001, "env_id": "Maze-v0"}
r,l,t
-50.0,12,1.810843
-33.0,11,1.827897
-62.0,13,1.843712
-80.0,17,1.861082
-85.0,17,1.883191
-41.0,11,1.903651
-36.0,11,1.919984
-56.0,15,1.941137
-62.0,12,1.957751
-72.0,18,1.982852
-63.0,13,2.000167
-72.0,15,2.020143
-46.0,11,2.035264
-74.0,17,2.062384
-76.0,17,2.084296
-37.0,11,2.097023
-64.0,12,2.111549
-58.0,13,2.125116
-67.0,15,2.140527
-68.0,16,2.158695
-48.0,11,2.173257
-33.0,17,2.202866
-57.0,12,2.217041
-62.0,13,2.23249
-48.0,12,2.250945
-82.0,14,2.267053
-44.0,11,2.278932
-65.0,15,2.294549
-83.0,16,2.313965
-64.0,13,2.32778
-53.0,14,2.343441
-59.0,13,2.356777
-58.0,14,2.371119
-42.0,10,2.383173
-60.0,16,2.415752
-44.0,12,2.430131
-50.0,13,2.445631
-92.0,16,2.470105
-68.0,13,2.484093
-62.0,15,2.499301
-67.0,13,2.514531
-73.0,15,2.529678
-75.0,14,2.544495
-70.0,12,2.55684
-58.0,13,2.572198
-78.0,17,2.59471
-48.0,11,2.606248
-54.0,12,2.618667
-46.0,11,2.630476
-104.0,18,2.650585
-62.0,13,2.663844
-68.0,13,2.677231
-78.0,17,2.696467
-74.0,14,2.713223
-58.0,12,2.725764
-97.0,20,2.746516
-56.0,13,2.760024
-54.0,12,2.772427
-64.0,15,2.787823
-66.0,15,2.80324
-74.0,17,2.820142
-53.0,11,2.835296
-73.0,16,2.851957
-62.0,14,2.868709
-46.0,11,2.883109
-74.0,15,2.902008
-33.0,12,2.915717
-39.0,12,2.928516
-86.0,17,2.946187
-60.0,14,2.960497
-44.0,11,2.975768
-47.0,12,2.990827
-38.0,12,3.620789
-80.0,16,3.63927
-50.0,13,3.652584
-43.0,11,3.66401
-59.0,14,3.678285
-57.0,15,3.694063
-34.0,12,3.70881
-84.0,18,3.72722
-40.0,14,3.741429
-82.0,16,3.757757
-62.0,12,3.771705
-46.0,12,3.784367
-70.0,12,3.796767
-62.0,13,3.809909
-76.0,15,3.827435
-75.0,16,3.851057
-58.0,12,3.864707
-64.0,14,3.879472
-68.0,14,3.893467
-60.0,15,3.909578
-55.0,13,3.922779
-33.0,12,3.942319
-26.0,11,3.95452
-59.0,14,3.969502
-53.0,12,3.983987
-58.0,12,3.996204
-82.0,17,4.013455
-60.0,14,4.030037
-76.0,15,4.045448
-61.0,13,4.05952
-96.0,17,4.08061
-36.0,11,4.093066
-63.0,13,4.106785
-43.0,10,4.117769
-64.0,14,4.133144
-52.0,12,4.145728
-54.0,13,4.159163
-72.0,16,4.175332
-38.0,11,4.186745
-60.0,14,4.206019
-60.0,12,4.220353
-46.0,13,4.23434
-58.0,14,4.248928
-57.0,14,4.266524
-66.0,13,4.28139
-49.0,13,4.304275
-44.0,11,4.321392
-44.0,12,4.342627
-78.0,16,4.359178
-62.0,13,4.372364
-55.0,12,4.385193
-72.0,17,4.402234
-47.0,12,4.416874
-62.0,14,4.433816
-70.0,15,4.448805
-50.0,12,4.461105
-58.0,12,4.473613
-60.0,16,4.490813
-73.0,17,4.508561
-77.0,15,4.523706
-30.0,10,4.534919
-57.0,13,4.548192
-61.0,11,4.559892
-44.0,12,4.572492
-61.0,14,4.590969
-84.0,17,4.608037
-34.0,10,4.619007
-49.0,13,4.632942
-32.0,12,4.645729
-60.0,14,4.659891
-47.0,10,4.670133
-52.0,13,4.6837
-57.0,11,4.695542
-60.0,11,4.709914
-57.0,11,4.722159
-62.0,14,4.738916
-76.0,18,4.769947
-69.0,14,4.784904
-45.0,13,4.798326
-58.0,13,6.141894
-64.0,13,6.163863
-50.0,13,6.180945
-38.0,12,6.206053
-65.0,16,6.229254
-41.0,12,6.245176
-58.0,14,6.264972
-37.0,11,6.291278
-60.0,14,6.323305
-76.0,16,6.357606
-55.0,14,6.38735
-46.0,10,6.407498
-59.0,12,6.426178
