#{"t_start": 1748602749.592242, "env_id": "Maze-v0"}
r,l,t
-228.0,19,3.05344
-168.0,14,3.211003
-203.0,27,3.423477
-16.0,16,3.539443
-84.0,18,3.693762
-137.0,16,3.855627
-206.0,19,4.059919
-252.0,21,4.249866
-196.0,20,4.444428
-196.0,20,4.65271
-161.0,18,4.791701
-104.0,16,4.9468
-16.0,16,5.086632
-208.0,21,5.251041
-117.0,18,5.399136
-16.0,16,5.541206
-19.0,19,5.692227
-278.0,25,5.908883
-43.0,21,6.10551
-21.0,21,6.297991
-80.0,25,6.553472
-166.0,23,6.75128
-266.0,24,6.987075
-108.0,20,7.190561
-198.0,22,7.413277
-206.0,19,7.564739
-21.0,21,7.736501
-23.0,23,7.952424
-151.0,19,8.138315
-273.0,31,8.420058
-17.0,17,8.579758
-12.0,12,8.675042
-180.0,15,8.78498
-223.0,25,8.980484
-208.0,21,9.159589
-68.0,13,9.253717
-22.0,22,9.446084
-266.0,24,9.659317
-82.0,16,9.823328
-14.0,14,9.973194
-32.0,21,10.153973
-168.0,14,10.29982
-11.0,11,10.406901
-92.0,15,10.523609
-195.0,19,10.719626
-22.0,22,10.931161
-59.0,15,11.069576
-77.0,22,11.268533
-19.0,19,11.435015
-172.0,18,11.603382
-28.0,28,11.909191
-100.0,12,12.057652
-162.0,19,12.185303
-156.0,24,12.40416
-83.0,17,12.564278
-24.0,24,12.746828
-197.0,21,12.949224
-115.0,16,13.08304
-147.0,15,13.197998
-110.0,33,13.484461
-165.0,22,13.673561
-58.0,14,13.787254
-254.0,23,14.003906
-130.0,20,14.180546
-208.0,21,14.358698
-18.0,18,14.508021
-142.0,21,14.711457
-28.0,17,14.879129
-154.0,22,15.074998
-23.0,23,15.287614
-333.0,36,15.60511
-58.0,14,15.736699
-145.0,24,15.963404
-209.0,22,16.118656
-208.0,21,16.301211
-288.0,24,16.546724
-154.0,22,16.815534
-197.0,21,17.048752
-31.0,20,17.296245
-93.0,16,17.485437
-146.0,14,17.617605
-83.0,28,17.828954
-20.0,20,18.006917
-28.0,28,18.253752
-69.0,14,18.409657
-77.0,22,18.584343
-61.0,17,18.72315
-53.0,20,18.884776
-106.0,18,19.047288
-152.0,20,19.22214
-181.0,16,19.339327
-29.0,18,19.504364
-218.0,20,19.692862
-69.0,14,19.797541
-292.0,28,20.032943
-194.0,18,20.20319
-53.0,20,20.428971
-176.0,22,20.622097
-16.0,16,20.773897
-180.0,15,20.903665
-16.0,16,21.069612
-22.0,22,21.262645
-17.0,17,21.415969
-120.0,21,28.22448
-176.0,22,28.434652
-24.0,24,28.644316
-66.0,11,28.744817
-136.0,15,28.86525
-194.0,18,28.989887
