#{"t_start": 1748583638.6622808, "env_id": "Maze-v0"}
r,l,t
-28.0,18,2.776151
-31.0,21,3.011648
-29.0,19,3.193959
-15.0,15,3.345616
-34.0,24,3.56116
-19.0,19,3.744659
-33.0,23,3.937732
-35.0,25,4.172222
-30.0,20,4.340815
-34.0,24,4.556396
-30.0,20,4.745749
-31.0,21,4.906623
-15.0,15,5.073818
-33.0,23,5.27384
-20.0,20,5.450011
-29.0,19,5.601343
-27.0,17,5.739147
-31.0,21,5.9343
-32.0,22,6.149533
-27.0,17,6.296933
-26.0,16,6.437382
-27.0,17,6.599784
-33.0,23,6.840277
-28.0,18,7.027764
-16.0,16,7.195204
-31.0,21,7.416606
-35.0,25,7.680696
-26.0,16,7.809834
-33.0,23,8.022774
-27.0,17,8.177672
-33.0,23,8.381655
-37.0,27,8.607582
-35.0,35,8.907516
-31.0,21,9.08507
-20.0,20,9.2743
-28.0,18,9.428235
-31.0,21,9.629623
-34.0,24,9.833086
-24.0,14,9.969948
-29.0,19,10.1741
-26.0,16,10.32233
-25.0,15,10.454221
-38.0,28,10.698645
-28.0,18,10.873694
-38.0,28,11.141885
-17.0,17,11.309871
-24.0,14,11.415368
-27.0,17,11.567465
-27.0,17,11.737879
-13.0,13,11.839944
-21.0,21,12.060522
-17.0,19,12.237049
-29.0,19,12.379996
-35.0,25,12.561459
-12.0,12,12.654911
-24.0,14,12.792185
-31.0,21,12.971221
-25.0,25,13.177917
-29.0,19,13.356777
-33.0,23,13.572866
-16.0,16,13.702513
-34.0,24,13.905455
-20.0,20,14.082429
-17.0,17,14.249321
-41.0,31,14.55162
-28.0,18,14.709058
-24.0,14,14.852753
-23.0,23,15.056178
-20.0,20,15.252304
-31.0,21,15.441997
-28.0,18,15.614626
-29.0,19,15.792193
-33.0,23,15.995229
-26.0,16,16.144091
-26.0,16,16.305794
-25.0,15,16.449767
-33.0,23,16.636855
-31.0,21,16.800267
-24.0,14,16.935004
-26.0,16,17.071545
-18.0,18,17.25167
-24.0,14,17.375446
-36.0,26,17.575362
-25.0,15,17.734448
-31.0,21,17.910365
-31.0,21,18.080003
-27.0,17,18.213794
-34.0,24,18.416882
-24.0,14,18.523975
-27.0,17,18.656544
-30.0,20,18.833998
-28.0,18,19.018276
-17.0,17,19.181263
-27.0,17,19.341211
-31.0,21,19.525268
-26.0,16,19.680363
-29.0,19,19.825377
-31.0,21,20.016755
-24.0,14,20.109166
-27.0,17,20.22765
-21.0,21,20.405334
-24.0,14,20.501109
-20.0,20,20.691019
-27.0,17,20.83671
-31.0,21,21.007923
-33.0,23,27.53967
-27.0,17,27.680911
-16.0,16,27.830048
-34.0,24,28.019709
-22.0,22,28.201512
-33.0,23,28.417199
-32.0,22,28.615973
-31.0,21,28.781893
-32.0,22,29.004025
-25.0,15,29.135765
-32.0,22,29.308633
-33.0,23,29.497442
-24.0,14,29.629069
-29.0,19,29.808848
-27.0,17,29.972258
-25.0,15,30.136106
-31.0,21,30.338804
-27.0,17,30.533448
-36.0,26,30.837039
-32.0,22,31.093324
-38.0,28,31.384217
-40.0,30,31.608619
-25.0,15,31.73318
-22.0,22,31.919079
-39.0,29,32.172949
-26.0,16,32.329051
-16.0,16,32.476977
-16.0,16,32.637211
-22.0,12,32.735607
-34.0,24,32.915311
-14.0,16,33.072495
-28.0,18,33.23983
-15.0,15,33.422826
-23.0,23,33.627018
-35.0,25,33.800002
-33.0,23,34.069071
-14.0,14,34.249065
-18.0,18,34.466245
-26.0,16,34.674845
-26.0,16,34.868324
-28.0,18,35.118466
-31.0,21,35.384805
-31.0,21,35.627383
-17.0,17,35.823073
-26.0,16,35.93089
-21.0,21,36.100043
-17.0,17,36.240214
-25.0,15,36.350781
-24.0,14,36.479199
-31.0,21,36.67791
-24.0,14,36.789054
-23.0,13,36.900236
-21.0,11,36.986025
-26.0,16,37.146473
-17.0,17,37.329769
-30.0,20,37.46872
-28.0,18,37.597774
-15.0,15,37.750573
-18.0,18,37.884708
-14.0,14,37.990065
-27.0,17,38.148879
-32.0,22,38.350179
-13.0,13,38.457651
-25.0,25,38.661023
-26.0,16,38.819714
-18.0,18,38.975061
-29.0,19,39.133587
-27.0,17,39.292074
-26.0,16,39.423711
-12.0,12,39.526016
-31.0,21,39.692706
-38.0,28,39.895797
-21.0,11,40.01099
-26.0,16,40.171559
-26.0,16,40.292597
-24.0,14,40.420443
-18.0,18,40.603346
-42.0,32,40.888807
-33.0,23,41.091917
-26.0,16,41.224273
-37.0,27,41.490417
-19.0,19,41.650634
-18.0,18,41.825386
-35.0,25,42.08394
-24.0,14,42.242817
-35.0,25,42.457249
-28.0,28,42.733942
-30.0,20,42.895348
-22.0,12,42.998686
-16.0,16,43.153055
-28.0,18,43.306272
-16.0,16,43.447554
-33.0,23,43.626616
-23.0,13,43.75638
-24.0,14,43.860381
-22.0,12,43.983032
-31.0,21,44.160814
-27.0,17,44.304689
-24.0,14,44.424471
-22.0,12,44.534665
-15.0,15,44.655598
-30.0,20,44.858671
-32.0,22,45.100473
-37.0,27,45.330913
-26.0,16,45.484034
-31.0,21,45.66721
-23.0,13,45.790506
-19.0,19,45.936682
-32.0,22,46.111898
-15.0,15,52.304165
-26.0,16,52.442221
