#{"t_start": 1748596506.3922458, "env_id": "Maze-v0"}
r,l,t
-38.0,21,3.412935
-30.0,19,3.645223
-28.0,19,3.857482
-22.0,14,4.009393
-24.0,17,4.32654
-24.0,21,4.54954
-10.0,15,4.735082
-22.0,16,4.92739
-16.0,11,5.103847
-20.0,15,5.326872
-38.0,22,5.559526
-22.0,15,5.754531
-58.0,32,6.121141
-22.0,16,6.306998
-28.0,22,6.552054
-48.0,28,6.902019
-14.0,12,7.021905
-22.0,15,7.173021
-28.0,17,7.345006
-24.0,17,7.618007
-30.0,23,7.802975
-26.0,17,7.980098
-30.0,17,8.133967
-34.0,21,8.377409
-28.0,16,8.498625
-22.0,19,8.651231
-30.0,17,8.841663
-20.0,15,9.000641
-34.0,22,9.248434
-22.0,19,9.426566
-30.0,25,9.740265
-20.0,15,9.892371
-20.0,14,10.094713
-14.0,15,10.2499
-22.0,14,10.40859
-32.0,18,10.603305
-14.0,16,10.759289
-8.0,13,10.93053
-44.0,23,11.103512
-22.0,16,11.273703
-20.0,13,11.390992
-42.0,24,11.666777
-36.0,21,11.895053
-28.0,17,12.076066
-30.0,19,12.289971
-38.0,22,12.499003
-44.0,26,12.755482
-58.0,33,13.032071
-30.0,18,13.188341
-38.0,22,13.485943
-26.0,18,13.631572
-44.0,23,13.81886
-32.0,20,14.006374
-32.0,19,14.273168
-38.0,22,14.458548
-34.0,21,14.656374
-34.0,21,14.863808
-28.0,17,15.015137
-32.0,19,15.273532
-32.0,19,15.460369
-30.0,17,15.604213
-34.0,26,15.901827
-22.0,21,16.155431
-30.0,24,16.380438
-22.0,15,16.508378
-32.0,19,16.675703
-28.0,18,16.885468
-28.0,17,16.993914
-22.0,20,17.190201
-22.0,15,17.341553
-16.0,17,17.521299
-38.0,28,17.824994
-24.0,16,17.94136
-18.0,13,18.096169
-24.0,21,18.340289
-28.0,18,18.58538
-26.0,17,18.716911
-22.0,14,18.828281
-16.0,13,18.991642
-28.0,18,19.284526
-18.0,17,19.514709
-22.0,14,19.64067
-34.0,21,19.836329
-60.0,34,20.22058
-24.0,20,20.407161
-22.0,15,20.593334
-34.0,20,20.893572
-14.0,16,21.100417
-12.0,11,21.18541
-16.0,17,21.376515
-38.0,21,21.560749
-12.0,16,21.77852
-26.0,17,22.001421
-34.0,20,22.238835
-24.0,17,22.501606
-34.0,19,22.65847
-26.0,17,22.853112
-16.0,17,23.050034
-26.0,17,23.226972
-24.0,21,23.478393
-30.0,19,23.65735
-18.0,17,23.826311
-22.0,14,23.98297
-32.0,19,24.205487
-14.0,10,24.278842
-26.0,22,24.467636
-38.0,22,24.690581
-28.0,18,24.911353
-22.0,20,25.145759
-28.0,19,25.306511
-26.0,21,32.027312
-12.0,11,32.138669
-16.0,12,32.255692
-16.0,10,32.389878
-26.0,17,32.559183
-38.0,21,32.830274
-6.0,13,32.949443
-16.0,16,33.133041
-32.0,20,33.323709
-26.0,22,33.570515
-44.0,25,33.809957
-18.0,14,33.987603
-17.0,17,34.146272
-2.0,11,34.256552
-22.0,15,34.428821
-24.0,21,34.614715
-34.0,21,34.797067
-28.0,18,35.046313
-42.0,24,35.302205
-18.0,12,35.434751
-18.0,14,35.566072
-32.0,19,35.738568
-10.0,13,35.916094
-24.0,17,36.12326
-36.0,22,36.31373
-28.0,16,36.539338
-22.0,20,36.777482
-12.0,14,36.977973
-26.0,17,37.231772
-24.0,17,37.426954
-28.0,18,37.61985
-40.0,23,37.834332
-18.0,14,38.010289
-24.0,17,38.264397
-18.0,18,38.441047
-36.0,21,38.719156
-12.0,13,38.912183
-34.0,22,39.104404
-14.0,17,39.365878
-24.0,16,39.607531
-38.0,28,39.92869
-36.0,21,40.162607
-20.0,14,40.354614
-20.0,12,40.46462
-26.0,16,40.631179
-24.0,21,40.920098
-38.0,23,41.260335
-38.0,24,41.476552
-32.0,19,41.692896
-28.0,18,41.92325
-22.0,16,42.111596
-14.0,15,42.379055
-26.0,15,42.530483
-16.0,18,42.728836
-22.0,16,42.953668
-36.0,21,43.30498
-30.0,20,43.550285
-18.0,14,43.719071
-24.0,17,43.922545
-28.0,19,44.124341
-24.0,21,44.412693
-16.0,13,44.55013
-28.0,18,44.734219
-26.0,17,44.894799
-30.0,20,45.120515
-26.0,17,45.305318
-26.0,16,45.441746
-22.0,15,45.609231
-26.0,16,45.765642
-32.0,19,45.946959
-34.0,21,46.158645
-22.0,14,46.410542
-24.0,20,46.63571
-28.0,17,46.838385
-18.0,13,46.976731
-22.0,20,47.246804
-16.0,10,47.432724
-26.0,18,47.578459
-28.0,19,47.814287
-26.0,16,47.992585
-10.0,15,48.150722
-16.0,16,48.323925
-24.0,21,48.612515
-6.0,13,48.741142
-24.0,16,48.916554
-22.0,15,49.064957
-14.0,17,49.261485
-26.0,16,49.409825
-18.0,18,49.628265
-18.0,18,49.782135
-20.0,13,49.901633
-28.0,18,50.081777
-28.0,18,50.294019
-26.0,18,50.538107
-42.0,25,50.81004
-10.0,13,50.979739
-30.0,18,51.186476
-22.0,16,51.359646
-36.0,22,51.568451
-16.0,18,51.86149
-16.0,17,52.055636
-18.0,18,52.292482
-14.0,12,52.472679
-22.0,15,52.670478
-24.0,17,52.910517
-24.0,22,53.123729
-14.0,16,53.305347
-24.0,16,53.507615
-20.0,13,53.704706
-28.0,23,53.987804
-16.0,17,54.204698
-30.0,19,54.424872
-10.0,15,54.648628
-18.0,13,54.800884
-36.0,23,55.147458
-18.0,18,55.325861
-24.0,16,55.489985
-32.0,21,62.254734
-34.0,22,62.504875
-14.0,17,62.670194
-16.0,16,62.822916
-22.0,21,63.047153
-12.0,15,63.225451
-24.0,17,63.424858
-12.0,15,63.627279
-22.0,20,63.863256
-20.0,14,64.017885
-16.0,18,64.322901
-12.0,15,64.566113
-22.0,19,64.788745
-22.0,16,65.002093
-34.0,19,65.218747
-24.0,17,65.456124
-36.0,22,65.721221
-16.0,13,65.908499
-26.0,16,66.087518
-22.0,14,66.242546
-22.0,16,66.478276
-38.0,24,66.727807
-30.0,19,66.934329
-20.0,13,67.092912
-20.0,14,67.263691
-20.0,14,67.431954
