timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,53,18.77358490566038,-28.41509433962264,-inf,14.065498352050781
2000,107,18.598130841121495,-27.66,-28.41509433962264,10.698343276977539
3000,164,18.26829268292683,-24.89,-27.66,18.004290103912354
4000,222,17.98198198198198,-23.89,-24.89,11.735787630081177
5000,282,17.69858156028369,-22.0,-23.89,18.554279565811157
6000,346,17.31791907514451,-20.3,-22.0,10.764953136444092
7000,415,16.840963855421688,-17.96,-20.3,15.240872383117676
8000,481,16.611226611226613,-16.93,-17.96,9.870617151260376
9000,551,16.317604355716878,-16.18,-16.93,16.118585348129272
10000,624,16.022435897435898,-14.58,-16.18,10.805988073348999
11000,696,15.790229885057471,-14.47,-14.58,16.06461262702942
12000,773,15.514877102199224,-12.9,-14.47,10.196561336517334
13000,854,15.218969555035128,-11.83,-12.9,15.878003120422363
14000,933,14.9978563772776,-12.1,-11.83,10.366800546646118
15000,1013,14.801579466929912,-10.61,-11.83,16.482491970062256
16000,1094,14.620658135283364,-9.93,-10.61,10.82042121887207
17000,1177,14.437553101104504,-10.21,-9.93,16.765520334243774
18000,1257,14.311058074781226,-10.39,-9.93,11.082452058792114
19000,1339,14.182225541448842,-10.21,-9.93,16.916276931762695
20000,1425,14.03438596491228,-9.05,-9.93,10.845170497894287
21000,1508,13.91710875331565,-8.73,-9.05,16.508976221084595
22000,1592,13.819095477386934,-8.53,-8.73,10.707709550857544
23000,1675,13.726567164179105,-9.03,-8.53,16.369715213775635
24000,1763,13.6091888825865,-7.56,-8.53,10.876247644424438
25000,1850,13.508108108108107,-7.16,-7.56,16.668436288833618
26000,1937,13.41817243159525,-8.47,-7.16,10.904261350631714
27000,2022,13.347181008902076,-7.83,-7.16,16.574279308319092
28000,2110,13.269194312796209,-7.55,-7.16,10.871110439300537
29000,2198,13.193357597816197,-6.88,-7.16,16.589205741882324
30000,2285,13.12691466083151,-7.22,-6.88,11.506874799728394
31000,2373,13.061525495153814,-7.39,-6.88,16.43125009536743
32000,2460,13.005284552845529,-7.23,-6.88,11.129198789596558
33000,2548,12.949764521193092,-8.42,-6.88,16.617870092391968
34000,2635,12.903225806451612,-7.68,-6.88,10.820122241973877
35000,2723,12.853470437017995,-7.56,-6.88,16.81952166557312
