timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,52,19.076923076923077,-27.115384615384617,-inf,13.665010690689087
2000,102,19.41176470588235,-26.92,-27.115384615384617,10.991675853729248
3000,154,19.428571428571427,-26.16,-26.92,16.51947784423828
4000,208,19.197115384615383,-25.63,-26.16,10.61447286605835
5000,264,18.893939393939394,-24.81,-25.63,16.491761922836304
6000,320,18.715625,-24.91,-24.81,10.67241644859314
7000,381,18.346456692913385,-23.12,-24.81,17.022398233413696
8000,441,18.113378684807255,-22.83,-23.12,10.951690196990967
9000,504,17.851190476190474,-22.24,-22.83,16.399168252944946
10000,566,17.666077738515902,-21.77,-22.24,10.235121726989746
11000,631,17.426307448494452,-21.28,-21.77,16.47875952720642
12000,701,17.108416547788874,-19.91,-21.28,10.549174070358276
13000,769,16.89596879063719,-18.98,-19.91,16.91072654724121
14000,837,16.714456391875746,-19.86,-18.98,10.73314380645752
15000,907,16.5303197353914,-19.45,-18.98,16.499714851379395
16000,977,16.372569089048106,-19.75,-18.98,10.60126543045044
17000,1046,16.247609942638622,-17.51,-18.98,16.640276670455933
18000,1119,16.07774798927614,-17.27,-17.51,10.97451663017273
19000,1194,15.912897822445562,-18.36,-17.27,16.1905198097229
20000,1266,15.790679304897314,-16.96,-17.27,11.063420534133911
21000,1339,15.681105302464525,-16.38,-16.96,17.749565601348877
22000,1413,15.554847841472045,-16.04,-16.38,11.615962266921997
23000,1491,15.421193829644533,-16.0,-16.04,16.053807497024536
24000,1569,15.2880815806246,-16.61,-16.0,11.05556607246399
25000,1643,15.212416311625075,-16.32,-16.0,15.7606041431427
26000,1720,15.115697674418605,-15.96,-16.0,10.67248272895813
27000,1798,15.012235817575084,-16.19,-15.96,16.422061443328857
28000,1873,14.9466097170315,-15.47,-15.96,10.759795427322388
29000,1947,14.893682588597843,-16.12,-15.47,15.817113161087036
30000,2026,14.807502467917079,-15.04,-15.47,10.891309022903442
31000,2102,14.740723120837298,-15.71,-15.04,16.107572078704834
32000,2180,14.677522935779816,-15.72,-15.04,10.971256017684937
33000,2256,14.62322695035461,-14.99,-15.04,16.5100839138031
34000,2334,14.56598114824336,-14.76,-14.99,10.612258911132812
35000,2413,14.504765851636966,-14.42,-14.76,16.680586338043213
36000,2494,14.433841218925421,-13.95,-14.42,10.423591375350952
37000,2572,14.382192846034215,-13.95,-13.95,16.821661949157715
38000,2652,14.328808446455506,-14.32,-13.95,11.822508096694946
39000,2730,14.283150183150184,-14.61,-13.95,19.959829330444336
40000,2808,14.242165242165242,-14.23,-13.95,13.203117609024048
41000,2888,14.193559556786704,-13.91,-13.95,18.89376926422119
42000,2968,14.150943396226415,-14.03,-13.91,13.17722201347351
43000,3046,14.112934996717007,-13.59,-13.91,13.657975196838379
44000,3129,14.06008309364014,-12.88,-13.59,17.405467987060547
45000,3208,14.025872817955113,-13.5,-12.88,11.056125164031982
46000,3287,13.992698509278977,-13.56,-12.88,18.943814516067505
47000,3367,13.956637956637957,-12.76,-12.88,11.081202268600464
48000,3445,13.932365747460087,-12.93,-12.76,17.82683777809143
49000,3525,13.898439716312057,-13.09,-12.76,11.780605792999268
50000,3605,13.869625520110956,-12.94,-12.76,17.503936529159546
51000,3687,13.83102793599132,-12.72,-12.76,11.18603229522705
52000,3769,13.796763067126559,-12.77,-12.72,18.085319995880127
53000,3850,13.762597402597402,-12.6,-12.72,11.783998489379883
54000,3933,13.728451563691838,-12.21,-12.6,17.210877895355225
55000,4015,13.698630136986301,-12.3,-12.21,11.506579399108887
56000,4096,13.67041015625,-12.51,-12.21,17.955687999725342
57000,4175,13.651976047904192,-12.81,-12.21,11.355373859405518
58000,4258,13.620479098168154,-12.38,-12.21,17.351954221725464
59000,4341,13.590877677954389,-12.19,-12.21,10.824770212173462
60000,4424,13.561030741410487,-12.11,-12.19,16.355703830718994
61000,4508,13.529281277728483,-12.05,-12.11,10.6134774684906
62000,4591,13.5044652581137,-12.23,-12.05,16.929887771606445
63000,4674,13.476679503637142,-12.04,-12.05,10.667893648147583
64000,4758,13.450399327448508,-12.04,-12.04,16.808050394058228
65000,4840,13.429752066115702,-12.31,-12.04,10.804386615753174
66000,4922,13.40918325883787,-12.49,-12.04,16.69680619239807
67000,5004,13.388089528377298,-12.21,-12.04,10.768312215805054
68000,5089,13.361564157987816,-11.81,-12.04,17.48644208908081
69000,5174,13.334750676459219,-11.88,-11.81,11.037557125091553
70000,5259,13.310515307092603,-11.94,-11.81,18.122459411621094
71000,5343,13.286168819015534,-12.14,-11.81,11.730141401290894
72000,5428,13.26271186440678,-12.15,-11.81,17.864614725112915
73000,5514,13.239027928908234,-11.68,-11.81,11.06860637664795
74000,5600,13.213928571428571,-11.97,-11.68,17.65958595275879
75000,5685,13.191204925241864,-11.67,-11.68,12.033690452575684
76000,5770,13.16949740034662,-12.12,-11.67,17.12609553337097
77000,5858,13.144417890064869,-11.67,-11.67,11.853167533874512
78000,5943,13.124011442032643,-11.74,-11.67,18.45135807991028
79000,6031,13.09749626927541,-11.42,-11.67,10.519129276275635
80000,6119,13.072560875960125,-11.55,-11.42,18.599262237548828
81000,6207,13.049138069921057,-11.64,-11.42,11.362785577774048
82000,6295,13.025893566322479,-11.42,-11.42,16.857634782791138
83000,6383,13.002819990600031,-11.47,-11.42,11.119450092315674
84000,6472,12.97867737948084,-11.34,-11.42,17.633694648742676
85000,6559,12.959140112822077,-11.79,-11.34,10.930313110351562
86000,6646,12.938760156485104,-11.59,-11.34,11.225305795669556
87000,6735,12.917000742390497,-11.39,-11.34,16.755019664764404
88000,6824,12.895515826494725,-11.37,-11.34,10.60278034210205
89000,6909,12.881169489072224,-11.72,-11.34,16.437037229537964
90000,6994,12.866885902201888,-11.73,-11.34,10.069949865341187
91000,7085,12.84347212420607,-11.43,-11.34,16.356395721435547
92000,7173,12.824759514847344,-11.45,-11.34,10.419999837875366
93000,7262,12.806389424400992,-11.51,-11.34,16.173279523849487
94000,7347,12.792704505240234,-11.64,-11.34,10.438267469406128
95000,7434,12.777912294861448,-11.58,-11.34,16.688897371292114
96000,7524,12.758107389686337,-11.19,-11.34,11.290955066680908
97000,7613,12.740443977407066,-11.26,-11.19,18.57604217529297
98000,7703,12.721666883032585,-11.2,-11.19,10.778693914413452
99000,7790,12.707445442875482,-11.51,-11.19,17.18986201286316
100000,7880,12.689086294416244,-11.35,-11.19,10.641091585159302
