timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
10000,814,12.276412776412776,-150.45,-inf,27.33277153968811
20000,1710,11.690058479532164,-114.24,-150.45,26.474775552749634
30000,2621,11.44257916825639,-113.09,-114.24,27.790831327438354
40000,3547,11.274316323653792,-109.41,-113.09,30.617496728897095
50000,4478,11.165698972755694,-106.28,-109.41,26.136744260787964
60000,5410,11.090203327171904,-94.15,-106.28,26.577940702438354
70000,6347,11.027414526547975,-99.69,-94.15,25.66689682006836
80000,7291,10.971471677410506,-97.57,-94.15,28.360798835754395
90000,8239,10.922199296031073,-94.96,-94.15,23.986323595046997
100000,9189,10.881706388072695,-94.14,-94.15,27.767024755477905
110000,10143,10.844424726412305,-94.75,-94.14,27.708973169326782
120000,11101,10.809566705702188,-99.4,-94.14,27.86223340034485
130000,12063,10.77600928458924,-89.21,-94.14,27.885168075561523
140000,13031,10.74292072749597,-87.58,-89.21,27.63391375541687
150000,14002,10.712541065562062,-84.94,-87.58,26.89146089553833
160000,14970,10.6875083500334,-85.14,-84.94,27.454802989959717
170000,15944,10.66231811339689,-83.93,-84.94,27.26173186302185
180000,16924,10.635665327345782,-80.21,-83.93,25.302472591400146
190000,17903,10.612355471150087,-81.0,-80.21,28.82908344268799
200000,18883,10.591166657840386,-80.66,-80.21,29.09033465385437
210000,19865,10.571255977850491,-79.42,-80.21,27.806101322174072
220000,20845,10.553993763492445,-83.59,-79.42,26.443904399871826
230000,21829,10.536167483622704,-79.03,-79.42,26.882978916168213
240000,22814,10.519505566757255,-80.84,-79.03,27.980337619781494
250000,23801,10.503382210831477,-77.23,-79.03,26.985697746276855
260000,24788,10.488946264321445,-77.71,-77.23,26.379392385482788
270000,25772,10.47621449635263,-77.48,-77.23,27.478242874145508
280000,26758,10.46386127513267,-77.61,-77.23,27.57516360282898
290000,27745,10.452261668769147,-78.25,-77.23,26.397504329681396
300000,28733,10.440712769289666,-76.16,-77.23,27.308132648468018
310000,29722,10.42971536235785,-75.01,-76.16,28.221101760864258
