timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
100,8,12.5,-249.5,-inf,1.449594497680664
200,15,12.8,-258.93333333333334,-249.5,0.5775752067565918
300,22,13.136363636363637,-277.27272727272725,-249.5,0.16369938850402832
400,29,13.379310344827585,-286.48275862068965,-249.5,0.16679811477661133
500,37,13.18918918918919,-276.13513513513516,-249.5,0.1721494197845459
600,45,13.155555555555555,-271.2888888888889,-249.5,0.17546629905700684
700,53,13.11320754716981,-270.33962264150944,-249.5,0.17761945724487305
800,59,13.186440677966102,-275.35593220338984,-249.5,0.1869492530822754
900,67,13.26865671641791,-281.46268656716416,-249.5,0.166900634765625
1000,75,13.2,-277.0,-249.5,0.17785930633544922
1100,82,13.292682926829269,-280.9878048780488,-249.5,0.17646098136901855
1200,90,13.277777777777779,-278.9111111111111,-249.5,0.17910218238830566
1300,98,13.224489795918368,-276.01020408163265,-249.5,0.17376947402954102
1400,105,13.2,-275.74,-249.5,0.18831872940063477
1500,113,13.212389380530974,-279.44,-249.5,0.1719355583190918
1600,120,13.233333333333333,-277.06,-249.5,0.16905713081359863
1700,127,13.307086614173228,-276.58,-249.5,0.1689603328704834
1800,135,13.25925925925926,-272.43,-249.5,0.17754864692687988
1900,143,13.237762237762238,-276.42,-249.5,0.170792818069458
2000,151,13.211920529801324,-275.36,-249.5,0.17331480979919434
