timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,52,18.807692307692307,-22.5,-inf,3.8058574199676514
2000,103,19.29126213592233,-23.73,-22.5,3.004528045654297
3000,161,18.565217391304348,-21.94,-22.5,4.205420970916748
4000,222,17.95045045045045,-18.56,-21.94,2.6156516075134277
5000,284,17.577464788732396,-16.56,-18.56,4.375584840774536
6000,347,17.285302593659942,-15.8,-16.56,2.5533859729766846
7000,413,16.920096852300244,-14.85,-15.8,4.385511636734009
8000,484,16.522727272727273,-12.09,-14.85,2.6209211349487305
9000,556,16.16726618705036,-10.94,-12.09,4.32939076423645
10000,632,15.822784810126583,-10.59,-10.94,2.640612840652466
11000,708,15.535310734463277,-9.22,-10.59,4.391734838485718
12000,787,15.246505717916138,-8.3,-9.22,2.635962963104248
13000,867,14.994232987312571,-7.19,-8.3,4.302058458328247
14000,947,14.7740232312566,-6.87,-7.19,2.7254037857055664
15000,1031,14.53831231813773,-6.26,-6.87,4.397479772567749
16000,1112,14.381294964028777,-7.24,-6.26,2.6995370388031006
17000,1196,14.204849498327759,-6.08,-6.26,4.455528259277344
18000,1281,14.050741608118658,-5.28,-6.08,2.7680399417877197
19000,1365,13.91941391941392,-5.45,-5.28,4.338146448135376
20000,1451,13.781529979324604,-4.23,-5.28,2.71122145652771
21000,1535,13.676221498371335,-5.09,-4.23,4.40993070602417
22000,1623,13.552064078866296,-4.91,-4.23,2.8107552528381348
23000,1707,13.468072642062097,-5.29,-4.23,4.417048931121826
24000,1795,13.369359331476323,-5.03,-4.23,2.7770731449127197
25000,1882,13.281083953241232,-4.84,-4.23,4.4137961864471436
26000,1968,13.210873983739837,-4.91,-4.23,2.689570426940918
27000,2055,13.138199513381995,-5.08,-4.23,4.4908106327056885
28000,2141,13.073330219523587,-4.67,-4.23,2.7389254570007324
29000,2229,13.008524001794527,-4.17,-4.23,4.438367605209351
30000,2316,12.952072538860104,-4.59,-4.17,2.737844705581665
31000,2403,12.895963379109446,-4.72,-4.17,4.414991855621338
32000,2490,12.850602409638554,-3.94,-4.17,2.789600133895874
33000,2577,12.80558789289872,-3.94,-3.94,4.4067723751068115
34000,2664,12.760135135135135,-4.17,-3.94,2.75254487991333
35000,2751,12.721192293711377,-4.38,-3.94,4.517350912094116
36000,2838,12.682170542635658,-4.5,-3.94,2.7630691528320312
37000,2925,12.646495726495726,-4.88,-3.94,4.485216856002808
38000,3012,12.616201859229747,-5.24,-3.94,2.7227060794830322
39000,3100,12.579354838709678,-4.37,-3.94,4.454021692276001
40000,3190,12.539184952978056,-4.3,-3.94,2.8001902103424072
41000,3278,12.507626601586333,-4.1,-3.94,4.428547382354736
42000,3366,12.474747474747474,-4.58,-3.94,2.741356134414673
43000,3453,12.451781059947871,-5.09,-3.94,2.746354103088379
44000,3540,12.427118644067797,-4.74,-3.94,4.497542142868042
45000,3628,12.403252480705623,-4.57,-3.94,2.747631072998047
46000,3715,12.380619111709287,-4.05,-3.94,4.340861082077026
47000,3804,12.353312302839116,-3.77,-3.94,2.7629103660583496
48000,3891,12.33384734001542,-3.79,-3.77,4.507522344589233
49000,3978,12.315987933634993,-3.88,-3.77,2.752293586730957
50000,4064,12.301673228346457,-4.62,-3.77,4.3795325756073
51000,4153,12.280038526366482,-3.83,-3.77,2.778714895248413
52000,4242,12.256718528995757,-3.22,-3.77,4.472569465637207
53000,4334,12.227503461005998,-3.12,-3.22,2.9867937564849854
54000,4422,12.211216644052465,-3.63,-3.12,4.459275484085083
55000,4511,12.190866770117491,-3.44,-3.12,2.7822463512420654
56000,4600,12.173695652173913,-4.01,-3.12,4.392534255981445
57000,4686,12.16325224071703,-4.19,-3.12,2.6889142990112305
58000,4774,12.149141181399246,-4.75,-3.12,4.392030477523804
59000,4859,12.140563902037457,-5.02,-3.12,2.71734619140625
60000,4945,12.13185035389282,-4.45,-3.12,4.52206015586853
61000,5032,12.121621621621621,-4.26,-3.12,2.7327141761779785
62000,5120,12.10703125,-3.73,-3.12,4.357422351837158
63000,5208,12.095622119815669,-4.35,-3.12,2.7909512519836426
