timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
10000,430,23.251162790697673,-569.62,-inf,28.561172485351562
20000,869,22.995397008055235,-528.78,-569.62,29.76537322998047
30000,1307,22.941086457536343,-459.49,-528.78,29.6603000164032
40000,1742,22.95637198622273,-478.35,-459.49,28.22897720336914
50000,2179,22.93850390087196,-440.42,-459.49,30.10501265525818
60000,2607,23.012274645186036,-451.39,-440.42,28.713536500930786
70000,3040,23.020065789473684,-456.37,-440.42,28.078349351882935
80000,3476,23.01179516685846,-441.35,-440.42,28.753758668899536
90000,3908,23.026867963152508,-443.43,-440.42,27.661500930786133
100000,4339,23.04471076284858,-449.64,-440.42,29.8305504322052
