#{"t_start": 1748499112.4644272, "env_id": "Maze-v0"}
r,l,t
-1254.0,11,1.378971
-2475.0,15,1.461043
-1872.0,14,1.502427
-1564.0,12,1.528448
-1532.0,11,1.551967
-2467.0,13,1.578146
-1853.0,12,1.60467
-1570.0,12,1.630552
-1869.0,12,1.651577
-59.0,10,1.684378
-2465.0,13,1.728202
-2449.0,15,1.759396
-2169.0,15,1.791215
-1867.0,15,1.823543
-2503.0,16,1.856231
-2465.0,16,1.892987
-1574.0,13,1.922123
-2166.0,14,1.955398
-2167.0,15,1.983217
-1862.0,11,2.030109
-1860.0,12,2.050384
-968.0,11,2.070153
-1585.0,13,2.091033
-963.0,11,2.109715
-1859.0,13,2.135135
-1861.0,12,2.158565
-1873.0,13,2.181154
-3717.0,20,2.215088
-1872.0,14,2.251701
-1868.0,13,2.277924
-1260.0,11,2.299
-2452.0,12,2.322626
-1577.0,14,2.345935
-3093.0,15,2.373723
-1575.0,12,2.398557
-361.0,10,2.415752
-2506.0,16,2.446156
-1567.0,12,2.468177
-1569.0,12,2.490542
-1858.0,12,2.520172
-2164.0,12,2.546065
-1554.0,14,2.571605
-3090.0,15,2.600268
-2485.0,15,2.627433
-1877.0,13,2.649421
-2789.0,16,2.681113
-954.0,10,2.702377
-1264.0,10,2.720596
-1268.0,11,2.741958
-1266.0,11,2.762746
-1253.0,10,2.793486
-3420.0,18,2.824101
-1573.0,13,2.847139
-968.0,11,2.865148
-2803.0,18,2.897474
-969.0,12,2.924414
-2183.0,13,2.952096
-1580.0,13,2.976208
-1557.0,11,2.997821
-2451.0,11,3.030369
-2189.0,14,3.054374
-2485.0,15,3.084737
-1888.0,13,3.109359
-2489.0,14,3.132554
-1568.0,13,3.155376
-1884.0,12,3.175552
-1574.0,11,3.193364
-3688.0,16,3.225533
-1260.0,11,3.246758
-1883.0,14,3.273786
-1570.0,12,3.297776
-3066.0,14,3.326007
-3365.0,16,3.35973
-2138.0,12,3.395957
-3052.0,15,3.427233
-2192.0,14,3.451008
-3417.0,18,3.484175
-1574.0,11,3.503485
-1265.0,11,3.521784
-2463.0,14,3.551891
-2167.0,15,3.581187
-1886.0,16,3.609704
-1577.0,13,3.636578
-3100.0,16,3.664957
-2485.0,15,3.701362
-1877.0,11,3.719824
-2471.0,11,3.746023
-1570.0,12,3.774694
-2793.0,15,3.820295
-2169.0,14,3.848592
-1247.0,12,3.875714
-4944.0,23,3.91315
-2466.0,12,3.933329
-1874.0,11,3.956616
-2468.0,13,3.994465
-1880.0,13,4.020563
-954.0,11,4.046237
-2174.0,13,4.076581
-645.0,11,4.096067
-2162.0,13,4.121845
-338.0,10,4.147376
-2792.0,14,4.181669
-3089.0,17,4.222373
-2492.0,14,4.257364
-2774.0,14,4.301689
-3703.0,16,4.338041
-2791.0,16,4.37396
-2478.0,14,4.40709
-1879.0,13,4.429322
-4317.0,18,4.458675
-2784.0,15,4.487244
-1560.0,11,4.520801
-3377.0,14,4.55834
-1877.0,13,4.580853
-48.0,10,4.599102
-2161.0,15,4.628573
-2153.0,13,4.653828
-2193.0,15,4.688036
-1546.0,12,4.71108
-2807.0,17,4.738326
-351.0,11,4.758729
-1564.0,12,4.788352
-1872.0,12,4.811606
-2485.0,15,4.839756
-1570.0,13,4.873945
-2157.0,14,4.907769
-953.0,10,4.928701
-2470.0,13,4.952304
-1552.0,12,4.97969
-1275.0,12,4.999465
-2760.0,16,5.042322
-1874.0,13,5.06642
-1846.0,14,5.094507
-2491.0,13,5.115538
-3400.0,18,5.150381
-1548.0,11,5.173364
-1891.0,13,5.197392
-1259.0,13,5.221278
-1270.0,10,5.24087
-2743.0,12,5.272688
-2155.0,12,5.302473
-2794.0,16,5.329855
-2469.0,12,5.362423
-1258.0,10,5.394638
-1255.0,11,5.427712
-1574.0,11,5.448475
-1257.0,11,5.47003
-661.0,10,5.491223
-1276.0,12,5.521977
-965.0,13,5.551051
-1277.0,13,5.579028
-2786.0,16,5.611458
-1881.0,12,5.631194
-2172.0,14,5.670163
-2744.0,13,5.709316
-1269.0,12,8.201316
-2788.0,13,8.224156
-2474.0,13,8.246753
-1268.0,11,8.26421
-4016.0,20,8.297167
-2161.0,10,8.323417
-2195.0,14,8.346214
-1896.0,15,8.370511
-2168.0,13,8.395703
-3414.0,18,8.426086
-1578.0,14,8.450086
-2188.0,13,8.48071
-2169.0,14,8.513577
-1566.0,14,8.556486
-1854.0,14,8.583268
-1855.0,12,8.611193
-1253.0,12,8.637334
-2797.0,16,8.667319
-3108.0,18,8.702729
-1266.0,11,8.724742
-2473.0,15,8.752426
-3068.0,14,8.786258
-669.0,11,8.80749
-2466.0,14,8.838197
-1567.0,10,8.856325
-1567.0,13,8.882241
-661.0,12,8.907004
-1580.0,13,8.937579
-2477.0,14,8.965045
-1250.0,10,8.991224
-1571.0,11,9.01145
-2150.0,14,9.04933
-1871.0,11,9.075042
-3397.0,16,9.112721
-962.0,11,9.135767
-955.0,10,9.15808
-981.0,12,9.199941
-1891.0,15,9.237716
-3405.0,17,9.276668
-962.0,11,9.300584
-971.0,11,9.326998
-959.0,11,9.351783
-1574.0,13,9.380176
-1281.0,12,9.405871
-1560.0,11,9.429443
-2192.0,14,9.457821
-970.0,12,9.485809
-1868.0,11,9.510024
-42.0,10,9.533324
-2191.0,13,9.560018
-1249.0,12,9.584958
-3355.0,15,9.612195
-1570.0,12,9.636953
-1852.0,12,9.668577
-2459.0,13,9.695098
-369.0,11,9.719544
-56.0,10,9.743086
-2800.0,16,9.780618
-2804.0,17,9.813013
-3067.0,15,9.844485
-973.0,12,9.865234
-1861.0,12,9.887447
-1278.0,12,9.9073
-656.0,10,9.925896
-2787.0,17,9.955002
-977.0,11,9.975066
-1270.0,12,9.997606
-1858.0,12,10.021441
-362.0,10,10.040343
-2195.0,14,10.072959
-2174.0,13,10.096051
-1558.0,12,10.120623
-2172.0,12,10.142578
-1849.0,12,10.164679
-2798.0,17,10.193068
-1876.0,13,10.216747
-2451.0,14,10.242194
-1251.0,11,10.264769
-1560.0,11,10.289073
-2758.0,15,10.31998
-961.0,12,10.350379
-662.0,10,10.368534
-1260.0,11,10.389214
-2188.0,13,10.412167
-3386.0,16,10.441646
-2483.0,13,10.463746
-1557.0,13,10.4924
-653.0,10,10.52647
-2198.0,16,10.561515
-359.0,11,10.581239
-1547.0,10,10.602093
-2495.0,14,10.624732
-2472.0,17,10.653444
-1558.0,12,10.676502
-2466.0,12,10.702617
-1264.0,10,10.725641
-2774.0,16,10.763106
-1277.0,13,10.790442
-670.0,10,10.811933
-1886.0,14,10.844002
-2492.0,16,10.874997
-2498.0,14,10.90067
-1570.0,13,10.923291
-1252.0,11,10.947243
-1254.0,11,10.966684
-1560.0,11,10.989107
-1847.0,10,11.011385
-3083.0,16,11.043419
-1281.0,12,11.064767
