#{"t_start": 1748505702.8801064, "env_id": "Maze-v0"}
r,l,t
-411.0,17,1.372998
-176.0,13,1.397057
-181.0,13,1.421118
-271.0,14,1.44621
-170.0,10,1.465294
-194.0,11,1.48594
-165.0,11,1.506166
-218.0,14,1.530145
-209.0,13,1.5538
-408.0,17,1.584554
-253.0,15,1.611277
-303.0,13,1.634275
-335.0,13,1.657714
-213.0,13,1.681995
-289.0,13,1.716484
-276.0,14,1.741792
-233.0,12,1.764918
-417.0,18,1.797108
-273.0,13,1.819673
-307.0,15,1.846274
-219.0,15,1.872605
-392.0,16,1.900908
-337.0,15,1.926902
-261.0,12,1.950749
-391.0,15,1.981963
-133.0,10,1.998105
-241.0,13,2.018155
-168.0,11,2.035182
-181.0,12,2.056698
-201.0,13,2.076339
-273.0,15,2.098737
-316.0,16,2.124055
-364.0,14,2.145362
-228.0,13,2.167585
-173.0,12,2.186914
-313.0,15,2.210281
-310.0,14,2.231456
-282.0,16,2.255419
-433.0,15,2.28008
-167.0,12,2.30148
-176.0,12,2.32058
-307.0,14,2.341675
-285.0,16,2.365935
-245.0,14,2.388304
-257.0,14,2.412234
-353.0,18,2.439474
-303.0,14,2.463403
-327.0,16,2.489961
-485.0,19,2.519894
-207.0,11,2.538125
-238.0,12,2.556278
-178.0,13,2.576121
-238.0,13,2.599735
-210.0,13,2.621828
-215.0,14,2.64336
-346.0,16,2.667508
-215.0,13,2.687569
-207.0,13,2.708563
-139.0,11,2.725251
-299.0,13,2.745561
-342.0,16,2.770384
-195.0,12,2.790789
-307.0,14,2.812201
-409.0,18,2.839338
-208.0,14,2.861039
-241.0,13,2.881768
-138.0,10,2.898319
-169.0,11,2.915929
-313.0,15,2.938378
-201.0,11,2.955115
-192.0,10,2.97603
-249.0,15,2.998732
-140.0,11,3.016024
-268.0,12,3.034086
-173.0,11,3.050936
-369.0,18,3.083316
-440.0,17,3.109891
-436.0,18,3.139545
-79.0,11,3.156116
-177.0,13,3.175876
-109.0,11,3.193575
-203.0,11,3.2101
-325.0,13,3.232054
-192.0,13,3.25289
-212.0,13,3.272979
-235.0,11,3.290363
-260.0,12,3.309907
-332.0,15,3.33577
-211.0,14,3.370081
-313.0,15,3.397622
-174.0,12,3.41827
-138.0,10,3.434427
-323.0,17,3.460449
-269.0,13,3.483137
-199.0,11,3.500775
-201.0,12,3.518913
-120.0,10,3.537144
-162.0,12,3.557937
-445.0,18,3.584924
-308.0,14,3.606
-140.0,11,3.62534
-273.0,13,3.645336
-200.0,13,3.667682
-213.0,13,3.68729
-264.0,14,3.717431
-148.0,12,3.736354
-175.0,11,3.754646
-370.0,16,3.779026
-268.0,12,3.797543
-241.0,14,3.818715
-202.0,11,3.835553
-279.0,15,3.85777
-595.0,23,3.892157
-171.0,11,3.910145
-313.0,15,3.932494
-349.0,17,3.957839
-136.0,10,3.975083
-244.0,14,4.000604
-268.0,12,4.018699
-240.0,13,4.038892
-301.0,16,4.067049
-175.0,13,4.086903
-179.0,13,4.106461
-216.0,14,4.127723
-286.0,16,4.15152
-237.0,12,4.170022
-139.0,11,4.186966
-248.0,14,4.208053
-274.0,14,4.229608
-372.0,18,4.262858
-283.0,15,4.285358
-170.0,10,4.300558
-141.0,12,4.322006
-204.0,13,4.342457
-169.0,10,4.358331
-107.0,10,4.374022
-213.0,14,4.396147
-274.0,14,4.422639
-210.0,13,4.441979
-109.0,11,4.459653
-146.0,13,4.481216
-270.0,14,4.503453
-202.0,12,4.52507
-183.0,13,4.545759
-211.0,13,4.565719
-208.0,12,4.583991
-148.0,12,4.602703
-207.0,12,4.621267
-408.0,16,4.645871
-276.0,14,4.667701
-178.0,12,4.686218
-233.0,15,4.709471
-103.0,10,6.856592
-334.0,15,6.879286
-140.0,12,6.897275
-319.0,17,6.922629
-207.0,12,6.941122
-174.0,12,6.960133
-172.0,11,6.976864
-201.0,12,6.995879
-279.0,15,7.01877
-274.0,14,7.040514
-306.0,14,7.061628
-212.0,14,7.083103
-141.0,11,7.099638
-172.0,11,7.11632
-141.0,11,7.134815
-198.0,12,7.155828
-139.0,11,7.173302
-283.0,15,7.196747
-312.0,15,7.219187
-216.0,15,7.24288
-176.0,13,7.26249
-235.0,13,7.282286
-247.0,14,7.303082
-207.0,13,7.324041
-204.0,12,7.342203
-311.0,13,7.363831
-207.0,13,7.384511
-142.0,12,7.404038
-311.0,16,7.427755
-148.0,13,7.449672
-137.0,12,7.472637
-236.0,12,7.50635
-117.0,12,7.527657
-169.0,11,7.546075
-143.0,11,7.563222
-208.0,12,7.587283
-183.0,13,7.607485
-242.0,13,7.627655
-209.0,13,7.647956
-184.0,13,7.667973
-248.0,14,7.692432
-148.0,12,7.710452
-413.0,17,7.735964
-240.0,13,7.757423
-143.0,11,7.774848
-111.0,11,7.792887
-171.0,11,7.809656
-76.0,10,7.825598
-242.0,14,7.847055
-282.0,15,7.870184
-337.0,17,7.900552
-290.0,17,7.928176
-211.0,14,7.951019
-315.0,17,7.977702
-203.0,12,7.99656
-227.0,11,8.013587
-136.0,10,8.029375
-315.0,16,8.054241
-305.0,15,8.078062
-215.0,13,8.097507
-141.0,11,8.115388
-223.0,15,8.137599
-439.0,17,8.163685
-249.0,15,8.186847
-143.0,11,8.204044
-271.0,13,8.223856
-104.0,10,8.239045
-398.0,20,8.269557
-80.0,10,8.285545
-249.0,15,8.308054
-309.0,15,8.330478
-434.0,17,8.366376
-278.0,14,8.387838
-183.0,13,8.407459
-411.0,18,8.434713
-326.0,13,8.454703
-172.0,11,8.474249
-148.0,12,8.492922
-343.0,15,8.516211
-292.0,11,8.534283
-232.0,13,8.554361
-178.0,12,8.575709
-225.0,12,8.596135
-246.0,14,8.618776
-118.0,12,8.638035
-201.0,11,8.654751
-276.0,14,8.67572
-238.0,12,8.694415
-281.0,15,8.71699
-238.0,13,8.736892
-206.0,12,8.756114
-207.0,12,8.776905
-223.0,12,8.79815
-239.0,12,8.818146
-337.0,14,8.838843
-181.0,13,8.858482
-405.0,15,8.880963
-278.0,14,8.902024
-278.0,14,8.924125
-182.0,13,8.943987
-104.0,10,8.959801
-236.0,12,8.978332
-272.0,13,9.00019
-207.0,12,9.018465
-99.0,10,9.035431
-102.0,10,9.052477
-236.0,12,9.071503
-195.0,12,9.092667
-211.0,13,9.112792
-109.0,10,9.128191
-273.0,14,9.149407
-299.0,13,9.170562
-284.0,16,9.194366
-253.0,15,9.217152
-443.0,18,9.246384
-297.0,13,9.266191
-206.0,12,9.284738
-159.0,12,9.303382
-172.0,13,9.322679
-176.0,13,9.343382
-167.0,11,9.360177
-265.0,14,9.386003
-275.0,13,9.40652
-210.0,12,9.425483
-249.0,15,9.448526
-204.0,12,9.467484
-209.0,13,9.488242
-278.0,15,9.51218
-265.0,12,9.533624
-235.0,13,9.562456
-174.0,12,9.591164
-381.0,17,9.617592
-206.0,12,9.637372
-174.0,12,9.655948
-247.0,15,9.679608
-202.0,11,9.696699
-275.0,14,9.718068
-217.0,13,9.741511
-116.0,12,9.760626
-212.0,13,9.78071
-176.0,12,9.799566
-108.0,10,9.814717
-170.0,12,9.832725
-239.0,12,9.851094
-170.0,11,9.869437
-109.0,11,9.886073
-148.0,13,9.9058
-278.0,14,9.926593
-76.0,10,9.941678
-146.0,12,9.960185
-277.0,14,9.983585
-290.0,17,10.017208
-170.0,11,10.035488
-308.0,14,10.056689
-271.0,15,10.082055
-140.0,10,10.097242
-143.0,12,10.115515
-183.0,13,11.763443
-144.0,12,11.783561
-180.0,12,11.804312
-203.0,11,11.820815
-245.0,13,11.840678
-181.0,13,11.860483
-176.0,12,11.878536
-92.0,11,11.896401
-236.0,14,11.922005
-373.0,15,11.944679
-315.0,15,11.96774
-244.0,13,11.987608
-229.0,11,12.00519
-210.0,12,12.024228
-147.0,12,12.04296
-180.0,12,12.062754
-298.0,15,12.085483
-148.0,12,12.103532
-245.0,13,12.123405
-210.0,13,12.144775
-146.0,12,12.163
-273.0,14,12.184884
-141.0,11,12.201529
-186.0,14,12.222895
-262.0,13,12.247294
-206.0,13,12.266811
-103.0,11,12.284434
-238.0,12,12.303317
-105.0,11,12.321598
-174.0,12,12.339776
-170.0,11,12.359458
-196.0,11,12.376905
-137.0,11,12.394966
-178.0,14,12.417137
-289.0,14,12.439373
-276.0,14,12.460606
-282.0,16,12.484737
-235.0,12,12.504194
-176.0,12,12.52229
-497.0,22,12.556851
-220.0,11,12.581491
-213.0,13,12.603144
-451.0,20,12.632358
-243.0,13,12.659283
-176.0,12,12.679072
-80.0,11,12.695952
-272.0,14,12.717026
-164.0,11,12.734614
-241.0,13,12.75425
-48.0,10,12.769676
-137.0,11,12.788002
-108.0,11,12.804724
-241.0,13,12.825409
-282.0,16,12.85075
-186.0,14,12.874467
-118.0,12,12.892582
-152.0,10,12.91028
-226.0,12,12.932818
-249.0,13,12.952807
-185.0,13,12.972671
-143.0,11,12.989494
-151.0,13,13.008946
-76.0,10,13.024726
-308.0,16,13.048852
-209.0,13,13.068829
-165.0,11,13.087703
-83.0,11,13.104429
-247.0,14,13.125162
-230.0,14,13.150281
-167.0,10,13.165483
-183.0,13,13.18539
-246.0,14,13.207059
-191.0,12,13.225793
-153.0,10,13.241671
-109.0,11,13.25877
-106.0,10,13.274288
-277.0,14,13.300232
-241.0,14,13.321556
-148.0,12,13.339842
-348.0,16,13.366264
-113.0,12,13.384507
-143.0,11,13.402312
-181.0,13,13.422431
-212.0,13,13.44252
-210.0,12,13.461685
-145.0,12,13.479977
-224.0,12,13.499144
-220.0,15,13.522521
-204.0,14,13.545588
-176.0,12,13.565427
-113.0,11,13.582255
-176.0,12,13.601461
-173.0,11,13.618335
-148.0,12,13.63639
-281.0,14,13.662909
-341.0,15,13.698773
-172.0,11,13.718035
-315.0,16,13.743144
-76.0,10,13.759641
-105.0,11,13.777586
-208.0,13,13.798639
-139.0,12,13.819178
-275.0,13,13.840065
-269.0,14,13.863623
-245.0,15,13.888652
-242.0,13,13.909731
-164.0,11,13.929657
-185.0,11,13.948179
-112.0,12,13.967156
-259.0,13,13.99266
-136.0,10,14.007849
-170.0,11,14.024347
-173.0,12,14.043128
-253.0,15,14.065573
-111.0,11,14.083038
-220.0,14,14.104457
-141.0,12,14.122605
-278.0,14,14.143653
-177.0,12,14.162781
-265.0,12,14.181322
-273.0,13,14.201476
-334.0,14,14.223439
-186.0,14,14.244371
-160.0,11,14.267048
-84.0,11,14.283887
-213.0,13,14.303839
-178.0,12,14.322006
-173.0,11,14.338686
-141.0,11,14.355095
-275.0,14,14.379327
-115.0,11,14.3967
-137.0,12,14.416086
-243.0,13,14.435783
-48.0,10,14.451198
-83.0,11,14.468678
-118.0,12,14.487061
-170.0,12,14.505336
-78.0,10,14.520518
-180.0,12,14.538472
-149.0,13,14.558913
-461.0,21,14.59068
-176.0,12,14.609478
-171.0,11,14.62661
-67.0,10,14.644283
-117.0,12,14.664447
-147.0,12,14.685619
-186.0,14,14.706435
-246.0,14,14.728117
-172.0,12,14.746982
-150.0,13,14.767023
-211.0,13,14.788463
-258.0,16,14.812924
-208.0,12,14.83095
-183.0,13,14.85077
-83.0,11,14.868354
-238.0,15,14.895492
-213.0,13,14.916599
-216.0,14,14.937497
-207.0,12,14.955556
-171.0,12,14.974199
-144.0,12,14.993041
-138.0,11,15.010028
-167.0,11,15.027511
-167.0,10,16.630017
-210.0,10,16.647752
-231.0,15,16.671647
-117.0,12,16.689945
-113.0,11,16.706536
-220.0,15,16.729269
-171.0,12,16.74814
-176.0,12,16.766394
-272.0,14,16.787625
-272.0,14,16.814274
-192.0,12,16.833044
-183.0,13,16.85275
-208.0,12,16.871272
-137.0,11,16.887836
-169.0,13,16.913054
-217.0,14,16.93419
-176.0,12,16.9522
-152.0,13,16.973947
-178.0,12,16.992425
-173.0,13,17.012535
-140.0,11,17.029188
-274.0,15,17.052016
-283.0,16,17.075665
