timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,75,13.333333333333334,-57.653333333333336,-inf,3.5696401596069336
2000,152,13.131578947368421,-57.56,-57.653333333333336,2.1678578853607178
3000,229,13.091703056768559,-54.51,-57.56,3.7131946086883545
4000,304,13.12171052631579,-57.98,-54.51,2.1770107746124268
5000,380,13.128947368421052,-54.84,-54.51,3.8327877521514893
6000,457,13.12472647702407,-53.24,-54.51,2.007713794708252
7000,533,13.129455909943715,-53.63,-53.24,3.9393908977508545
8000,610,13.11311475409836,-49.13,-53.24,2.1001362800598145
9000,686,13.107871720116618,-48.95,-49.13,4.005004405975342
10000,764,13.081151832460733,-47.53,-48.95,2.2591464519500732
11000,840,13.085714285714285,-44.75,-47.53,4.328840017318726
12000,919,13.054406964091404,-42.79,-44.75,2.2760250568389893
13000,998,13.02304609218437,-41.37,-42.79,4.399494886398315
14000,1076,13.009293680297398,-38.43,-41.37,2.1511120796203613
15000,1152,13.011284722222221,-37.44,-38.43,3.8088440895080566
16000,1229,13.01220504475183,-36.21,-37.44,2.160731792449951
17000,1309,12.98472116119175,-32.56,-36.21,4.338509798049927
18000,1384,12.999277456647398,-36.89,-32.56,3.2026193141937256
19000,1459,13.016449623029473,-32.51,-32.56,4.866737365722656
20000,1531,13.057478772044416,-33.66,-32.51,2.3489859104156494
21000,1603,13.09544603867748,-32.88,-32.51,4.103559255599976
22000,1674,13.137395459976105,-31.26,-32.51,2.1540586948394775
23000,1747,13.16542644533486,-28.85,-31.26,4.012938737869263
24000,1817,13.204182718767198,-29.37,-28.85,2.1190245151519775
25000,1889,13.232398094229751,-27.29,-28.85,4.166125297546387
26000,1960,13.26530612244898,-25.11,-27.29,2.1128878593444824
27000,2028,13.30818540433925,-26.23,-25.11,3.868610382080078
28000,2094,13.366284622731614,-27.1,-25.11,2.31437349319458
29000,2162,13.41304347826087,-28.14,-25.11,4.025968074798584
30000,2230,13.447085201793723,-26.51,-25.11,1.9687817096710205
31000,2301,13.467188179052586,-21.4,-25.11,4.343724966049194
32000,2370,13.49746835443038,-21.68,-21.4,2.3173961639404297
33000,2436,13.543513957307061,-26.55,-21.4,5.012087345123291
34000,2506,13.562649640861931,-22.53,-21.4,2.2525503635406494
35000,2574,13.594794094794095,-23.1,-21.4,4.255122423171997
36000,2640,13.634848484848485,-24.57,-21.4,2.5938057899475098
37000,2709,13.655223329641935,-23.23,-21.4,4.133057355880737
38000,2775,13.692252252252253,-22.01,-21.4,2.548032522201538
39000,2838,13.74031007751938,-26.59,-21.4,6.151932954788208
40000,2905,13.765576592082617,-21.48,-21.4,2.3941943645477295
41000,2974,13.781439139206457,-19.56,-21.4,4.103152275085449
42000,3038,13.819947333772218,-22.37,-19.56,2.301687717437744
43000,3101,13.863592389551757,-24.72,-19.56,2.4018471240997314
44000,3169,13.883243925528557,-21.92,-19.56,4.185291528701782
45000,3237,13.899289465554526,-20.51,-19.56,2.4306323528289795
46000,3307,13.908980949501059,-19.52,-19.56,3.97404408454895
47000,3372,13.937129300118624,-19.19,-19.52,2.226870536804199
48000,3435,13.972634643377,-20.97,-19.19,4.04470419883728
49000,3498,14.00457404230989,-24.18,-19.19,2.136417865753174
50000,3565,14.021318373071528,-22.28,-19.19,3.982038974761963
51000,3629,14.049875998897768,-21.7,-19.19,2.3718719482421875
52000,3697,14.062483094400866,-19.06,-19.19,4.153642654418945
53000,3767,14.067958587735598,-18.66,-19.06,2.638077974319458
54000,3836,14.073774765380605,-17.6,-18.66,4.524924993515015
55000,3903,14.089162182936203,-19.98,-17.6,2.264824151992798
56000,3970,14.102015113350125,-18.35,-17.6,4.459349632263184
57000,4036,14.121159563924678,-20.73,-17.6,2.3416457176208496
58000,4103,14.134535705581282,-19.28,-17.6,4.209971904754639
59000,4170,14.147721822541966,-17.55,-17.6,2.4676268100738525
60000,4239,14.154045765510734,-17.84,-17.55,4.9393510818481445
61000,4302,14.177359367735937,-20.63,-17.55,2.3638484477996826
62000,4371,14.182795698924732,-20.42,-17.55,5.117384433746338
63000,4438,14.193330328977016,-17.27,-17.55,2.2673277854919434
64000,4506,14.201952951620061,-19.22,-17.27,4.247948408126831
65000,4567,14.229472301291876,-25.32,-17.27,2.4747273921966553
66000,4632,14.247841105354059,-25.2,-17.27,4.205010652542114
67000,4697,14.263785394932937,-23.24,-17.27,2.2225308418273926
68000,4762,14.277194456110879,-21.23,-17.27,5.074455499649048
69000,4827,14.29417857882743,-22.65,-17.27,2.3340156078338623
70000,4894,14.301389456477319,-20.84,-17.27,4.5269410610198975
71000,4961,14.310219713767385,-19.06,-17.27,2.515896797180176
72000,5029,14.31358122887254,-19.25,-17.27,4.104297876358032
73000,5100,14.313725490196079,-15.66,-17.27,2.4309206008911133
74000,5167,14.32030191600542,-16.37,-15.66,4.180906534194946
75000,5234,14.326327856324035,-18.62,-15.66,2.5086803436279297
76000,5302,14.333647680120709,-19.26,-15.66,4.1646904945373535
77000,5370,14.337988826815643,-17.97,-15.66,2.200410842895508
78000,5436,14.348050036791758,-19.72,-15.66,4.091755628585815
79000,5500,14.363090909090909,-23.04,-15.66,2.0678958892822266
80000,5566,14.372799137621271,-22.82,-15.66,3.8512868881225586
81000,5632,14.378196022727273,-19.54,-15.66,2.034254789352417
82000,5698,14.38855738855739,-21.35,-15.66,3.91902494430542
83000,5763,14.399791775117126,-22.54,-15.66,2.1672561168670654
84000,5831,14.404390327559595,-19.02,-15.66,4.123503923416138
85000,5897,14.413430557910802,-20.7,-15.66,2.13335919380188
86000,5966,14.414683204827355,-17.44,-15.66,2.181905746459961
87000,6035,14.415741507870754,-18.37,-15.66,3.9335997104644775
88000,6102,14.420353982300885,-16.3,-15.66,2.338425636291504
89000,6166,14.4328576062277,-20.12,-15.66,3.787883758544922
90000,6233,14.439274827530884,-20.63,-15.66,2.214663505554199
91000,6300,14.442380952380953,-19.67,-15.66,3.9276297092437744
92000,6365,14.452631578947368,-20.41,-15.66,2.219560384750366
93000,6436,14.44950279676818,-17.45,-15.66,3.905714511871338
94000,6503,14.45440565892665,-17.94,-15.66,2.1932029724121094
95000,6570,14.457990867579909,-19.33,-15.66,3.8772740364074707
96000,6634,14.46909858305698,-22.29,-15.66,2.5671403408050537
97000,6701,14.474705267870467,-22.01,-15.66,4.048985719680786
98000,6769,14.477323090559905,-18.96,-15.66,2.171496629714966
99000,6835,14.482955376737381,-19.3,-15.66,3.8931376934051514
100000,6902,14.488409156766155,-20.16,-15.66,2.209627389907837
