#{"t_start": 1748644570.8125336, "env_id": "Maze-v0"}
r,l,t
-50.0,14,1.373687
-33.0,13,1.401029
-42.0,13,1.43286
-38.0,12,1.456849
-31.0,13,1.481195
-34.0,10,1.500247
-46.0,12,1.52487
-45.0,14,1.553027
-47.0,13,1.583738
-46.0,14,1.610504
-54.0,16,1.652849
-47.0,15,1.692261
-48.0,14,1.731857
-34.0,10,1.754971
-42.0,13,1.785923
-32.0,12,1.812593
-44.0,14,1.846563
-47.0,17,1.889214
-51.0,14,1.917348
-56.0,17,1.958377
-32.0,11,1.989717
-49.0,16,2.026237
-54.0,15,2.068154
-20.0,10,2.097222
-42.0,12,2.127558
-29.0,11,2.152029
-38.0,13,2.177131
-34.0,12,2.200463
-52.0,15,2.234929
-45.0,13,2.260065
-40.0,11,2.282432
-39.0,15,2.31353
-66.0,18,2.345657
-40.0,11,2.375729
-58.0,18,2.41733
-37.0,12,2.438222
-42.0,13,2.461112
-51.0,15,2.487448
-33.0,12,2.509733
-31.0,10,2.527481
-36.0,12,2.550929
-50.0,16,2.582626
-44.0,13,2.605251
-47.0,15,2.635988
-29.0,11,2.655577
-45.0,15,2.681826
-52.0,14,2.705526
-41.0,13,2.728649
-58.0,16,2.755518
-46.0,13,2.780701
-52.0,15,2.821189
-36.0,12,2.842392
-41.0,12,2.868472
-49.0,15,2.895504
-60.0,16,2.922663
-49.0,13,2.945946
-28.0,13,2.973433
-42.0,13,2.995735
-38.0,12,3.015591
-39.0,15,3.041319
-50.0,15,3.070195
-54.0,15,3.095553
-39.0,14,3.119138
-36.0,10,3.138493
-49.0,15,3.162616
-38.0,11,3.181797
-48.0,13,3.202553
-65.0,15,3.230192
-39.0,11,3.251898
-53.0,16,3.280114
-56.0,14,3.307193
-26.0,16,3.344028
-42.0,14,3.366677
-41.0,12,3.390286
-36.0,12,3.852191
-44.0,13,3.874935
-52.0,14,3.898537
-30.0,10,3.916597
-51.0,16,3.949524
-34.0,14,3.98287
-46.0,14,4.008229
