timesteps,episodes,avg_steps_per_episode,mean_reward,best_mean_reward,step_duration
1000,74,13.486486486486486,-43.472972972972975,-inf,3.3931660652160645
2000,147,13.585034013605442,-43.57,-43.472972972972975,2.2800841331481934
3000,223,13.376681614349776,-42.1,-43.472972972972975,3.513235092163086
4000,297,13.451178451178452,-43.1,-42.1,2.0278444290161133
5000,374,13.33957219251337,-40.54,-42.1,4.02983546257019
6000,453,13.242825607064018,-39.58,-40.54,2.1842408180236816
7000,532,13.140977443609023,-39.8,-39.58,4.0266499519348145
8000,608,13.15625,-40.67,-39.58,2.1239523887634277
9000,684,13.140350877192983,-40.56,-39.58,3.8288116455078125
10000,764,13.078534031413612,-38.71,-39.58,2.126384735107422
11000,841,13.07372175980975,-38.92,-38.71,3.7507174015045166
12000,920,13.040217391304347,-38.32,-38.71,2.0523946285247803
13000,999,13.006006006006006,-36.99,-38.32,3.795539617538452
14000,1080,12.955555555555556,-37.09,-36.99,1.807861089706421
15000,1159,12.937014667817083,-36.69,-36.99,4.012791395187378
16000,1236,12.939320388349515,-37.11,-36.69,2.3068013191223145
17000,1317,12.907365223993926,-36.57,-36.69,4.083957672119141
18000,1396,12.888252148997134,-35.81,-36.57,2.1045992374420166
19000,1473,12.890020366598778,-37.23,-35.81,3.621856212615967
20000,1553,12.871860914359305,-35.65,-35.81,2.081509828567505
21000,1634,12.847613219094248,-35.35,-35.65,3.465003728866577
22000,1711,12.85739333722969,-35.74,-35.35,1.8104398250579834
23000,1786,12.872900335946248,-36.35,-35.35,3.566755771636963
24000,1863,12.878153515834676,-35.56,-35.35,1.8914508819580078
25000,1943,12.8641276376737,-35.0,-35.35,3.645315408706665
26000,2021,12.859970311726867,-34.39,-35.0,2.0372722148895264
27000,2100,12.851428571428572,-33.03,-34.39,3.9060347080230713
28000,2176,12.863511029411764,-34.22,-33.03,2.19184947013855
29000,2254,12.861579414374445,-33.9,-33.03,3.7488133907318115
30000,2331,12.862719862719862,-32.61,-33.03,2.2434873580932617
31000,2408,12.872923588039868,-33.43,-32.61,4.123730897903442
32000,2486,12.872083668543846,-31.08,-32.61,2.540450096130371
33000,2561,12.882858258492776,-31.79,-31.08,3.904916763305664
34000,2637,12.893439514599924,-32.64,-31.08,2.0735697746276855
35000,2712,12.902654867256636,-33.49,-31.08,3.7683374881744385
36000,2787,12.913527090060997,-32.94,-31.08,1.8740665912628174
37000,2861,12.929395316322964,-33.17,-31.08,4.441522121429443
38000,2936,12.94175749318801,-33.74,-31.08,2.0484225749969482
39000,3006,12.973386560212907,-33.76,-31.08,4.034534692764282
40000,3076,13.00032509752926,-32.81,-31.08,2.3052895069122314
41000,3146,13.02892561983471,-34.28,-31.08,3.7286264896392822
42000,3216,13.058768656716419,-34.41,-31.08,2.0877978801727295
43000,3286,13.08247108947048,-34.03,-31.08,2.1496012210845947
44000,3359,13.098541232509675,-32.01,-31.08,4.04818868637085
45000,3431,13.112503643252696,-31.08,-31.08,2.3728089332580566
46000,3499,13.143469562732209,-32.79,-31.08,4.377742290496826
47000,3568,13.172365470852018,-30.99,-31.08,2.5748674869537354
48000,3638,13.192138537658053,-31.04,-30.99,4.962902784347534
49000,3704,13.228941684665227,-32.75,-30.99,2.290342330932617
50000,3774,13.247217806041336,-31.85,-30.99,4.158921957015991
51000,3841,13.274407706326478,-31.21,-30.99,2.086562395095825
52000,3907,13.307396979779883,-34.49,-30.99,3.493813991546631
53000,3975,13.332830188679246,-33.01,-30.99,1.8583462238311768
54000,4040,13.364603960396039,-32.68,-30.99,3.792090892791748
55000,4103,13.400194979283452,-34.31,-30.99,2.0261757373809814
56000,4171,13.425077918964277,-33.37,-30.99,3.5692269802093506
57000,4242,13.435879302215936,-30.98,-30.99,2.1408650875091553
58000,4308,13.461234911792015,-32.26,-30.98,4.1495912075042725
59000,4373,13.488451863709123,-31.52,-30.98,2.1547727584838867
60000,4440,13.512387387387387,-31.43,-30.98,4.855805397033691
61000,4506,13.536173990235241,-30.97,-30.98,2.5071358680725098
62000,4571,13.561146357471014,-32.59,-30.97,4.2582902908325195
63000,4637,13.584429588095752,-30.52,-30.97,2.561708688735962
64000,4704,13.60204081632653,-30.32,-30.52,3.796823501586914
65000,4768,13.631501677852349,-32.16,-30.32,2.286799430847168
66000,4832,13.655836092715232,-33.36,-30.32,3.9936530590057373
67000,4896,13.68157679738562,-32.27,-30.32,2.315904140472412
68000,4958,13.713392496974587,-32.83,-30.32,3.8597147464752197
69000,5024,13.733678343949045,-32.17,-30.32,2.126471519470215
70000,5089,13.753782668500687,-29.25,-30.32,4.198424577713013
71000,5156,13.769588828549264,-28.42,-29.25,2.3487205505371094
72000,5221,13.78873778969546,-30.36,-28.42,4.0326128005981445
73000,5285,13.812298959318827,-31.79,-28.42,2.240506887435913
74000,5349,13.832305103757712,-32.19,-28.42,3.870130777359009
75000,5414,13.852973771702992,-32.76,-28.42,2.1467292308807373
76000,5481,13.863163656267105,-29.76,-28.42,4.1728835105896
77000,5542,13.891374954889931,-31.95,-28.42,2.030862331390381
78000,5606,13.912236889047449,-33.84,-28.42,4.013102769851685
79000,5670,13.930864197530864,-30.98,-28.42,2.2269468307495117
80000,5736,13.94612970711297,-30.57,-28.42,4.570833444595337
81000,5800,13.962586206896551,-30.84,-28.42,2.133668899536133
82000,5865,13.978175618073315,-30.57,-28.42,4.063114643096924
83000,5933,13.989549974717681,-29.8,-28.42,2.2148866653442383
84000,5994,14.012345679012345,-31.65,-28.42,4.2996885776519775
85000,6058,14.030042918454935,-32.5,-28.42,2.402808666229248
86000,6121,14.0491749714099,-30.69,-28.42,2.464315891265869
87000,6187,14.061419104574107,-28.72,-28.42,4.196143865585327
88000,6251,14.077587585986242,-31.4,-28.42,2.240814685821533
89000,6315,14.092953285827395,-33.03,-28.42,4.524009704589844
90000,6378,14.110065851364064,-33.02,-28.42,2.3460404872894287
91000,6443,14.122303274871953,-32.56,-28.42,4.349916458129883
92000,6509,14.131356583192503,-29.87,-28.42,2.0982472896575928
93000,6573,14.148334094020996,-32.62,-28.42,3.8998608589172363
94000,6637,14.160916076540605,-32.15,-28.42,2.126478910446167
95000,6698,14.182293221857272,-33.04,-28.42,4.035517454147339
96000,6762,14.19698314108252,-32.98,-28.42,2.199782133102417
97000,6826,14.20890711983592,-32.57,-28.42,3.9718310832977295
98000,6893,14.215871173654431,-28.75,-28.42,2.186436653137207
99000,6957,14.229552968233435,-31.1,-28.42,3.8821816444396973
100000,7021,14.242130750605327,-31.04,-28.42,2.105255365371704
