#{"t_start": 1748626454.0185852, "env_id": "Maze-v0"}
r,l,t
-22.0,12,4.016536
-1.0,1,4.060832
-22.0,12,4.179016
-18.0,12,4.273788
-21.0,12,4.363545
-22.0,13,4.477947
-22.0,13,4.604273
-12.0,10,4.682373
-16.0,11,4.77388
-18.0,10,4.859692
-20.0,11,4.943163
-26.0,14,5.051601
-20.0,10,5.134206
-19.0,10,5.21865
-20.0,11,5.348518
-20.0,10,5.429782
-16.0,11,5.513142
-14.0,10,5.59372
-22.0,11,5.691743
-14.0,10,5.762707
-18.0,11,5.87316
-20.0,11,5.968839
-18.0,11,6.033978
-19.0,11,6.112454
-18.0,11,6.203835
-20.0,10,6.295373
-12.0,10,6.3736
-19.0,11,6.451545
-26.0,14,6.581622
-18.0,11,6.68773
-21.0,14,6.781469
-24.0,13,6.867873
-16.0,13,6.991121
-20.0,12,7.068908
-18.0,11,7.135795
-26.0,13,7.244302
-21.0,12,7.336371
-22.0,12,7.443601
-18.0,11,7.525985
-14.0,10,7.615387
-16.0,11,7.732878
-20.0,13,7.842521
-13.0,10,7.913772
-18.0,11,8.007797
-16.0,10,8.069498
-15.0,11,8.170929
-19.0,11,8.24881
-19.0,11,8.310736
-22.0,11,8.397271
-22.0,13,8.487314
-18.0,10,8.57043
-18.0,10,8.670014
-22.0,12,8.746196
-22.0,11,8.827025
-21.0,12,8.918903
-24.0,13,8.999868
-17.0,10,9.078237
-16.0,11,9.163324
-24.0,12,9.261476
-18.0,10,9.341824
-19.0,10,9.424384
-20.0,12,9.509126
-21.0,11,9.594663
-20.0,10,9.721563
-19.0,11,9.820337
-20.0,11,9.89673
-18.0,10,9.959405
-21.0,12,10.079378
-13.0,10,10.162897
-22.0,12,10.249473
-19.0,11,10.327004
-16.0,10,10.407939
-17.0,10,10.474935
-25.0,13,10.572345
-18.0,10,10.649921
-20.0,11,10.770192
-21.0,12,10.893084
-19.0,11,10.961413
-15.0,10,11.04497
-24.0,12,11.151404
-18.0,11,11.236376
-19.0,11,11.30929
-24.0,12,11.387846
-16.0,10,11.461494
-22.0,12,11.603058
-20.0,12,11.690788
-12.0,10,11.767619
-21.0,11,11.840443
-20.0,11,11.925981
-30.0,15,12.091474
-20.0,12,12.170738
-27.0,14,12.288901
-20.0,11,12.395258
-12.0,10,12.464034
-18.0,11,12.534024
-16.0,11,12.621363
-20.0,11,12.704027
-19.0,11,12.790635
-23.0,12,12.870626
-25.0,13,12.981782
-22.0,11,13.078927
-17.0,11,13.148798
-14.0,10,13.250844
-21.0,11,13.354603
-21.0,12,13.445614
-15.0,10,13.527844
-22.0,11,13.60971
-18.0,11,13.692175
-18.0,10,13.789847
-21.0,12,13.917197
-19.0,11,14.015404
-1.0,1,14.022476
-21.0,12,14.111029
-22.0,13,14.217998
-17.0,11,14.315654
-20.0,11,14.429995
-20.0,10,14.515207
-20.0,11,14.591063
-20.0,11,14.703964
-22.0,12,14.828558
-1.0,1,14.838431
-18.0,11,14.907819
-19.0,11,14.987115
-21.0,12,15.085947
-23.0,12,15.18091
-20.0,11,15.26921
-17.0,10,15.352565
-1.0,1,15.36067
-11.0,10,15.438248
-22.0,12,15.532046
-18.0,12,15.630116
-28.0,14,15.758451
-18.0,10,15.85673
-23.0,13,15.968252
-22.0,13,16.046299
-16.0,10,16.103603
-17.0,10,16.181366
-16.0,10,16.259303
-18.0,10,16.355751
-21.0,12,16.4499
-2.0,1,16.467484
-19.0,12,16.556176
-3.0,2,16.5694
-19.0,11,16.642631
-19.0,11,16.72515
-22.0,13,16.837631
-20.0,10,16.909323
-22.0,13,17.009281
-14.0,10,17.079957
-22.0,11,17.148817
-20.0,10,17.230421
-22.0,12,17.313646
-16.0,11,17.399783
-17.0,11,17.51129
-18.0,10,17.582093
-16.0,11,17.659933
-20.0,10,17.719322
-19.0,11,17.779978
-16.0,10,17.835347
-20.0,11,17.949943
-21.0,13,18.055607
-22.0,12,18.159973
-14.0,10,18.252267
-18.0,11,18.387805
-21.0,11,18.533202
-18.0,11,18.662712
-26.0,13,18.79129
-1.0,1,18.804672
-18.0,10,18.890733
-21.0,12,19.024594
-1.0,1,19.045411
-20.0,12,19.176643
-22.0,11,19.301688
-16.0,12,19.422965
-1.0,1,19.430821
-17.0,11,19.556079
-16.0,10,19.638278
-23.0,12,19.708402
-15.0,10,19.779598
-13.0,10,19.852676
-19.0,11,19.937266
-3.0,2,19.95065
-20.0,11,20.05687
-15.0,10,20.158156
-25.0,14,20.288056
-24.0,13,20.375721
-22.0,12,20.524987
-24.0,13,20.64417
-17.0,10,20.714284
-18.0,10,20.783859
-19.0,10,20.882629
-19.0,10,27.53651
-20.0,11,27.616446
-20.0,10,27.734221
-18.0,11,27.834696
-18.0,11,27.928476
-15.0,10,28.015308
-1.0,1,28.026529
-24.0,13,28.151985
-20.0,11,28.224592
-1.0,1,28.231492
-1.0,1,28.237752
-16.0,10,28.309137
-12.0,10,28.389947
-18.0,11,28.532379
-18.0,11,28.691101
-22.0,11,28.760879
-16.0,11,28.825659
-17.0,10,28.900934
-17.0,11,28.976009
-22.0,12,29.107795
-18.0,11,29.213087
-23.0,12,29.333984
-18.0,10,29.392406
-16.0,10,29.448368
-14.0,11,29.56546
-13.0,10,29.662152
-18.0,11,29.731381
-18.0,10,29.829795
-18.0,12,29.934673
-20.0,12,30.021312
-26.0,13,30.106962
-20.0,13,30.245074
-21.0,11,30.324286
-18.0,11,30.441302
-16.0,10,30.526076
-13.0,10,30.612368
-18.0,11,30.697833
-16.0,10,30.818974
-19.0,12,30.972368
-15.0,11,31.073682
-20.0,10,31.16547
-18.0,11,31.270744
-1.0,1,31.287667
-18.0,10,31.351913
-18.0,10,31.473612
-22.0,12,31.60758
-22.0,13,31.724128
-20.0,10,31.813337
-27.0,15,31.981442
-22.0,12,32.128095
-18.0,10,32.195083
-17.0,11,32.307561
-16.0,11,32.386919
-20.0,11,32.489221
-18.0,10,32.586237
-21.0,12,32.704768
-17.0,10,32.80916
-22.0,12,32.92654
-22.0,12,33.005646
-20.0,11,33.075599
-24.0,14,33.155396
-24.0,12,33.259799
-16.0,11,33.328041
-20.0,14,33.430073
-18.0,10,33.491662
-22.0,11,33.578265
-20.0,11,33.667539
-18.0,10,33.737713
-18.0,11,33.803709
-20.0,12,33.873886
-12.0,11,33.938837
-18.0,11,34.016633
-20.0,12,34.133146
-21.0,12,34.213095
-23.0,13,34.327467
-24.0,13,34.437573
-14.0,10,34.509683
-20.0,12,34.617619
-15.0,10,34.687145
-17.0,10,34.763459
-18.0,11,34.849765
-19.0,12,34.930513
-20.0,11,35.034242
-24.0,12,35.13685
-17.0,11,35.222719
-1.0,1,35.230548
-20.0,10,35.320223
-20.0,11,35.415372
-26.0,13,35.512653
-16.0,10,35.60263
-16.0,10,35.688593
-24.0,14,35.801989
-24.0,12,35.901932
-19.0,11,36.019956
-16.0,10,36.096618
-17.0,11,36.196026
-20.0,11,36.285619
-24.0,13,36.39892
-22.0,13,36.518307
-3.0,2,36.53654
-22.0,12,36.620653
-20.0,12,36.70837
-20.0,11,36.776153
-20.0,10,36.844901
-1.0,1,36.852784
-18.0,11,36.942311
-14.0,10,37.027401
-17.0,10,37.096657
-23.0,12,37.199731
-23.0,13,37.27579
-23.0,14,37.414687
-20.0,11,37.520667
-4.0,2,37.552824
-18.0,11,37.6429
-18.0,10,37.712717
-22.0,11,37.830368
-1.0,1,37.844335
-18.0,10,37.921649
-19.0,12,38.00957
-16.0,10,38.123275
-18.0,10,38.193136
-18.0,12,38.282633
-18.0,11,38.35236
-18.0,12,38.465369
-20.0,11,38.580165
-24.0,14,38.723564
-23.0,12,38.806912
-21.0,12,38.892532
-19.0,11,38.986876
-20.0,12,39.074766
-18.0,11,39.143745
-22.0,11,39.220257
-24.0,14,39.337057
-16.0,10,39.454761
-24.0,12,39.557348
-18.0,12,39.655051
-28.0,16,39.82185
-18.0,10,39.888819
-20.0,12,39.978171
-16.0,10,40.066118
-19.0,12,40.177447
-21.0,11,40.266141
-19.0,10,40.338241
-17.0,10,40.460898
-18.0,12,40.533356
-22.0,12,40.645463
-20.0,11,40.742468
-24.0,13,40.829967
-18.0,10,40.903309
-20.0,10,40.975988
-14.0,10,41.049224
-16.0,11,41.120542
-17.0,10,41.185943
-17.0,11,41.267676
-27.0,14,41.418653
-16.0,11,41.50151
-26.0,15,41.623989
-1.0,1,41.632044
-16.0,11,41.716681
-22.0,12,41.801109
-20.0,11,41.909727
-3.0,2,41.936643
-22.0,13,42.033302
-20.0,12,42.14126
-18.0,11,42.224188
-3.0,2,42.240089
-30.0,15,42.369568
-20.0,10,42.431937
-15.0,10,42.495649
-1.0,1,42.508428
-14.0,10,42.603976
-22.0,11,42.69082
-20.0,10,42.770191
-19.0,11,42.859809
-20.0,12,42.956078
-18.0,11,43.046579
-22.0,12,43.150427
-18.0,10,43.228683
-24.0,15,43.380971
-18.0,10,43.474126
-1.0,1,43.483684
-20.0,12,43.577307
-14.0,10,43.648473
-22.0,11,43.730591
-20.0,11,43.802442
-18.0,11,43.892185
-17.0,10,44.016718
-19.0,11,44.087541
-19.0,12,44.159086
-19.0,11,44.269749
-20.0,11,44.345662
-32.0,17,44.526261
-20.0,11,44.64119
-14.0,10,50.908329
-18.0,11,50.998966
-20.0,12,51.078701
-16.0,10,51.165872
-17.0,11,51.26387
-22.0,12,51.352771
-3.0,2,51.372324
-17.0,11,51.450408
-16.0,11,51.519147
-18.0,11,51.618633
-17.0,10,51.677717
-15.0,12,51.773467
-24.0,12,51.875299
-12.0,10,51.946248
-16.0,10,52.022313
-16.0,11,52.124699
-20.0,12,52.234267
-16.0,10,52.309087
-26.0,13,52.401391
-19.0,11,52.49169
-16.0,11,52.57312
-24.0,13,52.654337
-16.0,10,52.723369
-20.0,12,52.800532
-16.0,11,52.909684
-18.0,10,52.974778
-16.0,10,53.040467
-16.0,10,53.101586
-20.0,10,53.163977
-18.0,11,53.284835
-12.0,10,53.362838
-20.0,11,53.457487
-23.0,13,53.559297
-18.0,11,53.658764
-18.0,11,53.744894
-24.0,14,53.844886
-18.0,10,53.91908
-20.0,12,54.002523
-18.0,12,54.086308
-18.0,10,54.176575
-19.0,11,54.258917
-17.0,10,54.331994
-18.0,10,54.403967
-1.0,1,54.411361
-20.0,10,54.494815
-20.0,12,54.607697
-18.0,10,54.678562
-20.0,11,54.771088
-14.0,11,54.881179
-17.0,10,54.95852
-20.0,11,55.045031
-20.0,11,55.141235
-20.0,11,55.225086
-3.0,2,55.241949
-26.0,14,55.360757
-16.0,11,55.454603
-20.0,12,55.529121
-26.0,13,55.660776
-18.0,11,55.745233
-22.0,12,55.840295
-16.0,11,55.95548
-22.0,12,56.034327
-18.0,12,56.135936
-20.0,11,56.217589
-16.0,10,56.29566
-20.0,12,56.379918
-1.0,1,56.386857
-17.0,10,56.446339
-18.0,10,56.534137
-20.0,12,56.667616
-16.0,10,56.780453
-20.0,11,56.867939
-20.0,11,56.955975
-18.0,10,57.065638
-14.0,10,57.167266
-22.0,12,57.25492
-24.0,12,57.374065
-20.0,12,57.483671
-14.0,10,57.566342
-1.0,1,57.578501
-21.0,11,57.665338
-17.0,10,57.779137
-20.0,10,57.862709
-18.0,10,57.926431
-22.0,12,58.018088
-20.0,10,58.101375
-22.0,13,58.220392
-18.0,11,58.293391
-20.0,11,58.379074
-18.0,10,58.451187
-17.0,13,58.544945
-19.0,11,58.623267
-18.0,10,58.712645
-4.0,2,58.727923
-25.0,14,58.834002
-18.0,10,58.958318
-20.0,11,59.06413
-1.0,1,59.081384
-26.0,13,59.176045
-15.0,11,59.25287
-20.0,12,59.352232
-22.0,13,59.449347
-21.0,11,59.52213
-16.0,11,59.608984
-18.0,10,59.696467
-20.0,11,59.794845
-22.0,11,59.881499
-16.0,10,59.979352
-17.0,10,60.084397
-17.0,12,60.189872
-28.0,14,60.302804
-19.0,10,60.461499
-22.0,12,60.610612
-21.0,12,60.733766
-18.0,10,60.855063
-18.0,11,60.923027
-20.0,12,61.010605
-17.0,10,61.12643
-20.0,10,61.239944
-20.0,11,61.334453
-20.0,11,61.438576
-16.0,11,61.591131
-4.0,2,61.604003
-18.0,10,61.661836
-18.0,12,61.764844
-17.0,10,61.840074
-18.0,11,61.943471
-30.0,16,62.127011
-22.0,12,62.224882
-20.0,11,62.289083
-1.0,1,62.29585
-18.0,11,62.400439
-15.0,11,62.498508
-17.0,11,62.58981
-21.0,11,62.698313
-1.0,1,62.705572
-17.0,12,62.778891
-17.0,12,62.875965
-20.0,11,63.026318
-27.0,14,63.128827
-20.0,11,63.222658
-22.0,13,63.402717
-19.0,10,63.47822
-22.0,12,63.612608
-20.0,11,63.730393
-22.0,11,63.827586
-28.0,14,64.00568
-16.0,11,64.132452
-14.0,11,64.202803
-21.0,12,64.29252
-24.0,13,64.402933
-17.0,13,64.515048
-23.0,15,64.612021
-19.0,11,64.746603
-19.0,12,64.852756
-14.0,10,64.918871
-22.0,12,65.001718
-16.0,10,65.059805
-18.0,10,65.119015
-19.0,11,65.21162
-18.0,10,65.294922
-1.0,1,65.301538
-17.0,12,65.4184
-19.0,13,65.52673
-23.0,12,65.602479
-22.0,13,65.730626
-18.0,11,65.804893
-20.0,11,65.877425
-17.0,11,65.985189
-18.0,12,66.067685
-16.0,11,66.138915
-17.0,11,66.233903
-21.0,12,66.315041
-18.0,10,66.388557
-22.0,11,66.514576
-18.0,10,66.572667
-22.0,11,66.638762
-20.0,10,66.709369
-1.0,1,66.719516
-17.0,10,66.816681
-20.0,11,66.890153
-28.0,14,67.033162
-22.0,11,67.122132
-15.0,10,67.22983
-20.0,12,67.309591
-18.0,11,67.380841
-15.0,10,67.486245
-13.0,10,67.567887
-24.0,13,67.717625
0.0,1,67.727935
-14.0,10,67.807348
-15.0,11,67.873582
-18.0,10,67.953723
-1.0,1,67.96496
-12.0,10,68.056637
-14.0,11,74.463732
-18.0,10,74.528985
-18.0,10,74.633507
-26.0,13,74.733196
-24.0,12,74.837295
-1.0,1,74.846185
-18.0,11,74.949882
-19.0,12,75.041175
-24.0,13,75.128428
-19.0,12,75.21812
-17.0,10,75.310174
-20.0,10,75.393202
-1.0,1,75.404165
-23.0,12,75.512002
-21.0,11,75.589753
-18.0,10,75.660216
-16.0,10,75.733556
-22.0,14,75.836961
-1.0,1,75.845578
-16.0,10,75.91138
-26.0,14,76.010549
-18.0,12,76.084891
-15.0,11,76.153327
-18.0,11,76.286507
-20.0,10,76.374736
-20.0,10,76.453631
-16.0,12,76.535905
-24.0,14,76.647275
-17.0,11,76.721529
-24.0,12,76.801731
-16.0,10,76.864597
-20.0,10,76.95663
-24.0,12,77.038566
-1.0,1,77.045693
-15.0,10,77.153493
-27.0,14,77.245562
-23.0,13,77.334447
-22.0,11,77.428851
-12.0,10,77.51832
-1.0,1,77.527585
-22.0,11,77.633657
-16.0,10,77.693979
-18.0,10,77.78834
-26.0,14,77.876853
-20.0,10,77.981793
-20.0,12,78.054173
-18.0,10,78.116099
-17.0,11,78.183262
-17.0,10,78.26673
-20.0,10,78.360097
-22.0,11,78.473066
-24.0,13,78.596012
-25.0,13,78.704693
-21.0,11,78.784701
-1.0,1,78.796775
-22.0,11,78.891219
-24.0,13,79.009934
-24.0,12,79.08945
-20.0,12,79.183219
-16.0,11,79.27751
-20.0,10,79.339911
-20.0,11,79.431825
-17.0,14,79.547478
-14.0,11,79.636347
-20.0,11,79.72169
-16.0,10,79.821358
-22.0,11,79.890397
-14.0,11,79.958109
-20.0,12,80.050296
-14.0,10,80.135004
-1.0,1,80.141495
-26.0,14,80.245938
-26.0,13,80.32775
-14.0,10,80.413956
-16.0,11,80.513186
-18.0,10,80.575077
-16.0,10,80.634938
-18.0,11,80.735336
-22.0,11,80.82389
-17.0,11,80.903027
-17.0,10,80.975919
-20.0,13,81.057616
-16.0,10,81.179065
-15.0,10,81.288281
-16.0,10,81.367506
-15.0,11,81.491795
-20.0,10,81.557107
-22.0,14,81.683701
-18.0,10,81.769393
-4.0,2,81.784098
-20.0,11,81.854488
-32.0,16,81.985289
-24.0,13,82.106988
-25.0,15,82.200432
-21.0,14,82.305359
-18.0,10,82.390289
-20.0,12,82.490955
-16.0,11,82.608764
-17.0,11,82.73259
-15.0,10,82.846514
-16.0,12,82.937535
-20.0,10,83.001551
-17.0,10,83.081961
-19.0,10,83.146563
-23.0,12,83.25478
-22.0,11,83.329453
-20.0,10,83.424734
-16.0,11,83.5317
-22.0,11,83.623352
-18.0,11,83.704281
-19.0,12,83.791783
-18.0,11,83.913252
-18.0,11,84.033295
-17.0,10,84.100618
-18.0,10,84.167582
-20.0,11,84.246588
-17.0,11,84.328896
-25.0,14,84.422335
-22.0,12,84.516956
-16.0,11,84.600096
-27.0,15,84.712494
-18.0,10,84.830686
-23.0,12,84.94847
-29.0,19,85.08521
-17.0,11,85.156027
-16.0,10,85.223885
-20.0,12,85.332407
-20.0,11,85.426658
-20.0,10,85.501181
-28.0,15,85.61848
-18.0,10,85.682286
-20.0,13,85.778244
-19.0,11,85.874362
-16.0,11,85.992141
-16.0,10,86.089471
-16.0,11,86.170699
-21.0,11,86.25441
-18.0,10,86.340185
-2.0,1,86.348032
-16.0,10,86.409552
-16.0,10,86.480147
-20.0,10,86.577661
-15.0,10,86.676033
-22.0,11,86.756706
-18.0,10,86.841542
-17.0,11,86.917881
-1.0,1,86.925034
-1.0,1,86.930795
-20.0,10,87.002887
-15.0,10,87.093575
-24.0,12,87.199675
-21.0,11,87.320024
-16.0,10,87.407436
-17.0,10,87.476303
-18.0,11,87.590075
-22.0,11,87.659949
-16.0,10,87.732592
-17.0,10,87.796588
-20.0,11,87.903325
-24.0,13,88.023209
-20.0,10,88.103191
-22.0,11,88.198981
-26.0,13,88.312076
-20.0,12,88.389908
-17.0,10,88.470183
-18.0,12,88.588706
-20.0,11,88.691438
-1.0,1,88.709651
-22.0,12,88.807606
-14.0,11,88.896706
-20.0,11,88.973332
-17.0,10,89.080034
-18.0,10,89.182552
-22.0,12,89.278644
-17.0,10,89.345675
-24.0,12,89.428269
-14.0,11,89.517637
-20.0,10,89.601485
-20.0,10,89.704408
-1.0,1,89.718789
-1.0,1,89.726952
-3.0,2,89.749327
-17.0,11,89.83949
-18.0,14,89.981358
-20.0,13,90.077014
-36.0,18,90.222547
-20.0,11,90.327894
-20.0,12,90.431377
-25.0,14,90.537172
-22.0,11,90.65501
-24.0,12,90.729711
-20.0,10,90.789468
-22.0,12,90.925026
-16.0,11,91.023428
-20.0,11,96.879503
-18.0,12,96.956403
-1.0,1,96.963654
-20.0,11,97.059534
-2.0,1,97.067625
-20.0,11,97.157905
-21.0,12,97.302573
-23.0,13,97.415155
-21.0,12,97.533715
-16.0,10,97.593761
-22.0,12,97.684158
-16.0,11,97.794798
-18.0,11,97.882201
-12.0,10,97.952395
-13.0,10,98.018967
-20.0,11,98.084422
-20.0,11,98.150234
-18.0,11,98.253772
-18.0,10,98.357986
-20.0,11,98.453209
-21.0,11,98.541576
-18.0,10,98.64681
-20.0,10,98.720724
-18.0,11,98.871713
-20.0,13,98.95595
-20.0,11,99.071443
-17.0,10,99.146371
-17.0,11,99.213392
-22.0,12,99.33262
-17.0,10,99.415431
-25.0,13,99.49308
-19.0,11,99.588876
-14.0,11,99.70828
-13.0,10,99.774715
-16.0,10,99.872921
-20.0,11,99.944352
